# lat,lng,id,name,building_type,type,url,page_type
# Séez -- Tutti
45.628270,6.812090,ov_le_villard_dessus_45.6283_6.8121,Le Villard Dessus,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/sez/pages/le_villard_dessus_45.6283_6.8121.json,custom
45.626419,6.818485,ov_pr_sident___val_d_is_re_45.6264_6.8185,Président - Val d'Isère,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/sez/pages/prsident_-_val_disre_45.6264_6.8185.json,custom
45.626885,6.812345,ov_le_relais_des_villards_45.6269_6.8123,Le Relais des Villards,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/sez/pages/le_relais_des_villards_45.6269_6.8123.json,custom
45.682729,6.885796,ov_bar_ristorante_san_bernardo_45.6827_6.8858,Bar Ristorante San Bernardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/sez/pages/bar_ristorante_san_bernardo_45.6827_6.8858.json,custom
45.682139,6.886797,ov_rifugio_san_bernardo_45.6821_6.8868,Rifugio San Bernardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/sez/pages/rifugio_san_bernardo_45.6821_6.8868.json,custom
45.671425,6.875522,ov_auberge_de_l_hospice_du_petit_saint_bern_45.6714_6.8755,Auberge de l'Hospice du Petit-Saint-Bernard,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/sez/pages/auberge_de_lhospice_du_petit-saint-berna_45.6714_6.8755.json,custom
45.633029,6.823473,ov_le_vieux_chalet_45.6330_6.8235,Le Vieux Chalet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/sez/pages/le_vieux_chalet_45.6330_6.8235.json,custom
45.683044,6.885869,ov_bar_du_lac_45.6830_6.8859,Bar du Lac,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/sez/pages/bar_du_lac_45.6830_6.8859.json,custom
45.678870,6.882959,ov_bar_de_lancebranlette_45.6789_6.8830,Bar de Lancebranlette,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/sez/pages/bar_de_lancebranlette_45.6789_6.8830.json,custom
45.623476,6.798161,ov_compagnie_des_guides_et_accompagnateurs__45.6235_6.7982,Compagnie des guides et accompagnateurs de la Vanoise,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/sez/pages/compagnie_des_guides_et_accompagnateurs__45.6235_6.7982.json,custom
45.623243,6.799559,ov_musee_espace_st_eloi_45.6232_6.7996,Musee Espace St Eloi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/sez/pages/musee_espace_st_eloi_45.6232_6.7996.json,custom
45.623112,6.799930,ov_maison_d_emilien___m_diath_que_connect_e_45.6231_6.7999,Maison d'Emilien - médiathèque connectée de Séez,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/sez/pages/maison_demilien_-_mdiathque_connecte_de__45.6231_6.7999.json,custom
