# lat,lng,id,name,building_type,type,url,page_type
# Ottone -- Tutti
44.622972,9.331584,osm_casa_della_salute_44.6230_9.3316,Casa della salute,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ottone/pages/casa_della_salute_44.6230_9.3316.json,custom
44.610858,9.317530,ov_albergo_ristorante_pizzeria_da_gianni_44.6109_9.3175,Albergo Ristorante Pizzeria da Gianni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ottone/pages/albergo_ristorante_pizzeria_da_gianni_44.6109_9.3175.json,custom
44.617161,9.354603,ov_pizzeria_mandy_44.6172_9.3546,Pizzeria Mandy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ottone/pages/pizzeria_mandy_44.6172_9.3546.json,custom
44.623598,9.333848,ov_bar_ristopizzeria_il_genova_44.6236_9.3338,Bar Ristopizzeria Il Genova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ottone/pages/bar_ristopizzeria_il_genova_44.6236_9.3338.json,custom
44.633328,9.350120,ov_la_valle_44.6333_9.3501,La Valle,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ottone/pages/la_valle_44.6333_9.3501.json,custom
44.623062,9.333408,ov_bar_tobacco_caffe_italia_44.6231_9.3334,Bar Tobacco Caffe Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ottone/pages/bar_tobacco_caffe_italia_44.6231_9.3334.json,custom
44.623067,9.333473,osm_bar_italia_44.6231_9.3335,Bar Italia,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ottone/pages/bar_italia_44.6231_9.3335.json,custom
