# lat,lng,id,name,building_type,type,url,page_type
# morcone -- Tutti
41.344160,14.691490,ov_centro_di_riabilitazione_iuvenia_41.3442_14.6915,Centro di Riabilitazione Iuvenia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/centro_di_riabilitazione_iuvenia_41.3442_14.6915.json,custom
41.332126,14.682228,ov_ristorante_pizzeria_4_ruote_41.3321_14.6822,Ristorante Pizzeria 4 Ruote,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/ristorante_pizzeria_4_ruote_41.3321_14.6822.json,custom
41.334594,14.641114,ov_agriturismo_cavatello_41.3346_14.6411,Agriturismo Cavatello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/agriturismo_cavatello_41.3346_14.6411.json,custom
41.339980,14.666240,ov_quattro_ruote_di_brino_41.3400_14.6662,Quattro Ruote Di Brino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/quattro_ruote_di_brino_41.3400_14.6662.json,custom
41.340700,14.668060,ov_rinaldi_braceria_bar_41.3407_14.6681,Rinaldi Braceria Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/rinaldi_braceria_bar_41.3407_14.6681.json,custom
41.342960,14.678450,ov_that_s_amore_41.3430_14.6784,That's Amore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/thats_amore_41.3430_14.6784.json,custom
41.350734,14.677446,ov_ristorante_pizzeria_4_ruote_41.3507_14.6774,Ristorante Pizzeria 4 Ruote,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/ristorante_pizzeria_4_ruote_41.3507_14.6774.json,custom
41.350114,14.723110,ov_yes_boss_agriturismo_steakhouse_41.3501_14.7231,YES BOSS Agriturismo/Steakhouse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/yes_boss_agriturismosteakhouse_41.3501_14.7231.json,custom
41.341140,14.751471,ov_la_taverna_41.3411_14.7515,La Taverna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/la_taverna_41.3411_14.7515.json,custom
41.345167,14.689986,ov_m_appizza_41.3452_14.6900,M'Appizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/mappizza_41.3452_14.6900.json,custom
41.333755,14.698098,ov_agriturismo_mastrofrancesco_41.3338_14.6981,Agriturismo Mastrofrancesco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/agriturismo_mastrofrancesco_41.3338_14.6981.json,custom
41.330367,14.712427,ov_ristorante_antica_torre_41.3304_14.7124,Ristorante Antica Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/ristorante_antica_torre_41.3304_14.7124.json,custom
41.328888,14.763634,ov_la_taverna_41.3289_14.7636,La Taverna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/la_taverna_41.3289_14.7636.json,custom
