# lat,lng,id,name,building_type,type,url,page_type
# Casargo -- Tutti
46.046196,9.424443,ov_ospedale_di_bellano_46.0462_9.4244,Ospedale di Bellano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/ospedale_di_bellano_46.0462_9.4244.json,custom
46.045395,9.362067,ov_ristoro_genio_46.0454_9.3621,Ristoro Genio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/ristoro_genio_46.0454_9.3621.json,custom
46.032114,9.357167,ov_ristorante_pizzeria_belvedere_46.0321_9.3572,Ristorante Pizzeria Belvedere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/ristorante_pizzeria_belvedere_46.0321_9.3572.json,custom
46.040493,9.355547,ov_ristorante_monte_basso_46.0405_9.3555,Ristorante Monte Basso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/ristorante_monte_basso_46.0405_9.3555.json,custom
46.044946,9.359373,ov_ristorante_capanna_vittoria_46.0449_9.3594,Ristorante Capanna Vittoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/ristorante_capanna_vittoria_46.0449_9.3594.json,custom
46.035967,9.385338,ov_ristorante_pizzeria_pub_parco_delle_chiu_46.0360_9.3853,Ristorante Pizzeria Pub Parco delle Chiuse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/ristorante_pizzeria_pub_parco_delle_chiu_46.0360_9.3853.json,custom
46.042146,9.403372,ov_ristorante_nuovo_una_franca_46.0421_9.4034,Ristorante nuovo una Franca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/ristorante_nuovo_una_franca_46.0421_9.4034.json,custom
46.038088,9.447103,ov_pizz_d_alben_46.0381_9.4471,Pizz d'Alben,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/pizz_dalben_46.0381_9.4471.json,custom
46.040568,9.355417,osm_ristoro_monte_basso_46.0406_9.3554,Ristoro Monte Basso,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/ristoro_monte_basso_46.0406_9.3554.json,custom
46.032111,9.357335,osm_pizzeria_trattoria_belvedere_46.0321_9.3573,Pizzeria Trattoria Belvedere,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/pizzeria_trattoria_belvedere_46.0321_9.3573.json,custom
46.044960,9.359303,osm_capanna_vittoria_46.0450_9.3593,Capanna Vittoria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/capanna_vittoria_46.0450_9.3593.json,custom
46.041907,9.403851,osm_rifugio_disolin_46.0419_9.4039,Rifugio Disolin,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/rifugio_disolin_46.0419_9.4039.json,custom
46.045136,9.363350,osm_rifugio_shambal__46.0451_9.3633,Rifugio Shambalà,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/rifugio_shambal_46.0451_9.3633.json,custom
46.037530,9.386042,ov_bar_sport_46.0375_9.3860,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/bar_sport_46.0375_9.3860.json,custom
46.039817,9.403940,ov_ristoro_chiaro_di_luna_46.0398_9.4039,Ristoro Chiaro di Luna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/ristoro_chiaro_di_luna_46.0398_9.4039.json,custom
46.042659,9.390270,ov_tashi_delek_cafe_46.0427_9.3903,Tashi Delek Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/tashi_delek_cafe_46.0427_9.3903.json,custom
46.034160,9.365460,ov_biblioteca_di_indovero_46.0342_9.3655,Biblioteca di Indovero,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casargo/pages/biblioteca_di_indovero_46.0342_9.3655.json,custom
