# lat,lng,id,name,building_type,type,url,page_type
# tignes -- Tutti
45.455871,6.900616,ov_p_le_sant__france_45.4559_6.9006,Pôle Santé France,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/ple_sant_france_45.4559_6.9006.json,custom
44.287159,6.738280,ov_the_corner_44.2872_6.7383,The Corner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/the_corner_44.2872_6.7383.json,custom
45.452318,6.904801,ov_le_bollin_45.4523_6.9048,Le Bollin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_bollin_45.4523_6.9048.json,custom
45.453237,6.881624,ov_le_palet_45.4532_6.8816,Le Palet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_palet_45.4532_6.8816.json,custom
45.453061,6.899886,ov_bazurto_tignes_45.4531_6.8999,Bazurto Tignes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/bazurto_tignes_45.4531_6.8999.json,custom
45.453261,6.898301,ov_la_taverne_des_neiges_45.4533_6.8983,La Taverne des Neiges,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/la_taverne_des_neiges_45.4533_6.8983.json,custom
45.453639,6.898371,ov_le_kiosk_45.4536_6.8984,Le Kiosk,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_kiosk_45.4536_6.8984.json,custom
45.453502,6.901582,ov_la_pizz_de_tignes_45.4535_6.9016,La Pizz de Tignes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/la_pizz_de_tignes_45.4535_6.9016.json,custom
45.455190,6.901453,ov_the_corner_45.4552_6.9015,The Corner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/the_corner_45.4552_6.9015.json,custom
45.455239,6.901363,ov_le_plant__de_b_ton_45.4552_6.9014,Le Planté de Bâton,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_plant_de_bton_45.4552_6.9014.json,custom
45.455330,6.901042,ov_aux_diables_au_thym_45.4553_6.9010,Aux Diables au thym,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/aux_diables_au_thym_45.4553_6.9010.json,custom
45.455379,6.901262,ov_les_2_flocons_45.4554_6.9013,Les 2 Flocons,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/les_2_flocons_45.4554_6.9013.json,custom
45.455504,6.900496,ov_alberto_45.4555_6.9005,Alberto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/alberto_45.4555_6.9005.json,custom
45.455522,6.900088,ov_la_table_du_coffee_45.4555_6.9001,La table du Coffee,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/la_table_du_coffee_45.4555_6.9001.json,custom
45.455614,6.900347,ov_p_p__2000_45.4556_6.9003,Pépé 2000,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/pp_2000_45.4556_6.9003.json,custom
45.455750,6.900759,ov_tummy_gourmet_45.4557_6.9008,Tummy Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/tummy_gourmet_45.4557_6.9008.json,custom
45.455780,6.901081,ov_le_caveau_45.4558_6.9011,Le Caveau,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_caveau_45.4558_6.9011.json,custom
45.455949,6.899760,ov_le_ski_d_or_45.4559_6.8998,Le Ski d'Or,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_ski_dor_45.4559_6.8998.json,custom
45.455909,6.901180,ov_le_couloir_45.4559_6.9012,Le Couloir,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_couloir_45.4559_6.9012.json,custom
45.456639,6.901101,ov_konayuki_tignes_45.4566_6.9011,KonaYuki Tignes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/konayuki_tignes_45.4566_6.9011.json,custom
