# lat,lng,id,name,building_type,type,url,page_type
# Stigliano -- Tutti
40.400218,16.234703,ov_ospedale_distrettuale_salvatore_peragine_40.4002_16.2347,Ospedale Distrettuale Salvatore Peragine,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/ospedale_distrettuale_salvatore_peragine_40.4002_16.2347.json,custom
40.406484,16.226366,ov_al_chiaro_di_luna_40.4065_16.2264,Al Chiaro di Luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/al_chiaro_di_luna_40.4065_16.2264.json,custom
40.403469,16.228878,ov_al_solito_posto_40.4035_16.2289,Al Solito Posto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/al_solito_posto_40.4035_16.2289.json,custom
40.400735,16.232231,ov_pistacchio_albano_40.4007_16.2322,Pistacchio Albano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/pistacchio_albano_40.4007_16.2322.json,custom
40.402068,16.232573,ov_sala_ricevimenti__mariano_40.4021_16.2326,Sala Ricevimenti  Mariano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/sala_ricevimenti_mariano_40.4021_16.2326.json,custom
40.402820,16.228193,ov_trase_ca_t_ammud_40.4028_16.2282,Trase Ca t'Ammud,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/trase_ca_tammud_40.4028_16.2282.json,custom
40.399433,16.286763,ov_agriturismo_alla_palazzina_40.3994_16.2868,Agriturismo Alla Palazzina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/agriturismo_alla_palazzina_40.3994_16.2868.json,custom
40.402029,16.232367,osm_hotel_ristorante_mariano_40.4020_16.2324,Hotel Ristorante Mariano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/hotel_ristorante_mariano_40.4020_16.2324.json,custom
40.426620,16.219400,ov_steak_house_pinto_40.4266_16.2194,Steak House Pinto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/steak_house_pinto_40.4266_16.2194.json,custom
40.405940,16.225800,ov_fusilli_caf__40.4059_16.2258,Fusilli Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/fusilli_caf_40.4059_16.2258.json,custom
40.403410,16.228950,ov_bar_sarubbi_40.4034_16.2290,Bar Sarubbi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/bar_sarubbi_40.4034_16.2290.json,custom
40.403403,16.228690,ov_pub_like_yesterday_40.4034_16.2287,Pub Like Yesterday,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/pub_like_yesterday_40.4034_16.2287.json,custom
40.402920,16.228340,ov_bar_tiffany_40.4029_16.2283,Bar Tiffany,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/bar_tiffany_40.4029_16.2283.json,custom
40.402943,16.228012,ov_overdrive_birreria_40.4029_16.2280,Overdrive Birreria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/overdrive_birreria_40.4029_16.2280.json,custom
40.339686,16.237632,ov_bar_road_house_di_mario_e_giusy_40.3397_16.2376,Bar Road House di Mario e Giusy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/bar_road_house_di_mario_e_giusy_40.3397_16.2376.json,custom
40.405339,16.225966,ov_sarubbi_fitness_40.4053_16.2260,Sarubbi Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/sarubbi_fitness_40.4053_16.2260.json,custom
40.404350,16.226574,ov_museo_demo_etno_antropologico___stiglian_40.4043_16.2266,Museo Demo Etno Antropologico - Stigliano MT,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/stigliano/pages/museo_demo_etno_antropologico_-_stiglian_40.4043_16.2266.json,custom
