# lat,lng,id,name,building_type,type,url,page_type
# Manno -- Tutti
46.034825,8.924547,osm_studio_dr__med__giunchi_presso_ars_medic_46.0348_8.9245,Studio Dr. med. Giunchi presso Ars Medica Centro Medico,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/studio_dr_med_giunchi_presso_ars_medica__46.0348_8.9245.json,custom
46.023968,8.911614,ov_osteria_del_prevat_46.0240_8.9116,Osteria del Prevat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/osteria_del_prevat_46.0240_8.9116.json,custom
46.030360,8.922242,ov_sv__svizzera__sa_46.0304_8.9222,SV (Svizzera) SA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/sv_svizzera_sa_46.0304_8.9222.json,custom
46.026869,8.918566,ov_la_bella_vita_46.0269_8.9186,La Bella Vita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/la_bella_vita_46.0269_8.9186.json,custom
46.027374,8.918744,ov_piper_46.0274_8.9187,Piper,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/piper_46.0274_8.9187.json,custom
46.034492,8.919007,ov_bar_ristorante_pizzeria_piper_46.0345_8.9190,Bar Ristorante Pizzeria Piper,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/bar_ristorante_pizzeria_piper_46.0345_8.9190.json,custom
46.022582,8.916365,ov_la_brace_46.0226_8.9164,La Brace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/la_brace_46.0226_8.9164.json,custom
46.032830,8.923899,ov_ristorante_ellisse_19_46.0328_8.9239,Ristorante Ellisse 19,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/ristorante_ellisse_19_46.0328_8.9239.json,custom
46.011490,8.966050,ov_delizie_in_movimento_46.0115_8.9660,Delizie in Movimento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/delizie_in_movimento_46.0115_8.9660.json,custom
46.027111,8.918587,osm_bar_ristorante_pizzeria_piper_46.0271_8.9186,Bar Ristorante Pizzeria Piper,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/bar_ristorante_pizzeria_piper_46.0271_8.9186.json,custom
46.029685,8.918226,osm_agriturismo_il_cairello_46.0297_8.9182,Agriturismo il Cairello,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/agriturismo_il_cairello_46.0297_8.9182.json,custom
46.030370,8.922240,ov_serata_cauntry_suglio_business_center_46.0304_8.9222,Serata Cauntry Suglio business center,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/serata_cauntry_suglio_business_center_46.0304_8.9222.json,custom
46.034352,8.923971,ov_city_bistr__46.0344_8.9240,City Bistrò,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/city_bistr_46.0344_8.9240.json,custom
46.036932,8.924926,ov_green_bar_46.0369_8.9249,Green Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/green_bar_46.0369_8.9249.json,custom
46.034970,8.930610,ov_falling_pine_brewery_46.0350_8.9306,Falling Pine Brewery,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/falling_pine_brewery_46.0350_8.9306.json,custom
46.034462,8.919000,ov_fitness_gallery___manno_46.0345_8.9190,Fitness Gallery - Manno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/fitness_gallery_-_manno_46.0345_8.9190.json,custom
46.024016,8.917075,ov_fitness_gallery_46.0240_8.9171,Fitness Gallery,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/fitness_gallery_46.0240_8.9171.json,custom
46.032910,8.922890,ov_lugano_dance_lab_46.0329_8.9229,Lugano Dance Lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/lugano_dance_lab_46.0329_8.9229.json,custom
46.034826,8.924326,ov_fun4fight_46.0348_8.9243,Fun4Fight,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/fun4fight_46.0348_8.9243.json,custom
46.036923,8.925797,ov_danza___vita_46.0369_8.9258,Danza & Vita,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/manno/pages/danza_vita_46.0369_8.9258.json,custom
