# lat,lng,id,name,building_type,type,url,page_type
# Atessa -- Tutti
42.072998,14.447413,ov_ospedale_civile_di_atessa_42.0730_14.4474,Ospedale Civile di Atessa,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/ospedale_civile_di_atessa_42.0730_14.4474.json,custom
41.930319,14.289007,ov_villaggio_ristoro_la_cascata_41.9303_14.2890,Villaggio Ristoro La Cascata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/villaggio_ristoro_la_cascata_41.9303_14.2890.json,custom
42.122754,14.401309,ov_siparjum_spettacolo_di_sapori_42.1228_14.4013,"Siparjum,spettacolo di sapori",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/siparjumspettacolo_di_sapori_42.1228_14.4013.json,custom
42.121688,14.399526,ov_il_gusto_42.1217_14.3995,Il Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/il_gusto_42.1217_14.3995.json,custom
42.068662,14.444796,ov_la_stazione__di_irma_cauli_42.0687_14.4448,"La Stazione, di Irma Cauli",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/la_stazione_di_irma_cauli_42.0687_14.4448.json,custom
42.066254,14.446132,ov_bar_gelateria_la_nuova_tampa_42.0663_14.4461,Bar Gelateria La Nuova Tampa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/bar_gelateria_la_nuova_tampa_42.0663_14.4461.json,custom
42.071213,14.451095,ov_gli_amici_di_riexperia_42.0712_14.4511,Gli amici di Riexperia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/gli_amici_di_riexperia_42.0712_14.4511.json,custom
42.072017,14.448535,ov_trattoria_la_casereccia_42.0720_14.4485,Trattoria La Casereccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/trattoria_la_casereccia_42.0720_14.4485.json,custom
42.103860,14.434550,ov_blackandwhite_atessa_42.1039_14.4345,Blackandwhite Atessa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/blackandwhite_atessa_42.1039_14.4345.json,custom
42.114263,14.442721,ov_agriturismo_agripark_42.1143_14.4427,Agriturismo Agripark,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/agriturismo_agripark_42.1143_14.4427.json,custom
42.124608,14.431765,ov_il_maggiolino_42.1246_14.4318,Il Maggiolino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/il_maggiolino_42.1246_14.4318.json,custom
42.124269,14.432222,ov_bistrot_lupin_42.1243_14.4322,Bistrot Lupin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/bistrot_lupin_42.1243_14.4322.json,custom
42.128666,14.414078,ov_l_angolo_del_mare_42.1287_14.4141,L'Angolo del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/langolo_del_mare_42.1287_14.4141.json,custom
42.125610,14.407820,ov_civico_3_42.1256_14.4078,Civico 3,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/civico_3_42.1256_14.4078.json,custom
42.126845,14.409319,ov_la_prima_nota_42.1268_14.4093,La Prima Nota,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/la_prima_nota_42.1268_14.4093.json,custom
42.126806,14.409268,ov_cocchi_s_ristorante_con_brace_42.1268_14.4093,Cocchi's ristorante con brace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/cocchis_ristorante_con_brace_42.1268_14.4093.json,custom
42.133198,14.408714,ov_villa_egle_42.1332_14.4087,Villa Egle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/villa_egle_42.1332_14.4087.json,custom
42.129774,14.418175,ov_platino_tavola_calda_42.1298_14.4182,Platino Tavola Calda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/platino_tavola_calda_42.1298_14.4182.json,custom
42.131158,14.420247,ov_la_masseria_42.1312_14.4202,La Masseria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/la_masseria_42.1312_14.4202.json,custom
42.135251,14.424498,ov_agor__tavola_calda_42.1353_14.4245,Agorà Tavola Calda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/agor_tavola_calda_42.1353_14.4245.json,custom
42.137922,14.426921,ov_pizzamania_42.1379_14.4269,Pizzamania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/pizzamania_42.1379_14.4269.json,custom
