# lat,lng,id,name,building_type,type
# Sala Consilina -- Tutti
40.401011,15.592822,ov_nuova_ortopedia_lucana___sala_consilina_40.4010_15.5928,Nuova ortopedia lucana - Sala Consilina,HOSPITAL,hospital
40.359697,15.620232,ov_la_pietra_azzurra___vallo_di_diano_40.3597_15.6202,La Pietra Azzurra - Vallo di Diano,RESTAURANT,ristorante
40.370302,15.611670,ov_desir___catering_40.3703_15.6117,Desirè  Catering,RESTAURANT,ristorante
40.367690,15.613831,ov_mcdonald_s_40.3677_15.6138,McDonald's,RESTAURANT,ristorante
40.365079,15.616683,ov_terra_mia_pizzeria_40.3651_15.6167,Terra Mia Pizzeria,RESTAURANT,ristorante
40.376555,15.608475,ov_pasta_fresca_trinita_40.3766_15.6085,Pasta Fresca Trinita,RESTAURANT,ristorante
40.375230,15.608669,ov_osteria_del_gambero_40.3752_15.6087,Osteria del Gambero,RESTAURANT,ristorante
40.374997,15.608856,ov_secret_garden___sushi___cocktail___more_40.3750_15.6089,Secret Garden | Sushi - Cocktail - More,RESTAURANT,ristorante
40.374411,15.609036,ov_ristorante_trinita__da_ciciotto_40.3744_15.6090,Ristorante Trinita' da Ciciotto,RESTAURANT,ristorante
40.372870,15.607196,ov_ristorante_il_boccon_divino_40.3729_15.6072,Ristorante Il Boccon Divino,RESTAURANT,ristorante
40.377480,15.604084,ov_villa_delle_acacie_40.3775_15.6041,Villa delle Acacie,RESTAURANT,ristorante
40.377476,15.604019,ov_ristorante_pizzeria__acacie__di_vito_sab_40.3775_15.6040,Ristorante Pizzeria 'Acacie' di Vito Sabatino,RESTAURANT,ristorante
40.400876,15.587893,ov_il_vecchio_mulino_40.4009_15.5879,Il Vecchio Mulino,RESTAURANT,ristorante
40.399040,15.589198,ov_osteria_johnny_40.3990_15.5892,Osteria Johnny,RESTAURANT,ristorante
40.398378,15.579906,ov_autogrill_40.3984_15.5799,Autogrill,RESTAURANT,ristorante
40.392133,15.596257,ov_pizza_express_40.3921_15.5963,Pizza Express,RESTAURANT,ristorante
40.392614,15.599635,ov_il_covo_della_bistecca_40.3926_15.5996,Il Covo della Bistecca,RESTAURANT,ristorante
40.393584,15.593679,ov_agriturismo_macchiapiede_40.3936_15.5937,Agriturismo Macchiapiede,RESTAURANT,ristorante
40.395376,15.597537,ov_assobastoni_40.3954_15.5975,Assobastoni,RESTAURANT,ristorante
40.395489,15.597941,ov_la_svolta_40.3955_15.5979,La Svolta,RESTAURANT,ristorante
40.398492,15.594810,ov_autogrill_40.3985_15.5948,Autogrill,RESTAURANT,ristorante
40.399490,15.594320,ov_very_nice_di_rotunno_antonio_40.3995_15.5943,Very Nice di Rotunno Antonio,RESTAURANT,ristorante
40.401011,15.592822,ov_pizzeria_tressanti_40.4010_15.5928,Pizzeria Tressanti,RESTAURANT,ristorante
40.413438,15.566389,ov_nico_s_pizza_king_40.4134_15.5664,Nico's Pizza King,RESTAURANT,ristorante
40.413930,15.565331,ov_ristorante_antros_40.4139_15.5653,Ristorante Antros,RESTAURANT,ristorante
40.410744,15.569873,ov_panificio_giardino_40.4107_15.5699,Panificio Giardino,RESTAURANT,ristorante
40.406934,15.579160,ov_pizzeria_da_christian_40.4069_15.5792,Pizzeria Da Christian,RESTAURANT,ristorante
40.403489,15.584582,ov_il_vecchio_mulino_40.4035_15.5846,Il vecchio mulino,RESTAURANT,ristorante
40.408959,15.575319,ov_la_carcara_dry_aged_40.4090_15.5753,La Carcara Dry aged,RESTAURANT,ristorante
40.416650,15.559272,ov_chef_house_accademy_40.4166_15.5593,Chef House Accademy,RESTAURANT,ristorante
40.361481,15.619353,ov_barriciello_40.3615_15.6194,Barriciello,RESTAURANT,bar_cafe
40.377104,15.608980,ov_trinity_bar_40.3771_15.6090,Trinity Bar,RESTAURANT,bar_cafe
40.374504,15.609246,ov_wine_bar_40.3745_15.6092,Wine Bar,RESTAURANT,bar_cafe
40.374551,15.609671,ov_vogliart_caffe_40.3746_15.6097,Vogliart caffe,RESTAURANT,bar_cafe
40.371971,15.605707,ov_ubik_bar_40.3720_15.6057,Ubik Bar,RESTAURANT,bar_cafe
40.402856,15.589979,ov_tic_tac_bar_40.4029_15.5900,Tic Tac Bar,RESTAURANT,bar_cafe
40.401582,15.591629,ov_bar_gelateria_da_baffo_40.4016_15.5916,Bar Gelateria Da Baffo,RESTAURANT,bar_cafe
40.398375,15.580147,ov_bar_snack_40.3984_15.5801,Bar snack,RESTAURANT,bar_cafe
40.398693,15.580966,ov_area_di_servizio_sala_consilina_40.3987_15.5810,Area di Servizio Sala Consilina,RESTAURANT,bar_cafe
40.397009,15.590708,ov_lux_food_and_spirits_40.3970_15.5907,Lux Food and Spirits,RESTAURANT,bar_cafe
40.395295,15.591690,ov_trianon_citybar_40.3953_15.5917,Trianon citybar,RESTAURANT,bar_cafe
40.390481,15.601465,ov_bar_scacco_matto_40.3905_15.6015,Bar Scacco Matto,RESTAURANT,bar_cafe
40.398196,15.594948,ov_saint_michel_40.3982_15.5949,Saint Michel,RESTAURANT,bar_cafe
40.398079,15.596071,ov_il_conte_ugovino_40.3981_15.5961,Il Conte Ugovino,RESTAURANT,bar_cafe
40.398705,15.595448,ov_marco_polo_lounge_bar_40.3987_15.5954,Marco Polo Lounge Bar,RESTAURANT,bar_cafe
40.401011,15.592822,ov_bar_monnalisa_2_40.4010_15.5928,Bar Monnalisa 2,RESTAURANT,bar_cafe
40.400778,15.593150,ov_prince_cafe_40.4008_15.5932,Prince Cafe,RESTAURANT,bar_cafe
40.401314,15.592190,ov_bar_nuova_caffetteria_40.4013_15.5922,Bar Nuova Caffetteria,RESTAURANT,bar_cafe
40.383120,15.603288,ov_caffe_mania_40.3831_15.6033,Caffe Mania,RESTAURANT,bar_cafe
40.383447,15.603309,ov_keste_caffetteria_40.3834_15.6033,Keste Caffetteria,RESTAURANT,bar_cafe
40.381705,15.604777,ov_bar_pigliati_un_caf__40.3817_15.6048,Bar Pigliati un Cafè,RESTAURANT,bar_cafe
40.382255,15.604079,ov_blue_ice_lounge_bar_40.3823_15.6041,Blue Ice Lounge Bar,RESTAURANT,bar_cafe
40.379411,15.606702,ov_macs_bar_40.3794_15.6067,Macs Bar,RESTAURANT,bar_cafe
40.379411,15.606702,ov_friendsart_cafe__ubik_40.3794_15.6067,Friendsart Cafe/ Ubik,RESTAURANT,bar_cafe
40.410421,15.572534,ov_bar_migliore_gelateria_artigianale_40.4104_15.5725,Bar Migliore Gelateria Artigianale,RESTAURANT,bar_cafe
40.407358,15.577127,ov_napoli_san_paolo_40.4074_15.5771,Napoli San Paolo,RESTAURANT,bar_cafe
40.421661,15.555219,osm_terminal_bus_snack_bar_40.4217_15.5552,Terminal Bus Snack Bar,bar_cafe,bar_cafe
40.355772,15.626956,ov_palestra_mgm_40.3558_15.6270,Palestra MGM,GYM,palestra
40.373563,15.610219,ov_the_white_studio_40.3736_15.6102,The White Studio,GYM,palestra
40.371535,15.605250,ov_palestra_body_art_sala_consilina_40.3715_15.6052,Palestra Body Art Sala Consilina,GYM,palestra
40.400733,15.591647,ov_new_dance_all_dance_ballet_studio_40.4007_15.5916,New Dance All Dance ballet Studio,GYM,palestra
40.399238,15.590995,ov_palasport_giuseppe_zingaro_40.3992_15.5910,Palasport Giuseppe Zingaro,GYM,palestra
40.390910,15.601660,ov_long_life_fitness_40.3909_15.6017,Long Life Fitness,GYM,palestra
40.389580,15.601920,ov_sportzone_ginnastica_danza_40.3896_15.6019,SportZone Ginnastica&Danza,GYM,palestra
40.389941,15.601659,ov_s_m_paradise_centro_fitness_40.3899_15.6017,S M Paradise Centro Fitness,GYM,palestra
40.403052,15.589904,ov_fit___fight_40.4031_15.5899,Fit & Fight,GYM,palestra
40.392344,15.604750,ov_antiquarium_40.3923_15.6047,Antiquarium,MUSEUM,monumento
