# lat,lng,id,name,building_type,type,url,page_type
# Mortara -- Tutti
45.252568,8.739192,ov_losteria_45.2526_8.7392,Losteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/losteria_45.2526_8.7392.json,custom
45.251861,8.740021,ov_benvenuti_al_sud_45.2519_8.7400,Benvenuti al sud,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/benvenuti_al_sud_45.2519_8.7400.json,custom
45.251587,8.738341,ov_villa_saint_espedito_45.2516_8.7383,Villa Saint'espedito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/villa_saintespedito_45.2516_8.7383.json,custom
45.251407,8.738410,ov_mortara_pizza_kebap_45.2514_8.7384,Mortara pizza kebap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/mortara_pizza_kebap_45.2514_8.7384.json,custom
45.251801,8.739374,ov_21_foodbar_45.2518_8.7394,21 Foodbar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/21_foodbar_45.2518_8.7394.json,custom
45.251851,8.737098,ov_gelsomino_45.2519_8.7371,Gelsomino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/gelsomino_45.2519_8.7371.json,custom
45.251780,8.736683,ov_pasta_fresca_lalla_45.2518_8.7367,Pasta Fresca Lalla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/pasta_fresca_lalla_45.2518_8.7367.json,custom
45.248390,8.736054,ov_il_mago_2_mortara_45.2484_8.7361,Il Mago 2 Mortara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/il_mago_2_mortara_45.2484_8.7361.json,custom
45.244340,8.735080,ov_kuentonus_45.2443_8.7351,Kuentonus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/kuentonus_45.2443_8.7351.json,custom
45.247281,8.725024,ov_itoi_asian_creative_experience_45.2473_8.7250,Itoi Asian Creative Experience,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/itoi_asian_creative_experience_45.2473_8.7250.json,custom
45.245814,8.727983,ov_agriturismo_la_gambarina_45.2458_8.7280,Agriturismo La Gambarina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/agriturismo_la_gambarina_45.2458_8.7280.json,custom
45.242829,8.739049,ov_kami_2_45.2428_8.7390,Kami 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/kami_2_45.2428_8.7390.json,custom
45.253346,8.791135,ov_trattoria_guallina_45.2533_8.7911,Trattoria Guallina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/trattoria_guallina_45.2533_8.7911.json,custom
45.249527,8.754236,ov_mcdonald_s_45.2495_8.7542,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/mcdonalds_45.2495_8.7542.json,custom
45.254189,8.742928,ov_l_antica_rouge_et_noir_45.2542_8.7429,L'Antica Rouge et Noir,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/lantica_rouge_et_noir_45.2542_8.7429.json,custom
45.254232,8.743105,ov_trattoria_trento_di_mazzocco_45.2542_8.7431,Trattoria Trento di Mazzocco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/trattoria_trento_di_mazzocco_45.2542_8.7431.json,custom
45.253405,8.743830,ov_samarcanda_da_nu_45.2534_8.7438,Samarcanda da Nu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/samarcanda_da_nu_45.2534_8.7438.json,custom
45.267812,8.766302,ov_gambarina_alta_45.2678_8.7663,Gambarina Alta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/gambarina_alta_45.2678_8.7663.json,custom
45.269420,8.768630,ov_casa_della_pizza_45.2694_8.7686,Casa della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/casa_della_pizza_45.2694_8.7686.json,custom
45.269239,8.789740,ov_agriturismo_manzini_45.2692_8.7897,Agriturismo Manzini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/agriturismo_manzini_45.2692_8.7897.json,custom
45.254288,8.735480,osm_ristorante_pizzeria_lo_scoglio_45.2543_8.7355,Ristorante Pizzeria Lo Scoglio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/ristorante_pizzeria_lo_scoglio_45.2543_8.7355.json,custom
45.251752,8.737115,osm_il_baretto_1982_45.2518_8.7371,Il Baretto 1982,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/il_baretto_1982_45.2518_8.7371.json,custom
45.246820,8.712853,ov_al_polo_45.2468_8.7129,Al Polo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/al_polo_45.2468_8.7129.json,custom
45.250336,8.729056,ov_bar_del_corso_45.2503_8.7291,Bar del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/bar_del_corso_45.2503_8.7291.json,custom
45.252018,8.732647,ov_caffe_garibaldi_45.2520_8.7326,Caffe Garibaldi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/caffe_garibaldi_45.2520_8.7326.json,custom
45.250362,8.727772,ov_pasticceria_tre_re_45.2504_8.7278,Pasticceria Tre Re,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/pasticceria_tre_re_45.2504_8.7278.json,custom
45.252540,8.737444,ov_da_momo_45.2525_8.7374,Da Momo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/da_momo_45.2525_8.7374.json,custom
45.253012,8.738934,ov_silvabella_45.2530_8.7389,Silvabella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/silvabella_45.2530_8.7389.json,custom
45.251784,8.736848,ov_glmd_caff__santi_45.2518_8.7368,GLMD-Caffè Santi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/glmd-caff_santi_45.2518_8.7368.json,custom
45.251771,8.736978,ov_il_baretto_1982_45.2518_8.7370,Il Baretto 1982,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/il_baretto_1982_45.2518_8.7370.json,custom
45.251905,8.737651,ov_l_edicola_del_comune_45.2519_8.7377,L'edicola del comune,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/ledicola_del_comune_45.2519_8.7377.json,custom
45.251635,8.737646,ov_caffe_reale_45.2516_8.7376,Caffe Reale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/caffe_reale_45.2516_8.7376.json,custom
45.251890,8.735890,ov_tappa11_45.2519_8.7359,Tappa11,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/tappa11_45.2519_8.7359.json,custom
45.251867,8.736002,ov_caffe_d_autore_eccellenza_45.2519_8.7360,Caffe d'Autore Eccellenza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/caffe_dautore_eccellenza_45.2519_8.7360.json,custom
45.252067,8.736027,ov_birre_vive___beerinba_45.2521_8.7360,Birre Vive & Beerinba,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/birre_vive_beerinba_45.2521_8.7360.json,custom
45.251929,8.733826,ov_mini_bar_45.2519_8.7338,Mini Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/mini_bar_45.2519_8.7338.json,custom
45.251922,8.733581,ov_wine___coffee_45.2519_8.7336,Wine & Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/wine_coffee_45.2519_8.7336.json,custom
45.248130,8.735900,ov_meeting_paninoteca_45.2481_8.7359,Meeting Paninoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/meeting_paninoteca_45.2481_8.7359.json,custom
45.242973,8.738903,ov_dilena__cafe__45.2430_8.7389,Dilena' Cafe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/dilena_cafe_45.2430_8.7389.json,custom
45.248046,8.743272,ov_my_bar_creperie_45.2480_8.7433,My Bar Creperie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/my_bar_creperie_45.2480_8.7433.json,custom
45.253345,8.742856,ov_caffe_beretta_45.2533_8.7429,Caffe Beretta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/caffe_beretta_45.2533_8.7429.json,custom
