# lat,lng,id,name,building_type,type,url,page_type
# Scarperia e San Piero -- Tutti
43.972038,11.331614,ov_cmo_mugello_43.9720_11.3316,CMO Mugello,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/cmo_mugello_43.9720_11.3316.json,custom
43.964289,11.327292,ov_bar_river_43.9643_11.3273,Bar River,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/bar_river_43.9643_11.3273.json,custom
43.964271,11.325201,ov_i_regolo_43.9643_11.3252,I Regolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/i_regolo_43.9643_11.3252.json,custom
43.962263,11.325314,ov_bonaugo_pizzeria_ristorante_43.9623_11.3253,Bonaugo pizzeria ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/bonaugo_pizzeria_ristorante_43.9623_11.3253.json,custom
43.962391,11.325395,ov_osteria_all_aglione_43.9624_11.3254,Osteria all'Aglione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/osteria_allaglione_43.9624_11.3254.json,custom
43.961365,11.324095,ov_osteria_pizzeria_da_baffo_43.9614_11.3241,Osteria Pizzeria Da Baffo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/osteria_pizzeria_da_baffo_43.9614_11.3241.json,custom
43.961523,11.323930,ov_la_bisboccina_43.9615_11.3239,La Bisboccina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/la_bisboccina_43.9615_11.3239.json,custom
43.960490,11.321957,ov_rosticceria_da_fabio_43.9605_11.3220,Rosticceria da Fabio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/rosticceria_da_fabio_43.9605_11.3220.json,custom
43.962746,11.323958,ov_osteria_di_san_piero_43.9627_11.3240,Osteria Di San Piero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/osteria_di_san_piero_43.9627_11.3240.json,custom
43.963983,11.324250,ov_il_grano_antico_pizzeria_43.9640_11.3242,Il Grano Antico pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/il_grano_antico_pizzeria_43.9640_11.3242.json,custom
43.974159,11.330717,ov_terrazza_22_43.9742_11.3307,Terrazza 22,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/terrazza_22_43.9742_11.3307.json,custom
43.961049,11.309872,ov_l_cavatappi_43.9610_11.3099,l'Cavatappi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/lcavatappi_43.9610_11.3099.json,custom
43.961479,11.356491,ov_ristorante_teatro_dei_medici_43.9615_11.3565,Ristorante Teatro dei Medici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/ristorante_teatro_dei_medici_43.9615_11.3565.json,custom
43.961876,11.351890,ov_ib_i__bistrot_del_mugello_43.9619_11.3519,IB I’ Bistrot del Mugello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/ib_i_bistrot_del_mugello_43.9619_11.3519.json,custom
43.961136,11.354823,ov_la_torre_osteria_et_bottega_43.9611_11.3548,La Torre Osteria et Bottega,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/la_torre_osteria_et_bottega_43.9611_11.3548.json,custom
43.973052,11.368409,ov_the_lodge_farm_43.9731_11.3684,The Lodge Farm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/the_lodge_farm_43.9731_11.3684.json,custom
43.978702,11.367559,ov_la_limonaia_di_villa_senni_43.9787_11.3676,La Limonaia di Villa Senni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/la_limonaia_di_villa_senni_43.9787_11.3676.json,custom
43.990424,11.348791,ov_il_giogo_43.9904_11.3488,Il Giogo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/il_giogo_43.9904_11.3488.json,custom
43.991729,11.351858,ov_ristorante_pizzeria_anna_trend_43.9917_11.3519,Ristorante Pizzeria Anna Trend,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/ristorante_pizzeria_anna_trend_43.9917_11.3519.json,custom
43.991300,11.353485,ov_quindicicurve_pizzeria_43.9913_11.3535,Quindicicurve Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/quindicicurve_pizzeria_43.9913_11.3535.json,custom
