# lat,lng,id,name,building_type,type,url,page_type
# Pederobba -- Tutti
45.877385,11.948653,ov_ospedale_civile_di_pederobba_guglielmo_e_45.8774_11.9487,Ospedale Civile di Pederobba Guglielmo e Teodolinda D'Onigo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/ospedale_civile_di_pederobba_guglielmo_e_45.8774_11.9487.json,custom
45.883249,11.947655,ov_trattoria_san_bastian_da_vecia_45.8832_11.9477,Trattoria San Bastian da Vecia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/trattoria_san_bastian_da_vecia_45.8832_11.9477.json,custom
45.874060,11.948017,ov_shara_s_pizzeria_45.8741_11.9480,Shara's Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/sharas_pizzeria_45.8741_11.9480.json,custom
45.874307,11.947722,ov_pizzarte_45.8743_11.9477,Pizzarte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/pizzarte_45.8743_11.9477.json,custom
45.863287,11.947567,ov_da_bastian_45.8633_11.9476,Da Bastian,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/da_bastian_45.8633_11.9476.json,custom
45.864810,11.935218,ov_agriturismo_zanella_franco_45.8648_11.9352,Agriturismo Zanella Franco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/agriturismo_zanella_franco_45.8648_11.9352.json,custom
45.850045,11.960202,ov_col_maor___agriturismo_45.8500_11.9602,Col Maor - agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/col_maor_-_agriturismo_45.8500_11.9602.json,custom
45.866607,11.975171,ov_sushiwa_45.8666_11.9752,SushiWa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/sushiwa_45.8666_11.9752.json,custom
45.866489,11.975524,ov_birreria_king_steakhouse_45.8665_11.9755,Birreria King Steakhouse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/birreria_king_steakhouse_45.8665_11.9755.json,custom
45.858654,11.986657,ov_pizzamore_45.8587_11.9867,PizzAmore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/pizzamore_45.8587_11.9867.json,custom
45.864471,11.980903,ov_mura_bastia_45.8645_11.9809,Mura Bastia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/mura_bastia_45.8645_11.9809.json,custom
45.868174,11.971653,ov_trattoria_paninoteca_la_vittoriana_45.8682_11.9717,Trattoria Paninoteca La Vittoriana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/trattoria_paninoteca_la_vittoriana_45.8682_11.9717.json,custom
45.869496,11.968841,ov_shiko__lounge_and_restaurant___pederobba_45.8695_11.9688,Shiko' Lounge and Restaurant - Pederobba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/shiko_lounge_and_restaurant_-_pederobba_45.8695_11.9688.json,custom
45.859220,11.962377,ov_trattoria_da_cialt_45.8592_11.9624,Trattoria da Cialt,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/trattoria_da_cialt_45.8592_11.9624.json,custom
45.881369,11.959372,ov_trattoria_al_pescatore_45.8814_11.9594,Trattoria al Pescatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/trattoria_al_pescatore_45.8814_11.9594.json,custom
45.877698,11.958299,ov_spiga_d_oro_45.8777_11.9583,Spiga d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/spiga_doro_45.8777_11.9583.json,custom
45.855607,12.017225,ov_villa_bellati_45.8556_12.0172,Villa Bellati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/villa_bellati_45.8556_12.0172.json,custom
45.859792,11.992344,ov_meet_45.8598_11.9923,Meet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/meet_45.8598_11.9923.json,custom
45.856926,11.990086,ov_da_nando_45.8569_11.9901,Da Nando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/da_nando_45.8569_11.9901.json,custom
45.860100,11.996314,ov_bingo_grill_45.8601_11.9963,Bingo Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/bingo_grill_45.8601_11.9963.json,custom
45.850093,12.005433,ov_pizzeria_da_renata_45.8501_12.0054,Pizzeria Da Renata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/pizzeria_da_renata_45.8501_12.0054.json,custom
45.851999,12.012358,ov_ristorante_la_ghiacciaia_45.8520_12.0124,Ristorante La Ghiacciaia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/ristorante_la_ghiacciaia_45.8520_12.0124.json,custom
45.851863,12.025211,ov_pizzeria_da_lino_45.8519_12.0252,Pizzeria Da Lino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/pizzeria_da_lino_45.8519_12.0252.json,custom
45.849676,12.026531,ov_ristorante_florida_le_sorelle_45.8497_12.0265,Ristorante Florida Le Sorelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/ristorante_florida_le_sorelle_45.8497_12.0265.json,custom
45.855179,12.031284,ov_al_convito_45.8552_12.0313,Al Convito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/al_convito_45.8552_12.0313.json,custom
45.855887,12.024354,ov_pizzeria_azzurra_45.8559_12.0244,Pizzeria Azzurra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/pizzeria_azzurra_45.8559_12.0244.json,custom
45.869464,11.968839,osm_shiko__lounge_and_restaurant___pederobba_45.8695_11.9688,Shiko' Lounge and Restaurant - Pederobba - Sushi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/shiko_lounge_and_restaurant_-_pederobba__45.8695_11.9688.json,custom
45.874358,11.948333,ov_macchie_di_vino_45.8744_11.9483,Macchie di Vino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/macchie_di_vino_45.8744_11.9483.json,custom
45.863504,11.954005,ov_petra_rubla_45.8635_11.9540,Petra Rubla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/petra_rubla_45.8635_11.9540.json,custom
45.866455,11.975561,ov_old_saloon_pub_45.8665_11.9756,Old Saloon pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/old_saloon_pub_45.8665_11.9756.json,custom
45.866678,11.975676,ov_snack_bar_tabacchi_faccin_andrea_45.8667_11.9757,Snack Bar Tabacchi Faccin Andrea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/snack_bar_tabacchi_faccin_andrea_45.8667_11.9757.json,custom
45.859590,11.985449,ov_bar_italia_di_reginato_erica_45.8596_11.9854,Bar Italia di Reginato Erica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/bar_italia_di_reginato_erica_45.8596_11.9854.json,custom
45.867143,11.969930,ov_32_via_dei_birrai_45.8671_11.9699,32 Via dei birrai,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/32_via_dei_birrai_45.8671_11.9699.json,custom
45.859999,11.996491,ov_le_rive_autogrill_45.8600_11.9965,Le Rive autogrill,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/le_rive_autogrill_45.8600_11.9965.json,custom
45.849234,12.003787,ov_bar_la_curva_45.8492_12.0038,Bar La Curva,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/bar_la_curva_45.8492_12.0038.json,custom
45.847679,12.004009,ov_bar_dai_oci_45.8477_12.0040,Bar Dai Oci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/bar_dai_oci_45.8477_12.0040.json,custom
45.856407,12.024894,ov_viavai_caf__covolo_45.8564_12.0249,Viavai Cafè Covolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/viavai_caf_covolo_45.8564_12.0249.json,custom
45.854105,12.024565,ov_pasticceria_botter_45.8541_12.0246,Pasticceria Botter,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/pasticceria_botter_45.8541_12.0246.json,custom
45.877711,11.953628,osm_caffetteria_kikko_45.8777_11.9536,Caffetteria Kikko,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/caffetteria_kikko_45.8777_11.9536.json,custom
45.874387,11.946869,ov_4performance_fitting_and_coaching_45.8744_11.9469,4Performance Fitting and Coaching,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/4performance_fitting_and_coaching_45.8744_11.9469.json,custom
45.866665,11.975538,ov_fisico_fitness_club_srl_ssd_45.8667_11.9755,Fisico Fitness Club srl ssd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/fisico_fitness_club_srl_ssd_45.8667_11.9755.json,custom
45.858426,11.954776,ov_i_rigai_scuola_d_equitazione_45.8584_11.9548,I Rigai Scuola d'Equitazione,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/i_rigai_scuola_dequitazione_45.8584_11.9548.json,custom
45.859933,11.985897,ov_biblioteca_comunale_di_pederobba_45.8599_11.9859,Biblioteca Comunale di Pederobba,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pederobba/pages/biblioteca_comunale_di_pederobba_45.8599_11.9859.json,custom
