# lat,lng,id,name,building_type,type,url,page_type
# collecchio -- Tutti
44.787750,10.347380,ov_dr__alessandro_giannone_44.7878_10.3474,Dr. Alessandro Giannone,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/dr_alessandro_giannone_44.7878_10.3474.json,custom
44.713340,10.140680,ov_ortolina_44.7133_10.1407,Ortolina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/ortolina_44.7133_10.1407.json,custom
44.711800,10.142854,ov_pizza_e_cucina_44.7118_10.1429,Pizza e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/pizza_e_cucina_44.7118_10.1429.json,custom
44.699751,10.146296,ov_antico_casale_delle_vigne_44.6998_10.1463,Antico Casale Delle Vigne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/antico_casale_delle_vigne_44.6998_10.1463.json,custom
44.717628,10.152748,ov_osteria_del_menestrello_ora_elli_ristora_44.7176_10.1527,Osteria del Menestrello ora Elli ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/osteria_del_menestrello_ora_elli_ristora_44.7176_10.1527.json,custom
44.727418,10.167326,ov_podere_miranta_44.7274_10.1673,Podere Miranta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/podere_miranta_44.7274_10.1673.json,custom
44.724470,10.174570,ov_elli_ristorante_lounge_bar_44.7245_10.1746,Elli ristorante lounge bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/elli_ristorante_lounge_bar_44.7245_10.1746.json,custom
44.724455,10.174370,ov_bompani_maurizio_44.7245_10.1744,Bompani Maurizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/bompani_maurizio_44.7245_10.1744.json,custom
44.734943,10.231559,ov_salumificio_aurora_44.7349_10.2316,Salumificio Aurora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/salumificio_aurora_44.7349_10.2316.json,custom
44.744175,10.223551,ov_trattoria_le_valli_44.7442_10.2236,Trattoria Le Valli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/trattoria_le_valli_44.7442_10.2236.json,custom
44.746964,10.221755,ov_spiga_d_oro_44.7470_10.2218,Spiga D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/spiga_doro_44.7470_10.2218.json,custom
