# lat,lng,id,name,building_type,type,url,page_type
# melito_di_porto_salvo -- Tutti
37.917472,15.780234,ov_hospital_tiberio_evoli_37.9175_15.7802,Hospital Tiberio Evoli,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/hospital_tiberio_evoli_37.9175_15.7802.json,custom
37.919169,15.774171,ov_fratelli_britti_pizzeria_ristorante_hamb_37.9192_15.7742,Fratelli Britti Pizzeria Ristorante Hamburgheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/fratelli_britti_pizzeria_ristorante_hamb_37.9192_15.7742.json,custom
37.919014,15.778574,ov_nobil_food_drink_37.9190_15.7786,Nobil Food&Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/nobil_fooddrink_37.9190_15.7786.json,custom
37.919019,15.782429,ov_pizzeria_foramalocchiu_37.9190_15.7824,Pizzeria Foramalocchiu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/pizzeria_foramalocchiu_37.9190_15.7824.json,custom
37.925832,15.756822,ov_pizzeria_number_one_anna_37.9258_15.7568,Pizzeria Number One Anna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/pizzeria_number_one_anna_37.9258_15.7568.json,custom
37.920434,15.803385,ov_pizzeria_rosticceria_cornetteria_da_cicc_37.9204_15.8034,Pizzeria Rosticceria Cornetteria Da Ciccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/pizzeria_rosticceria_cornetteria_da_cicc_37.9204_15.8034.json,custom
37.920313,15.787081,ov_le_mille_e_una_pasta_37.9203_15.7871,Le Mille E Una Pasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/le_mille_e_una_pasta_37.9203_15.7871.json,custom
37.920269,15.785382,ov_stil_dolce_37.9203_15.7854,Stil Dolce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/stil_dolce_37.9203_15.7854.json,custom
37.920319,15.784071,ov_pizzeria_rosticceria_l_angolo_37.9203_15.7841,Pizzeria Rosticceria L'Angolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/pizzeria_rosticceria_langolo_37.9203_15.7841.json,custom
37.919922,15.774772,ov_pizzeria_ristorante_pepe_rosso_di_sivigl_37.9199_15.7748,Pizzeria Ristorante Pepe Rosso di Siviglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/pizzeria_ristorante_pepe_rosso_di_sivigl_37.9199_15.7748.json,custom
37.919910,15.786930,ov_lido_acrobatic_sol_caliente_37.9199_15.7869,Lido Acrobatic Sol Caliente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/lido_acrobatic_sol_caliente_37.9199_15.7869.json,custom
37.919856,15.786931,ov_cristal_bar_37.9199_15.7869,Cristal Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/cristal_bar_37.9199_15.7869.json,custom
37.919670,15.774333,ov_piper_enoteca_bistrot_37.9197_15.7743,Piper Enoteca&Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/piper_enotecabistrot_37.9197_15.7743.json,custom
37.919519,15.771614,ov_mariu_37.9195_15.7716,Mariu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/mariu_37.9195_15.7716.json,custom
37.920650,15.764331,ov_ristorante_pizzeria_rosticceria_da_nino_37.9207_15.7643,Ristorante Pizzeria Rosticceria Da Nino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/ristorante_pizzeria_rosticceria_da_nino_37.9207_15.7643.json,custom
37.920514,15.779944,ov_hello_sushi_37.9205_15.7799,hello sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/hello_sushi_37.9205_15.7799.json,custom
37.920340,15.787064,ov_pizzaro_37.9203_15.7871,Pizzaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/pizzaro_37.9203_15.7871.json,custom
37.921121,15.778085,ov_tekevuoi_37.9211_15.7781,Tekevuoi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/tekevuoi_37.9211_15.7781.json,custom
37.920898,15.764220,ov_ristorante_levante_37.9209_15.7642,Ristorante Levante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/ristorante_levante_37.9209_15.7642.json,custom
37.921881,15.785211,ov_osteria_turioleddu_37.9219_15.7852,Osteria Turioleddu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/osteria_turioleddu_37.9219_15.7852.json,custom
37.921695,15.754138,ov_la_cantina_di_juta_37.9217_15.7541,La Cantina di Juta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/la_cantina_di_juta_37.9217_15.7541.json,custom
37.929444,15.753157,ov_casina_dei_mille_37.9294_15.7532,Casina dei Mille,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/casina_dei_mille_37.9294_15.7532.json,custom
37.930740,15.750830,ov_agriturismo_valle_di_pentidattilo_37.9307_15.7508,Agriturismo Valle di Pentidattilo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/agriturismo_valle_di_pentidattilo_37.9307_15.7508.json,custom
37.950025,15.762799,ov_agriturismo_mille_sapori_37.9500_15.7628,Agriturismo Mille Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/agriturismo_mille_sapori_37.9500_15.7628.json,custom
37.950410,15.761230,ov_la_cantina_di_nonno_nino___pentidattilo_37.9504_15.7612,La Cantina di Nonno Nino - Pentidattilo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/la_cantina_di_nonno_nino_-_pentidattilo_37.9504_15.7612.json,custom
37.916697,15.771094,ov_mari_s_bar_37.9167_15.7711,Mari's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/maris_bar_37.9167_15.7711.json,custom
37.918043,15.773747,ov_gran_caffe_zampaglione_37.9180_15.7737,Gran Caffe Zampaglione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/gran_caffe_zampaglione_37.9180_15.7737.json,custom
37.919016,15.781162,ov_art_cafe__ristorazione_di_simona_muia__37.9190_15.7812,Art Cafe' ristorazione di Simona Muia',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/art_cafe_ristorazione_di_simona_muia_37.9190_15.7812.json,custom
37.919020,15.781182,ov_roxy_bar_37.9190_15.7812,Roxy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/roxy_bar_37.9190_15.7812.json,custom
37.918928,15.783061,ov_green_apple_37.9189_15.7831,Green Apple,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/green_apple_37.9189_15.7831.json,custom
37.920324,15.782738,ov_macelleria_di_nucera_domenico_37.9203_15.7827,Macelleria Di Nucera Domenico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/macelleria_di_nucera_domenico_37.9203_15.7827.json,custom
37.920281,15.778601,ov_circolo_jolly_blu_37.9203_15.7786,Circolo Jolly Blu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/circolo_jolly_blu_37.9203_15.7786.json,custom
37.919900,15.777520,ov_bar_porto_salvo_cafe__37.9199_15.7775,Bar porto salvo Cafe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/bar_porto_salvo_cafe_37.9199_15.7775.json,custom
37.919992,15.781486,ov_bar_pizzeria_del_corso_37.9200_15.7815,Bar pizzeria del corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/bar_pizzeria_del_corso_37.9200_15.7815.json,custom
37.919337,15.778712,ov_bar_vuni_37.9193_15.7787,Bar Vuni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/bar_vuni_37.9193_15.7787.json,custom
