# lat,lng,id,name,building_type,type,url,page_type
# Colledimezzo -- Tutti
41.985907,14.382475,osm_ristopub_41.9859_14.3825,Ristopub,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/colledimezzo/pages/ristopub_41.9859_14.3825.json,custom
41.985974,14.382327,ov_the_whip_pub_41.9860_14.3823,The Whip Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/colledimezzo/pages/the_whip_pub_41.9860_14.3823.json,custom
41.985675,14.380926,ov_bar_for_you_41.9857_14.3809,Bar For You,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/colledimezzo/pages/bar_for_you_41.9857_14.3809.json,custom
