# lat,lng,id,name,building_type,type,url,page_type
# Saint-Gervais-les-Bains -- Tutti
45.896010,6.706280,ov_centre_thermal_45.8960_6.7063,Centre Thermal,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-gervais-les-bains/pages/centre_thermal_45.8960_6.7063.json,custom
45.905590,6.704810,ov_le_pur_bar_restaurant_45.9056_6.7048,Le Pur Bar Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-gervais-les-bains/pages/le_pur_bar_restaurant_45.9056_6.7048.json,custom
45.904626,6.702445,ov_planb_living_saint_gervais___hotel_45.9046_6.7024,Planb Living Saint-Gervais - Hotel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-gervais-les-bains/pages/planb_living_saint-gervais_-_hotel_45.9046_6.7024.json,custom
45.904626,6.701846,ov_chez_steph_45.9046_6.7018,Chez Steph,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-gervais-les-bains/pages/chez_steph_45.9046_6.7018.json,custom
45.905318,6.701664,ov_tesoro_mio_45.9053_6.7017,Tesoro Mio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-gervais-les-bains/pages/tesoro_mio_45.9053_6.7017.json,custom
45.904884,6.701540,ov_royale_tandoori_45.9049_6.7015,Royale Tandoori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-gervais-les-bains/pages/royale_tandoori_45.9049_6.7015.json,custom
45.904710,6.701490,ov_chalet_restaurant_du_lac_vert_45.9047_6.7015,Chalet restaurant du lac vert,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-gervais-les-bains/pages/chalet_restaurant_du_lac_vert_45.9047_6.7015.json,custom
45.904713,6.701467,ov_bouchon_du_bon_nant_45.9047_6.7015,Bouchon du Bon-Nant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-gervais-les-bains/pages/bouchon_du_bon-nant_45.9047_6.7015.json,custom
45.904912,6.701432,ov_plaine_joux_45.9049_6.7014,Plaine Joux,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-gervais-les-bains/pages/plaine_joux_45.9049_6.7014.json,custom
45.905333,6.700394,ov_la_casa_cosy_45.9053_6.7004,La Casa Cosy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-gervais-les-bains/pages/la_casa_cosy_45.9053_6.7004.json,custom
45.904730,6.699310,ov_rest__du_brevent_45.9047_6.6993,Rest. du Brevent,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-gervais-les-bains/pages/rest_du_brevent_45.9047_6.6993.json,custom
45.881307,6.680261,ov_restaurant_la_causette_45.8813_6.6803,Restaurant la Causette,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-gervais-les-bains/pages/restaurant_la_causette_45.8813_6.6803.json,custom
45.874809,6.685484,ov_l_embuscade_45.8748_6.6855,L'Embuscade,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/saint-gervais-les-bains/pages/lembuscade_45.8748_6.6855.json,custom
