# lat,lng,id,name,building_type,type,url,page_type
# macerata_campania -- Tutti
41.062626,14.273873,ov_bar_pausa_caff__41.0626_14.2739,bar pausa caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/bar_pausa_caff_41.0626_14.2739.json,custom
41.062509,14.274294,ov_bar_dany_41.0625_14.2743,Bar Dany,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/bar_dany_41.0625_14.2743.json,custom
41.063868,14.276573,ov_il_gusto_del_caffe_41.0639_14.2766,Il Gusto Del Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/il_gusto_del_caffe_41.0639_14.2766.json,custom
41.062617,14.279500,ov_caffetteria_mazzini___di_merola_giovanni_41.0626_14.2795,Caffetteria Mazzini - di Merola Giovanni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/caffetteria_mazzini_-_di_merola_giovanni_41.0626_14.2795.json,custom
41.062237,14.280353,ov_unique_bar_41.0622_14.2804,Unique Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/unique_bar_41.0622_14.2804.json,custom
41.064502,14.284115,ov_mykas_41.0645_14.2841,Mykas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/mykas_41.0645_14.2841.json,custom
41.061516,14.282532,ov_bar_pausa_caff__41.0615_14.2825,Bar Pausa Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/bar_pausa_caff_41.0615_14.2825.json,custom
41.062668,14.287637,ov_revive_cafe_41.0627_14.2876,Revive Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/revive_cafe_41.0627_14.2876.json,custom
41.063179,14.291017,ov_bar_barbarossa_41.0632_14.2910,Bar Barbarossa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/bar_barbarossa_41.0632_14.2910.json,custom
41.068380,14.267401,ov_chalet_la_piazzetta_41.0684_14.2674,Chalet La Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/chalet_la_piazzetta_41.0684_14.2674.json,custom
41.068636,14.269176,ov_york_caf__lounge_bar_41.0686_14.2692,York Café Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/york_caf_lounge_bar_41.0686_14.2692.json,custom
41.066057,14.274352,ov_wine_bar_l_incontro_41.0661_14.2744,Wine bar l'incontro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/wine_bar_lincontro_41.0661_14.2744.json,custom
41.068637,14.274103,ov_peter_s_bar_41.0686_14.2741,Peter's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/peters_bar_41.0686_14.2741.json,custom
41.067145,14.278031,ov_elit__lounge_bar_caf__41.0671_14.2780,Elité Lounge Bar Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/elit_lounge_bar_caf_41.0671_14.2780.json,custom
41.067290,14.290493,ov_infinity_bar_eventi_41.0673_14.2905,Infinity Bar Eventi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/infinity_bar_eventi_41.0673_14.2905.json,custom
41.065622,14.279956,ov_eden_project_fitness_41.0656_14.2800,Eden Project Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/eden_project_fitness_41.0656_14.2800.json,custom
41.062048,14.280307,ov_dynamic_big_center_41.0620_14.2803,Dynamic Big Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/dynamic_big_center_41.0620_14.2803.json,custom
41.061696,14.288685,ov_club_10_41.0617_14.2887,CLUB 10,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/club_10_41.0617_14.2887.json,custom
41.062726,14.291909,ov_billiard_club_max_landi_s_41.0627_14.2919,Billiard Club Max Landi's,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/billiard_club_max_landis_41.0627_14.2919.json,custom
41.066404,14.274812,ov_excelsior_41.0664_14.2748,Excelsior,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/excelsior_41.0664_14.2748.json,custom
41.062389,14.279311,osm_poste_italiane_41.0624_14.2793,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/poste_italiane_41.0624_14.2793.json,custom
40.612540,14.986160,ov_mare___gusto_40.6125_14.9862,Mare & Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/macerata_campania/pages/mare_gusto_40.6125_14.9862.json,custom
