# lat,lng,id,name,building_type,type,url,page_type
# Bitritto -- Tutti
41.043889,16.826670,ov_hakuna_matata_caffetteria_pasticceria_bi_41.0439_16.8267,Hakuna Matata Caffetteria Pasticceria Bitritto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/bitritto/pages/hakuna_matata_caffetteria_pasticceria_bi_41.0439_16.8267.json,custom
41.041760,16.826692,ov_intenso_caffe_41.0418_16.8267,Intenso Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/bitritto/pages/intenso_caffe_41.0418_16.8267.json,custom
41.042105,16.826445,ov_carella_bevande_41.0421_16.8264,Carella bevande,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/bitritto/pages/carella_bevande_41.0421_16.8264.json,custom
41.017925,16.823637,ov_centro_ippico_a_s_d_grey_horse_41.0179_16.8236,Centro Ippico A.S.D GREY HORSE,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/bitritto/pages/centro_ippico_asd_grey_horse_41.0179_16.8236.json,custom
41.064404,16.833200,ov_glock_paintball_bari_41.0644_16.8332,Glock Paintball Bari,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/bitritto/pages/glock_paintball_bari_41.0644_16.8332.json,custom
41.047959,16.826058,ov_associazione_culturale_yoga_shanti_41.0480_16.8261,Associazione Culturale Yoga Shanti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/bitritto/pages/associazione_culturale_yoga_shanti_41.0480_16.8261.json,custom
41.045650,16.827299,ov_il_cigno___accademia_di_danza_41.0457_16.8273,Il Cigno   Accademia di Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/bitritto/pages/il_cigno_accademia_di_danza_41.0457_16.8273.json,custom
41.045898,16.820884,ov_stadio_comunale_di_bitritto_41.0459_16.8209,Stadio Comunale di Bitritto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/bitritto/pages/stadio_comunale_di_bitritto_41.0459_16.8209.json,custom
41.045136,16.824908,ov_team_puglia_danza_sportiva_41.0451_16.8249,Team Puglia Danza Sportiva,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/bitritto/pages/team_puglia_danza_sportiva_41.0451_16.8249.json,custom
41.043092,16.828596,ov_physique_du_role_41.0431_16.8286,Physique du Role,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/bitritto/pages/physique_du_role_41.0431_16.8286.json,custom
41.043143,16.835054,ov_area_virtus_ludi_41.0431_16.8351,Area Virtus Ludi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/bitritto/pages/area_virtus_ludi_41.0431_16.8351.json,custom
41.041592,16.830393,ov_tropicalismo_dance_41.0416_16.8304,Tropicalismo Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/bitritto/pages/tropicalismo_dance_41.0416_16.8304.json,custom
41.037175,16.826982,ov_new_universal_gym_41.0372_16.8270,New Universal Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/bitritto/pages/new_universal_gym_41.0372_16.8270.json,custom
41.037692,16.827401,ov_phoenix_studio_41.0377_16.8274,Phoenix studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/bitritto/pages/phoenix_studio_41.0377_16.8274.json,custom
