# lat,lng,id,name,building_type,type,url,page_type
# Brisighella -- Tutti
44.223857,11.772353,ov_la_lanterna_44.2239_11.7724,La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/la_lanterna_44.2239_11.7724.json,custom
44.223784,11.772519,ov_caff__della_loggia_44.2238_11.7725,Caffè della Loggia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/caff_della_loggia_44.2238_11.7725.json,custom
44.223629,11.772459,ov_cantina_del_bonsignore_44.2236_11.7725,Cantina del Bonsignore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/cantina_del_bonsignore_44.2236_11.7725.json,custom
44.223732,11.772927,ov_cucina_vietnamita_44.2237_11.7729,Cucina vietnamita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/cucina_vietnamita_44.2237_11.7729.json,custom
44.223808,11.773023,ov_l_osteria_di_guercinoro_44.2238_11.7730,L'Osteria Di Guercinoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/losteria_di_guercinoro_44.2238_11.7730.json,custom
44.223733,11.773313,ov_ristorante_stryx_44.2237_11.7733,Ristorante Stryx,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/ristorante_stryx_44.2237_11.7733.json,custom
44.223680,11.773386,ov_bruschetteria_torre_44.2237_11.7734,Bruschetteria TORRE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/bruschetteria_torre_44.2237_11.7734.json,custom
44.223592,11.774009,ov_la_grotta_44.2236_11.7740,La Grotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/la_grotta_44.2236_11.7740.json,custom
44.223539,11.776954,ov_pausa_pizza_44.2235_11.7770,Pausa Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/pausa_pizza_44.2235_11.7770.json,custom
44.221812,11.776567,ov_albergo_ristorante_tre_colli_44.2218_11.7766,Albergo Ristorante Tre Colli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/albergo_ristorante_tre_colli_44.2218_11.7766.json,custom
44.203662,11.731961,ov_farine_di_mela_44.2037_11.7320,Farine di Mela,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/farine_di_mela_44.2037_11.7320.json,custom
44.196905,11.718399,ov_pizzeria_ristorante_da_quei_due_44.1969_11.7184,Pizzeria Ristorante Da Quei Due,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/pizzeria_ristorante_da_quei_due_44.1969_11.7184.json,custom
44.209381,11.907631,ov_agriturismo_morattina_44.2094_11.9076,Agriturismo Morattina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/agriturismo_morattina_44.2094_11.9076.json,custom
44.422883,12.165618,ov_ioyi_fusion__experience_44.4229_12.1656,IOYI fusion- Experience,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/ioyi_fusion-_experience_44.4229_12.1656.json,custom
44.254350,11.758930,osm_torre_del_marino_44.2544_11.7589,Torre del Marino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/torre_del_marino_44.2544_11.7589.json,custom
