# lat,lng,id,name,building_type,type,url,page_type
# Licata -- Tutti
37.107372,13.924650,ov_ospedale_san_giacomo_d_altopasso_37.1074_13.9247,Ospedale San Giacomo d'Altopasso,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/ospedale_san_giacomo_daltopasso_37.1074_13.9247.json,custom
37.110279,13.867507,ov_cala_del_re_37.1103_13.8675,Cala del Re,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/cala_del_re_37.1103_13.8675.json,custom
37.108687,13.932470,ov_voglia_di_pizza_da_vicari_37.1087_13.9325,Voglia di Pizza da Vicari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/voglia_di_pizza_da_vicari_37.1087_13.9325.json,custom
37.108968,13.928797,ov_pizzeria_panineria_gabibbo_37.1090_13.9288,Pizzeria panineria Gabibbo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzeria_panineria_gabibbo_37.1090_13.9288.json,custom
37.109190,13.928207,ov_yoro_sushi_restaurant_37.1092_13.9282,Yoro Sushi Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/yoro_sushi_restaurant_37.1092_13.9282.json,custom
37.109189,13.928247,ov_ballar____cibi_di_strada_37.1092_13.9282,Ballarò - Cibi di strada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/ballar_-_cibi_di_strada_37.1092_13.9282.json,custom
37.110879,13.916158,ov_ristorante_pizzeria_las_vegas_37.1109_13.9162,Ristorante pizzeria Las Vegas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/ristorante_pizzeria_las_vegas_37.1109_13.9162.json,custom
37.112668,13.927497,ov_la_dispensa_cafe_bistrot_37.1127_13.9275,La Dispensa Cafe Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/la_dispensa_cafe_bistrot_37.1127_13.9275.json,custom
37.115248,13.920804,ov_a_modo_nostro_s_r_l__37.1152_13.9208,A Modo Nostro S.R.L.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/a_modo_nostro_srl_37.1152_13.9208.json,custom
37.115694,13.882003,ov_la_rotonda_di_cantavenera_37.1157_13.8820,La Rotonda di Cantavenera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/la_rotonda_di_cantavenera_37.1157_13.8820.json,custom
37.118429,13.934012,ov_pizzeria_toto_to_go_37.1184_13.9340,Pizzeria toto to go,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzeria_toto_to_go_37.1184_13.9340.json,custom
37.120755,13.920679,ov_al_bivio_ristorante_pizzeria_37.1208_13.9207,Al Bivio Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/al_bivio_ristorante_pizzeria_37.1208_13.9207.json,custom
37.113643,13.969511,ov_ristorante_el_sombrero_37.1136_13.9695,Ristorante El Sombrero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/ristorante_el_sombrero_37.1136_13.9695.json,custom
37.115867,13.963939,ov_hotel_ristorante_sombrero_37.1159_13.9639,Hotel Ristorante Sombrero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/hotel_ristorante_sombrero_37.1159_13.9639.json,custom
37.114267,13.958022,ov_l_amo_di_maui_37.1143_13.9580,L'Amo di Maui,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/lamo_di_maui_37.1143_13.9580.json,custom
37.109422,13.949878,ov_pizzeria_ciao_ciao_37.1094_13.9499,Pizzeria Ciao Ciao,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzeria_ciao_ciao_37.1094_13.9499.json,custom
37.108346,13.949902,ov_pizzeria_trevi_37.1083_13.9499,Pizzeria Trevi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzeria_trevi_37.1083_13.9499.json,custom
37.107885,13.969829,ov_oasi_beach_osteria_del_mare_37.1079_13.9698,Oasi Beach Osteria del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/oasi_beach_osteria_del_mare_37.1079_13.9698.json,custom
37.110967,13.979602,ov_lido_bellia_37.1110_13.9796,Lido Bellia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/lido_bellia_37.1110_13.9796.json,custom
37.097240,13.941309,ov_alkala_ristorante_pizzeria_37.0972_13.9413,Alkala Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/alkala_ristorante_pizzeria_37.0972_13.9413.json,custom
37.097458,13.940039,ov_sardasalata_pizza_spaghetti_37.0975_13.9400,SardaSalata Pizza&Spaghetti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/sardasalata_pizzaspaghetti_37.0975_13.9400.json,custom
37.097879,13.939218,ov_ristorante_de_gustibus_licata_37.0979_13.9392,Ristorante De Gustibus Licata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/ristorante_de_gustibus_licata_37.0979_13.9392.json,custom
37.097906,13.940268,ov_genki_sushi_37.0979_13.9403,Genki Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/genki_sushi_37.0979_13.9403.json,custom
37.097924,13.940948,ov_ristorante_pizzeria_gulliver_37.0979_13.9409,Ristorante Pizzeria Gulliver,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/ristorante_pizzeria_gulliver_37.0979_13.9409.json,custom
37.098146,13.940138,ov_old_fashion_pub_37.0981_13.9401,Old Fashion Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/old_fashion_pub_37.0981_13.9401.json,custom
37.098411,13.940250,ov_al_solito_posto_pizzeria_panineria_09227_37.0984_13.9403,Al solito posto pizzeria panineria 0922772457,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/al_solito_posto_pizzeria_panineria_09227_37.0984_13.9403.json,custom
37.098793,13.940093,ov_pizzificio_lievito_mare_37.0988_13.9401,Pizzificio Lievito Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzificio_lievito_mare_37.0988_13.9401.json,custom
37.098620,13.940346,ov_le_arcate_37.0986_13.9403,Le Arcate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/le_arcate_37.0986_13.9403.json,custom
37.097784,13.943537,ov_luna_restaurant_licata_37.0978_13.9435,Luna Restaurant Licata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/luna_restaurant_licata_37.0978_13.9435.json,custom
37.097794,13.944283,ov_pani_cunzatu_37.0978_13.9443,Pani Cunzatu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pani_cunzatu_37.0978_13.9443.json,custom
37.099440,13.943430,ov_bar_sarni_licata_37.0994_13.9434,Bar Sarni Licata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/bar_sarni_licata_37.0994_13.9434.json,custom
37.099438,13.941633,ov_logico_37.0994_13.9416,Logico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/logico_37.0994_13.9416.json,custom
37.099075,13.940210,ov_senza_funnu_licata_37.0991_13.9402,Senza Funnu Licata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/senza_funnu_licata_37.0991_13.9402.json,custom
37.099025,13.940066,ov_ristorante_pizzeria_il_mulino_37.0990_13.9401,Ristorante Pizzeria Il Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/ristorante_pizzeria_il_mulino_37.0990_13.9401.json,custom
37.099102,13.939993,ov_curo_palliamo_37.0991_13.9400,Curo Palliamo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/curo_palliamo_37.0991_13.9400.json,custom
37.099568,13.939766,ov_fauzzeria_37.0996_13.9398,Fauzzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/fauzzeria_37.0996_13.9398.json,custom
37.100908,13.939402,ov_pizzeria_sant_angelo_37.1009_13.9394,Pizzeria Sant'Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzeria_santangelo_37.1009_13.9394.json,custom
37.102312,13.939163,ov_art_cafe___licata_37.1023_13.9392,ART CAFE'  Licata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/art_cafe_licata_37.1023_13.9392.json,custom
37.102219,13.943876,ov_sciatu_37.1022_13.9439,Sciatu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/sciatu_37.1022_13.9439.json,custom
37.103292,13.939620,ov_pizzeria_makari_37.1033_13.9396,Pizzeria Makari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzeria_makari_37.1033_13.9396.json,custom
37.103703,13.941249,ov_licata_pizzeria_80_fame_37.1037_13.9412,Licata Pizzeria 80 fame,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/licata_pizzeria_80_fame_37.1037_13.9412.json,custom
37.104703,13.944077,ov_spizzico_37.1047_13.9441,Spizzico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/spizzico_37.1047_13.9441.json,custom
37.104791,13.945313,ov_perez_37.1048_13.9453,Perez,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/perez_37.1048_13.9453.json,custom
