# lat,lng,id,name,building_type,type,url,page_type
# Casorate Primo -- Tutti
45.308803,9.014698,ov_ospedale_carlo_mira_45.3088_9.0147,Ospedale Carlo Mira,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/ospedale_carlo_mira_45.3088_9.0147.json,custom
45.311091,9.021583,ov_mezzaluna_pizzeria_casorate_45.3111_9.0216,Mezzaluna Pizzeria Casorate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/mezzaluna_pizzeria_casorate_45.3111_9.0216.json,custom
45.313640,9.015282,ov_pizzeria_il_mago_4_45.3136_9.0153,Pizzeria Il Mago 4,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/pizzeria_il_mago_4_45.3136_9.0153.json,custom
45.306042,9.009449,ov_la_plaza_cafe_45.3060_9.0094,La Plaza Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/la_plaza_cafe_45.3060_9.0094.json,custom
45.306171,9.010340,ov_myshibuya_sushi_point_45.3062_9.0103,MyShibuya Sushi Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/myshibuya_sushi_point_45.3062_9.0103.json,custom
45.306663,9.010711,ov_la_conca_d_oro_45.3067_9.0107,La Conca D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/la_conca_doro_45.3067_9.0107.json,custom
45.313145,9.018400,ov_la_muraglia_45.3131_9.0184,La Muraglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/la_muraglia_45.3131_9.0184.json,custom
45.313073,9.018695,ov_pizzeria_italy_italy_45.3131_9.0187,Pizzeria Italy Italy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/pizzeria_italy_italy_45.3131_9.0187.json,custom
45.311147,9.019813,ov_mister_pizza_casorate_primo___joseph___45.3111_9.0198,Mister pizza Casorate primo & Joseph &,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/mister_pizza_casorate_primo_joseph__45.3111_9.0198.json,custom
45.311135,9.020480,ov_enoteca_raiteri_45.3111_9.0205,Enoteca Raiteri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/enoteca_raiteri_45.3111_9.0205.json,custom
45.310934,9.020655,ov_la_dolce_vita_45.3109_9.0207,La Dolce Vita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/la_dolce_vita_45.3109_9.0207.json,custom
45.309303,9.018501,ov_l_artigiano_della_pizza_45.3093_9.0185,L'Artigiano della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/lartigiano_della_pizza_45.3093_9.0185.json,custom
45.310768,9.021312,ov_bar_paradise_45.3108_9.0213,Bar Paradise,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/bar_paradise_45.3108_9.0213.json,custom
45.313616,9.023402,ov_bar_la_corte_wine_and_beer_45.3136_9.0234,Bar La Corte Wine and Beer,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/bar_la_corte_wine_and_beer_45.3136_9.0234.json,custom
45.316260,9.026907,ov_alma_66_45.3163_9.0269,Alma 66,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/alma_66_45.3163_9.0269.json,custom
45.313828,9.017949,ov_bar_la_laguna_45.3138_9.0179,Bar La Laguna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/bar_la_laguna_45.3138_9.0179.json,custom
45.309878,9.012649,ov_bar_oasi_di_barletta_ivan_snc_45.3099_9.0126,Bar Oasi Di Barletta Ivan Snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/bar_oasi_di_barletta_ivan_snc_45.3099_9.0126.json,custom
45.313559,9.014624,ov_bar_dani_45.3136_9.0146,BAR DANI,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/bar_dani_45.3136_9.0146.json,custom
45.311660,9.019650,ov_bar_rinascimento_45.3117_9.0197,bar_rinascimento,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/barrinascimento_45.3117_9.0197.json,custom
45.311660,9.020080,ov_bar_centrale_45.3117_9.0201,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/bar_centrale_45.3117_9.0201.json,custom
45.315600,9.022553,ov_palestra_sport_e_salute_45.3156_9.0226,Palestra Sport e Salute,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/palestra_sport_e_salute_45.3156_9.0226.json,custom
45.316197,9.022880,ov_vivi_pilates_45.3162_9.0229,Vivi Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/vivi_pilates_45.3162_9.0229.json,custom
45.309204,9.008302,ov_club_italian_fitness_45.3092_9.0083,Club Italian Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/club_italian_fitness_45.3092_9.0083.json,custom
45.309268,9.016697,ov_primo_pilates_ed_eldoa_45.3093_9.0167,Primo Pilates ed ELDOA,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/primo_pilates_ed_eldoa_45.3093_9.0167.json,custom
45.310511,9.019931,ov_la_biblioteca_il_sognalibro_45.3105_9.0199,La Biblioteca Il SognaLibro,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casorate_primo/pages/la_biblioteca_il_sognalibro_45.3105_9.0199.json,custom
