# lat,lng,id,name,building_type,type,url,page_type
# Saonara -- Tutti
45.384371,11.959517,ov_givas_45.3844_11.9595,Givas,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/givas_45.3844_11.9595.json,custom
45.381847,11.963566,ov_trattoria_italiana_da_amos_45.3818_11.9636,Trattoria Italiana Da Amos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/trattoria_italiana_da_amos_45.3818_11.9636.json,custom
45.372408,11.979802,ov_pizzeria_antica_osteria_dazzo_45.3724_11.9798,Pizzeria Antica Osteria Dazzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/pizzeria_antica_osteria_dazzo_45.3724_11.9798.json,custom
45.372694,11.973362,ov_agriturismo_ai_giardini_45.3727_11.9734,Agriturismo ai Giardini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/agriturismo_ai_giardini_45.3727_11.9734.json,custom
45.356209,11.971971,ov_trattoria_da_poi_45.3562_11.9720,Trattoria Da Poi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/trattoria_da_poi_45.3562_11.9720.json,custom
45.361814,11.999776,ov_agriturismo_marchetto_45.3618_11.9998,Agriturismo Marchetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/agriturismo_marchetto_45.3618_11.9998.json,custom
45.364205,11.988662,ov_antica_trattoria_al_bosco_45.3642_11.9887,Antica Trattoria Al Bosco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/antica_trattoria_al_bosco_45.3642_11.9887.json,custom
45.373372,11.995718,ov_trattoria_ai_vivai_45.3734_11.9957,Trattoria Ai Vivai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/trattoria_ai_vivai_45.3734_11.9957.json,custom
45.384675,11.965666,ov_mcdonald_s_45.3847_11.9657,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/mcdonalds_45.3847_11.9657.json,custom
45.394319,11.965985,ov_tropical_pizza_villatora_45.3943_11.9660,Tropical Pizza Villatora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/tropical_pizza_villatora_45.3943_11.9660.json,custom
45.384855,11.965339,osm_mcdonald_s_45.3849_11.9653,McDonald's,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/mcdonalds_45.3849_11.9653.json,custom
45.371750,11.985143,ov_bar_tabaccheria_la_piazzetta_45.3718_11.9851,Bar Tabaccheria la Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/bar_tabaccheria_la_piazzetta_45.3718_11.9851.json,custom
45.368605,11.984649,ov_kairos_cafe_45.3686_11.9846,Kairos Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/kairos_cafe_45.3686_11.9846.json,custom
45.382226,11.910570,ov_kiosk_8_1_45.3822_11.9106,Kiosk 8.1,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/kiosk_81_45.3822_11.9106.json,custom
45.384338,11.966545,ov_bar_ventotto_45.3843_11.9665,Bar Ventotto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/bar_ventotto_45.3843_11.9665.json,custom
45.383810,11.970520,ov_carmine_rock_45.3838_11.9705,Carmine Rock,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/carmine_rock_45.3838_11.9705.json,custom
45.386649,11.962621,ov_bar_maori_45.3866_11.9626,Bar Maori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/bar_maori_45.3866_11.9626.json,custom
45.386702,11.962198,ov_bar_enne_bar_45.3867_11.9622,Bar Enne Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/bar_enne_bar_45.3867_11.9622.json,custom
45.389881,11.965132,ov_seven_pub_45.3899_11.9651,Seven Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/seven_pub_45.3899_11.9651.json,custom
45.397190,11.967578,ov_anguriara_esotica_di_saonara_45.3972_11.9676,Anguriara esotica di Saonara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/anguriara_esotica_di_saonara_45.3972_11.9676.json,custom
45.397156,11.966184,ov_qui_e_ora_45.3972_11.9662,Qui e Ora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/qui_e_ora_45.3972_11.9662.json,custom
45.386444,11.962521,osm_maori_caf__45.3864_11.9625,Maori Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/maori_caf_45.3864_11.9625.json,custom
45.368518,11.984545,osm_kairos_caf__45.3685_11.9845,Kairos cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/kairos_caf_45.3685_11.9845.json,custom
45.387161,11.963531,ov_legio_s_academy_45.3872_11.9635,Legio's Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/legios_academy_45.3872_11.9635.json,custom
45.387570,11.965980,ov_scuola_ballaora_45.3876_11.9660,Scuola Ballaora,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/scuola_ballaora_45.3876_11.9660.json,custom
45.426835,11.958100,ov_ptlab_vigonza_45.4268_11.9581,PTlab Vigonza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/ptlab_vigonza_45.4268_11.9581.json,custom
45.378507,11.957206,ov_museo_della_pagnotta_45.3785_11.9572,Museo della pagnotta,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/museo_della_pagnotta_45.3785_11.9572.json,custom
45.368952,11.984853,ov_biblioteca_civica_di_saonara_marco_polo_45.3690_11.9849,Biblioteca Civica di Saonara Marco Polo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/biblioteca_civica_di_saonara_marco_polo_45.3690_11.9849.json,custom
45.369266,11.985032,osm_biblioteca_comunale_marco_polo_45.3693_11.9850,Biblioteca Comunale Marco Polo,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/saonara/pages/biblioteca_comunale_marco_polo_45.3693_11.9850.json,custom
