# lat,lng,id,name,building_type,type,url,page_type
# Travacò Siccomario -- Tutti
45.166700,9.166670,ov_policlinico_san_matteo_pavia_pediatria_45.1667_9.1667,Policlinico San Matteo Pavia Pediatria,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/travac_siccomario/pages/policlinico_san_matteo_pavia_pediatria_45.1667_9.1667.json,custom
45.143224,9.167464,ov_agriturismo_la_valbona_45.1432_9.1675,Agriturismo La Valbona,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/travac_siccomario/pages/agriturismo_la_valbona_45.1432_9.1675.json,custom
45.144960,9.158514,ov_il_posticino_45.1450_9.1585,Il Posticino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/travac_siccomario/pages/il_posticino_45.1450_9.1585.json,custom
45.152161,9.162320,ov_strapizzami_45.1522_9.1623,Strapizzami,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/travac_siccomario/pages/strapizzami_45.1522_9.1623.json,custom
45.153258,9.184405,ov_trattoria_sgagnabrodo_45.1533_9.1844,Trattoria Sgagnabrodo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/travac_siccomario/pages/trattoria_sgagnabrodo_45.1533_9.1844.json,custom
45.170856,9.163687,ov_l_ustaria_di_giugaton_45.1709_9.1637,L'Ustaria di Giugaton,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/travac_siccomario/pages/lustaria_di_giugaton_45.1709_9.1637.json,custom
45.170085,9.164742,ov_trattoria_la_barcela_di_draghi_45.1701_9.1647,Trattoria La Barcela Di Draghi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/travac_siccomario/pages/trattoria_la_barcela_di_draghi_45.1701_9.1647.json,custom
45.152831,9.162673,ov_bar_centro_45.1528_9.1627,Bar Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/travac_siccomario/pages/bar_centro_45.1528_9.1627.json,custom
45.169761,9.158991,ov_il_girasole_di_travac__45.1698_9.1590,Il Girasole di Travacò,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/travac_siccomario/pages/il_girasole_di_travac_45.1698_9.1590.json,custom
45.254070,9.039060,ov_bar_il_girasole_45.2541_9.0391,Bar IL Girasole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/travac_siccomario/pages/bar_il_girasole_45.2541_9.0391.json,custom
45.164035,9.143053,ov_ab_fit_personal_trainers_45.1640_9.1431,AB Fit Personal Trainers,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/travac_siccomario/pages/ab_fit_personal_trainers_45.1640_9.1431.json,custom
45.163235,9.142472,ov_asd_gym_art_45.1632_9.1425,ASD Gym Art,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/travac_siccomario/pages/asd_gym_art_45.1632_9.1425.json,custom
45.166700,9.166670,ov_salice_terme_45.1667_9.1667,Salice Terme,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/travac_siccomario/pages/salice_terme_45.1667_9.1667.json,custom
