# lat,lng,id,name,building_type,type,url,page_type
# Donnas -- Tutti
45.603387,7.773594,osm_poliambulatorio_di_donnas_45.6034_7.7736,Poliambulatorio di Donnas,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/donnas/pages/poliambulatorio_di_donnas_45.6034_7.7736.json,custom
45.599846,7.769795,ov_bonne_vallee_45.5998_7.7698,Bonne Vallee,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/donnas/pages/bonne_vallee_45.5998_7.7698.json,custom
45.599917,7.769891,ov_ristorante_lou_ros__45.5999_7.7699,Ristorante Lou Rosé,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/donnas/pages/ristorante_lou_ros_45.5999_7.7699.json,custom
45.599832,7.781338,ov_bar_ristorante_il_grullaio_45.5998_7.7813,Bar Ristorante Il Grullaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/donnas/pages/bar_ristorante_il_grullaio_45.5998_7.7813.json,custom
45.612369,7.756138,ov_le_rocher_fleuri_45.6124_7.7561,Le Rocher Fleuri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/donnas/pages/le_rocher_fleuri_45.6124_7.7561.json,custom
45.603106,7.766893,ov_mon_bijou_45.6031_7.7669,Mon Bijou,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/donnas/pages/mon_bijou_45.6031_7.7669.json,custom
45.603054,7.772854,ov_ristorante_les_caves_45.6031_7.7729,Ristorante les Caves,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/donnas/pages/ristorante_les_caves_45.6031_7.7729.json,custom
45.603061,7.772987,ov_bar_ristorante_les_caves_de_donnas_45.6031_7.7730,Bar Ristorante Les Caves de Donnas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/donnas/pages/bar_ristorante_les_caves_de_donnas_45.6031_7.7730.json,custom
45.603317,7.769459,ov_la_capricciosa_45.6033_7.7695,La Capricciosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/donnas/pages/la_capricciosa_45.6033_7.7695.json,custom
45.599896,7.765364,ov_la_nuit_45.5999_7.7654,La Nuit,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/donnas/pages/la_nuit_45.5999_7.7654.json,custom
45.603003,7.766311,ov_bar_comola_bikafe_45.6030_7.7663,Bar Comola Bikafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/donnas/pages/bar_comola_bikafe_45.6030_7.7663.json,custom
45.603040,7.766895,osm_mon_bijou_lounge_bar_ristoburger_45.6030_7.7669,Mon Bijou Lounge Bar Ristoburger,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/donnas/pages/mon_bijou_lounge_bar_ristoburger_45.6030_7.7669.json,custom
45.603073,7.767690,osm_poste_italiane_45.6031_7.7677,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/donnas/pages/poste_italiane_45.6031_7.7677.json,custom
45.603340,7.767039,ov_biblioteca_comprensoriale_donnas_45.6033_7.7670,Biblioteca Comprensoriale Donnas,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/donnas/pages/biblioteca_comprensoriale_donnas_45.6033_7.7670.json,custom
