# lat,lng,id,name,building_type,type,url,page_type
# mordano -- Tutti
44.492057,11.361032,ov_neonatologia_s__orsola_44.4921_11.3610,Neonatologia S. Orsola,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/neonatologia_s_orsola_44.4921_11.3610.json,custom
44.396924,11.806097,ov_chiosco_controcorrente_44.3969_11.8061,Chiosco Controcorrente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/chiosco_controcorrente_44.3969_11.8061.json,custom
44.396220,11.810874,ov_vesuvio_pizzeria_da_asporto_44.3962_11.8109,Vesuvio Pizzeria da asporto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/vesuvio_pizzeria_da_asporto_44.3962_11.8109.json,custom
44.398577,11.782663,ov_ca__nera_home_restaurant_44.3986_11.7827,Ca' Nera Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/ca_nera_home_restaurant_44.3986_11.7827.json,custom
44.412160,11.782585,ov_pizzeria_baci_abbracci_44.4122_11.7826,Pizzeria Baci Abbracci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/pizzeria_baci_abbracci_44.4122_11.7826.json,custom
44.412869,11.782708,ov_cocina_rap_44.4129_11.7827,Cocina Rap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/cocina_rap_44.4129_11.7827.json,custom
44.400578,11.813764,ov_ca__borghetto_ristorante_mordano_44.4006_11.8138,Ca' Borghetto Ristorante Mordano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/ca_borghetto_ristorante_mordano_44.4006_11.8138.json,custom
44.396243,11.810840,osm_pizzeria_vesuvio_44.3962_11.8108,Pizzeria Vesuvio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/pizzeria_vesuvio_44.3962_11.8108.json,custom
44.396652,11.811263,ov_gigi_s_bar_44.3967_11.8113,Gigi's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/gigis_bar_44.3967_11.8113.json,custom
44.397519,11.811868,ov_bar_centrale_44.3975_11.8119,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/bar_centrale_44.3975_11.8119.json,custom
44.401665,11.793610,ov_bar_tabaccheria_gelateria_la_fenice_44.4017_11.7936,Bar Tabaccheria Gelateria La Fenice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/bar_tabaccheria_gelateria_la_fenice_44.4017_11.7936.json,custom
44.411346,11.781627,ov_lume_cafe_44.4113_11.7816,Lume Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/lume_cafe_44.4113_11.7816.json,custom
44.412930,11.765798,ov_enoteca_1300_44.4129_11.7658,Enoteca 1300,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/enoteca_1300_44.4129_11.7658.json,custom
44.423188,11.772102,ov_mirage_shishaclub_44.4232_11.7721,MIRAGE_ShishaClub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/mirageshishaclub_44.4232_11.7721.json,custom
44.395739,11.809973,ov_palestra_aldo_moro__mordano_44.3957_11.8100,"Palestra Aldo Moro, Mordano",GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/palestra_aldo_moro_mordano_44.3957_11.8100.json,custom
44.398006,11.812016,ov_aritmodi_44.3980_11.8120,Aritmodi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/aritmodi_44.3980_11.8120.json,custom
44.400653,11.797991,osm_serre_degli_agrumi_44.4007_11.7980,Serre degli Agrumi,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/serre_degli_agrumi_44.4007_11.7980.json,custom
44.397377,11.811685,ov_biblioteca_comunale_di_mordano_44.3974_11.8117,Biblioteca Comunale Di Mordano,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/biblioteca_comunale_di_mordano_44.3974_11.8117.json,custom
44.397325,11.812069,osm_biblioteca_comunale_44.3973_11.8121,Biblioteca comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/mordano/pages/biblioteca_comunale_44.3973_11.8121.json,custom
