# lat,lng,id,name,building_type,type,url,page_type
# Chiusa -- Tutti
46.639909,11.569619,ov_unit__sanitaria_locale_nord_46.6399_11.5696,Unità Sanitaria Locale Nord,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/unit_sanitaria_locale_nord_46.6399_11.5696.json,custom
46.669411,11.475004,ov_st_ffl_h_tte_46.6694_11.4750,Stöffl Hütte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/stffl_htte_46.6694_11.4750.json,custom
46.636960,11.561347,ov_pizza_klausen_express___fastfood_46.6370_11.5613,Pizza Klausen Express & Fastfood,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/pizza_klausen_express_fastfood_46.6370_11.5613.json,custom
46.640057,11.564406,ov_torgglkeller_46.6401_11.5644,Torgglkeller,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/torgglkeller_46.6401_11.5644.json,custom
46.639132,11.565133,ov_pizzeria_ristorante_zum_hirschen_46.6391_11.5651,Pizzeria Ristorante Zum Hirschen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/pizzeria_ristorante_zum_hirschen_46.6391_11.5651.json,custom
46.645420,11.584174,ov_hotel_brunner_hof_46.6454_11.5842,Hotel Brunner~Hof,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/hotel_brunnerhof_46.6454_11.5842.json,custom
46.645407,11.580583,ov_heini_s_bistro_46.6454_11.5806,Heini's Bistro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/heinis_bistro_46.6454_11.5806.json,custom
46.646584,11.577360,ov_hotel_restaurant_sylvanerhof_46.6466_11.5774,Hotel Restaurant Sylvanerhof,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/hotel_restaurant_sylvanerhof_46.6466_11.5774.json,custom
46.648513,11.601443,ov_der_unterwirt_restaurant___guesthouse_46.6485_11.6014,Der Unterwirt Restaurant & Guesthouse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/der_unterwirt_restaurant_guesthouse_46.6485_11.6014.json,custom
46.648137,11.602232,ov_pizzeria_gubidunes_46.6481_11.6022,Pizzeria Gubidunes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/pizzeria_gubidunes_46.6481_11.6022.json,custom
46.636760,11.559930,ov_caf__d_rer_46.6368_11.5599,Café Dürer,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/caf_drer_46.6368_11.5599.json,custom
46.639241,11.564446,ov_caffe_bar_mary_46.6392_11.5644,Caffe Bar Mary,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/caffe_bar_mary_46.6392_11.5644.json,custom
46.639352,11.564901,ov_stadtlcafe_46.6394_11.5649,Stadtlcafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/stadtlcafe_46.6394_11.5649.json,custom
46.641065,11.567146,ov_di_vino_46.6411_11.5671,Di Vino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/di_vino_46.6411_11.5671.json,custom
46.638143,11.561729,ov_gelateria_cb_eisdiele_46.6381_11.5617,Gelateria CB Eisdiele,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/gelateria_cb_eisdiele_46.6381_11.5617.json,custom
46.655814,11.571621,ov_bar_gosser_46.6558_11.5716,Bar Gosser,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/bar_gosser_46.6558_11.5716.json,custom
46.636985,11.561421,ov_fitness_center_chiusa_s_r_l__46.6370_11.5614,Fitness Center Chiusa S.R.L.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/fitness_center_chiusa_srl_46.6370_11.5614.json,custom
46.637901,11.561852,ov_ac_personal_training_studio_46.6379_11.5619,AC Personal Training Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/ac_personal_training_studio_46.6379_11.5619.json,custom
46.664516,11.540913,ov_castello_di_gernstein_46.6645_11.5409,Castello di Gernstein,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiusa/pages/castello_di_gernstein_46.6645_11.5409.json,custom
