# lat,lng,id,name,building_type,type,url,page_type
# Pieve di Cento -- Tutti
44.713688,11.307820,ov_ospedale_di_pieve_di_cento_44.7137_11.3078,Ospedale di Pieve Di Cento,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/ospedale_di_pieve_di_cento_44.7137_11.3078.json,custom
44.715048,11.304055,ov_ristorante_cinese_bella_cina_44.7150_11.3041,Ristorante Cinese Bella Cina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/ristorante_cinese_bella_cina_44.7150_11.3041.json,custom
44.715048,11.304055,ov_bella_cina_di_yang_lili_44.7150_11.3041,Bella Cina di Yang Lili,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/bella_cina_di_yang_lili_44.7150_11.3041.json,custom
44.713269,11.300975,ov_ideapizza_pieve_44.7133_11.3010,IdeaPizza Pieve,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/ideapizza_pieve_44.7133_11.3010.json,custom
44.714170,11.299057,ov_ristorante_pizzeria_minelli_44.7142_11.2991,Ristorante Pizzeria Minelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/ristorante_pizzeria_minelli_44.7142_11.2991.json,custom
44.715594,11.298523,ov_porta_bologna___pizzeria___ristorante_a__44.7156_11.2985,Porta Bologna - Pizzeria - Ristorante a Pieve di Cento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/porta_bologna_-_pizzeria_-_ristorante_a__44.7156_11.2985.json,custom
44.709917,11.306174,ov_la_pescheria_di_pieve_niki_s_seafood_44.7099_11.3062,La Pescheria di Pieve Niki's Seafood,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/la_pescheria_di_pieve_nikis_seafood_44.7099_11.3062.json,custom
44.710139,11.306519,ov_turkish_grill_44.7101_11.3065,Turkish grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/turkish_grill_44.7101_11.3065.json,custom
44.710139,11.306519,ov_porta_bologna_44.7101_11.3065,Porta Bologna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/porta_bologna_44.7101_11.3065.json,custom
44.713140,11.310530,ov_hanaki_restaurant_44.7131_11.3105,Hanaki Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/hanaki_restaurant_44.7131_11.3105.json,custom
44.712724,11.310040,ov_pizzeria_zero81_44.7127_11.3100,Pizzeria Zero81,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/pizzeria_zero81_44.7127_11.3100.json,custom
44.712761,11.309455,ov_civico_46_da_chicca_44.7128_11.3095,Civico 46 da Chicca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/civico_46_da_chicca_44.7128_11.3095.json,custom
44.712854,11.309231,ov_giuggiola_pasta_fresca_e_cucina_44.7129_11.3092,Giuggiola Pasta Fresca e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/giuggiola_pasta_fresca_e_cucina_44.7129_11.3092.json,custom
44.712686,11.309423,ov_il_salotto_sul_ponte_44.7127_11.3094,Il Salotto sul Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/il_salotto_sul_ponte_44.7127_11.3094.json,custom
44.712695,11.309441,ov_non_solo_pizza_44.7127_11.3094,Non Solo Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/non_solo_pizza_44.7127_11.3094.json,custom
44.711470,11.306578,ov_convivio_bistrot_44.7115_11.3066,Convivio Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/convivio_bistrot_44.7115_11.3066.json,custom
44.711210,11.305905,ov_ristorante_buriani_44.7112_11.3059,Ristorante Buriani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/ristorante_buriani_44.7112_11.3059.json,custom
