# lat,lng,id,name,building_type,type,url,page_type
# cavernago -- Tutti
45.514660,9.706860,ov_cibo_e_fito_45.5147_9.7069,Cibo e fito,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/cibo_e_fito_45.5147_9.7069.json,custom
45.617262,9.757905,ov_locanda_dei_nobili_viaggiatori_45.6173_9.7579,Locanda Dei Nobili Viaggiatori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/locanda_dei_nobili_viaggiatori_45.6173_9.7579.json,custom
45.624552,9.762108,ov_pizzeria_il_centro_45.6246_9.7621,Pizzeria il Centro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/pizzeria_il_centro_45.6246_9.7621.json,custom
45.630399,9.764959,ov_ristorante_il_saraceno_45.6304_9.7650,Ristorante Il Saraceno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/ristorante_il_saraceno_45.6304_9.7650.json,custom
45.622239,9.772308,ov_l_osteria_45.6222_9.7723,L'Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/losteria_45.6222_9.7723.json,custom
45.622072,9.773087,ov_ristorante_pizzeria_jolly_45.6221_9.7731,Ristorante Pizzeria Jolly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/ristorante_pizzeria_jolly_45.6221_9.7731.json,custom
45.619475,9.775794,ov_algiropizza_45.6195_9.7758,Algiropizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/algiropizza_45.6195_9.7758.json,custom
45.617881,9.777427,ov_animaecorpo_restaurant_45.6179_9.7774,AnimaeCorpo Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/animaecorpo_restaurant_45.6179_9.7774.json,custom
45.618046,9.777242,ov_hot_rod_diner_45.6180_9.7772,Hot Rod Diner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/hot_rod_diner_45.6180_9.7772.json,custom
45.617637,9.777903,ov_hana_sushi_45.6176_9.7779,Hana Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/hana_sushi_45.6176_9.7779.json,custom
45.616898,9.778526,ov_ristorante_marco_polo_45.6169_9.7785,Ristorante Marco Polo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/ristorante_marco_polo_45.6169_9.7785.json,custom
45.616920,9.776180,ov_kebab___adamo_45.6169_9.7762,Kebab . Adamo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/kebab_adamo_45.6169_9.7762.json,custom
45.624965,9.762776,ov_area_caff__45.6250_9.7628,Area Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/area_caff_45.6250_9.7628.json,custom
45.618153,9.777367,ov_america_graffiti___chiuso_45.6182_9.7774,America Graffiti - CHIUSO,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/america_graffiti_-_chiuso_45.6182_9.7774.json,custom
45.622520,9.759142,ov_centro_sportivo_comunale_m_llo_di_ps_lui_45.6225_9.7591,Centro Sportivo Comunale M.llo di PS Luigi D’Andrea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/centro_sportivo_comunale_mllo_di_ps_luig_45.6225_9.7591.json,custom
45.616954,9.778360,ov_beauty_fit_institute_45.6170_9.7784,Beauty Fit Institute,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/beauty_fit_institute_45.6170_9.7784.json,custom
45.616269,9.758632,ov_castello_di_malpaga_45.6163_9.7586,Castello di Malpaga,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/castello_di_malpaga_45.6163_9.7586.json,custom
45.629886,9.761827,ov_castello_di_cavernago_45.6299_9.7618,Castello di Cavernago,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cavernago/pages/castello_di_cavernago_45.6299_9.7618.json,custom
