# lat,lng,id,name,building_type,type,url,page_type
# Soriano Calabro -- Tutti
38.599051,16.222275,osm_presidio_ospedaliero_di_soriano_calabro_38.5991_16.2223,Presidio ospedaliero di Soriano Calabro,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soriano_calabro/pages/presidio_ospedaliero_di_soriano_calabro_38.5991_16.2223.json,custom
38.602730,16.219100,ov_san_salvador_ristorante_pizzeria_38.6027_16.2191,San salvador ristorante/pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soriano_calabro/pages/san_salvador_ristorantepizzeria_38.6027_16.2191.json,custom
38.602251,16.220843,ov_fratelli_grillo_38.6023_16.2208,Fratelli Grillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soriano_calabro/pages/fratelli_grillo_38.6023_16.2208.json,custom
38.606023,16.216826,ov_la_rosa_dei_venti_di_silipo_antonio_38.6060_16.2168,La Rosa dei Venti di Silipo Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soriano_calabro/pages/la_rosa_dei_venti_di_silipo_antonio_38.6060_16.2168.json,custom
39.640613,16.541926,ov_la_perla_nera_da_enzo___pizzera__pub_39.6406_16.5419,"La Perla Nera da Enzo - Pizzera, Pub",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soriano_calabro/pages/la_perla_nera_da_enzo_-_pizzera_pub_39.6406_16.5419.json,custom
38.599529,16.224837,ov_bar_pasticceria_golden_38.5995_16.2248,Bar Pasticceria Golden,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soriano_calabro/pages/bar_pasticceria_golden_38.5995_16.2248.json,custom
38.597718,16.229841,ov_la_capricciosa_38.5977_16.2298,la Capricciosa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soriano_calabro/pages/la_capricciosa_38.5977_16.2298.json,custom
38.597287,16.230079,ov_bar_san_domenico_38.5973_16.2301,Bar San Domenico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soriano_calabro/pages/bar_san_domenico_38.5973_16.2301.json,custom
38.597390,16.229991,ov_bar_pizzeria_nardo_38.5974_16.2300,Bar Pizzeria Nardo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soriano_calabro/pages/bar_pizzeria_nardo_38.5974_16.2300.json,custom
38.596971,16.230080,ov_luxury_enoteca_38.5970_16.2301,Luxury enoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soriano_calabro/pages/luxury_enoteca_38.5970_16.2301.json,custom
38.596884,16.230113,ov_bar_roma_38.5969_16.2301,Bar Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soriano_calabro/pages/bar_roma_38.5969_16.2301.json,custom
38.597977,16.229108,ov_energym_di_virginio_raffaele_38.5980_16.2291,Energym di Virginio Raffaele,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soriano_calabro/pages/energym_di_virginio_raffaele_38.5980_16.2291.json,custom
38.603618,16.215999,ov_palestra_gymnasia_dance_38.6036_16.2160,Palestra gymnasia dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soriano_calabro/pages/palestra_gymnasia_dance_38.6036_16.2160.json,custom
38.596398,16.231160,ov_mumar_museo_dei_marmi_38.5964_16.2312,MuMar Museo dei Marmi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soriano_calabro/pages/mumar_museo_dei_marmi_38.5964_16.2312.json,custom
38.596918,16.230374,ov_biblioteca_calabrese_38.5969_16.2304,Biblioteca Calabrese,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soriano_calabro/pages/biblioteca_calabrese_38.5969_16.2304.json,custom
