# lat,lng,id,name,building_type,type,url,page_type
# Subbiano -- Tutti
43.573296,11.870603,ov_ospedale_boschi_43.5733_11.8706,Ospedale Boschi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/ospedale_boschi_43.5733_11.8706.json,custom
43.585192,11.874141,ov_la_chiocciola_snc_43.5852_11.8741,La Chiocciola Snc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/la_chiocciola_snc_43.5852_11.8741.json,custom
43.574110,11.869431,ov_la_cantina_nel_borgo_43.5741_11.8694,La Cantina Nel Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/la_cantina_nel_borgo_43.5741_11.8694.json,custom
43.577757,11.870306,ov_il_matto_43.5778_11.8703,Il Matto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/il_matto_43.5778_11.8703.json,custom
43.575830,11.869530,ov_pizzeria_diabolik_43.5758_11.8695,Pizzeria Diabolik,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/pizzeria_diabolik_43.5758_11.8695.json,custom
43.574756,11.869270,ov_la_colombaia___e_vento_43.5748_11.8693,La Colombaia - E.Vento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/la_colombaia_-_evento_43.5748_11.8693.json,custom
43.574449,11.870340,ov_la_corte_dell_oca_43.5744_11.8703,La Corte Dell'Oca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/la_corte_delloca_43.5744_11.8703.json,custom
43.574485,11.869524,ov_pazzi_di_pizza_s_r_l__43.5745_11.8695,Pazzi Di Pizza S.r.l.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/pazzi_di_pizza_srl_43.5745_11.8695.json,custom
43.565692,11.863400,ov_ristorante_meco_menchetti_point_43.5657_11.8634,Ristorante Meco Menchetti Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/ristorante_meco_menchetti_point_43.5657_11.8634.json,custom
43.565269,11.865438,ov_torre_santa_flora_43.5653_11.8654,Torre Santa Flora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/torre_santa_flora_43.5653_11.8654.json,custom
43.556775,11.848948,ov_mdl_srl___grandi_cucine_43.5568_11.8489,MDL srl - Grandi Cucine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/mdl_srl_-_grandi_cucine_43.5568_11.8489.json,custom
