# lat,lng,id,name,building_type,type,url,page_type
# Isola del Gran Sasso d'Italia -- Tutti
42.510052,13.656989,ov_salutaris_home_care_42.5101_13.6570,Salutaris HOME CARE,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/salutaris_home_care_42.5101_13.6570.json,custom
42.501549,13.660316,ov_bar_ristorante_fontana_42.5015_13.6603,BAR Ristorante Fontana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/bar_ristorante_fontana_42.5015_13.6603.json,custom
42.502168,13.658246,ov_rustica___pizzeria_trattoria_42.5022_13.6582,Rustica - Pizzeria Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/rustica_-_pizzeria_trattoria_42.5022_13.6582.json,custom
42.502907,13.659625,ov_albergo_ristorante_insula_42.5029_13.6596,Albergo Ristorante Insula,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/albergo_ristorante_insula_42.5029_13.6596.json,custom
42.505244,13.658337,ov_le_balconate_42.5052_13.6583,Le Balconate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/le_balconate_42.5052_13.6583.json,custom
42.513399,13.657152,ov_la_cantina_degli_antichi_mestieri_42.5134_13.6572,La Cantina Degli Antichi Mestieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/la_cantina_degli_antichi_mestieri_42.5134_13.6572.json,custom
42.514621,13.657487,ov_le_balconate_42.5146_13.6575,Le Balconate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/le_balconate_42.5146_13.6575.json,custom
42.514629,13.657512,ov_ristorante_valeriani_42.5146_13.6575,Ristorante Valeriani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/ristorante_valeriani_42.5146_13.6575.json,custom
42.515807,13.656640,ov_ristorante_gran_sasso_42.5158_13.6566,Ristorante Gran Sasso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/ristorante_gran_sasso_42.5158_13.6566.json,custom
42.511814,13.657336,ov_ristorante_la_perla_del_gran_sasso_42.5118_13.6573,Ristorante La Perla Del Gran Sasso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/ristorante_la_perla_del_gran_sasso_42.5118_13.6573.json,custom
42.506479,13.658086,ov_ristorante_albergo_pina_42.5065_13.6581,Ristorante Albergo Pina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/ristorante_albergo_pina_42.5065_13.6581.json,custom
42.529533,13.677910,ov_bar_arrosticini_lo_spagnolo_42.5295_13.6779,Bar Arrosticini Lo Spagnolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/bar_arrosticini_lo_spagnolo_42.5295_13.6779.json,custom
42.524893,13.667420,ov_ristorante_l_alpino_42.5249_13.6674,Ristorante l'Alpino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/ristorante_lalpino_42.5249_13.6674.json,custom
42.533300,13.683300,ov_porchetta_di_colledara_lucio_e_mariatere_42.5333_13.6833,Porchetta di Colledara Lucio e Mariateresa cibo di strada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/porchetta_di_colledara_lucio_e_mariatere_42.5333_13.6833.json,custom
42.527306,13.682672,ov_la_goccia_ristorante_42.5273_13.6827,La Goccia Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/la_goccia_ristorante_42.5273_13.6827.json,custom
42.524736,13.667139,osm_l_alpino_42.5247_13.6671,L'Alpino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/lalpino_42.5247_13.6671.json,custom
42.518187,13.628412,osm_la_tana_degli_orsi_42.5182_13.6284,La Tana degli Orsi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/la_tana_degli_orsi_42.5182_13.6284.json,custom
42.515288,13.656840,osm_ristorante_pina_albergo_42.5153_13.6568,Ristorante PINA Albergo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/ristorante_pina_albergo_42.5153_13.6568.json,custom
42.519056,13.630057,ov_bar_dell_incontro_42.5191_13.6301,Bar Dell'Incontro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/bar_dellincontro_42.5191_13.6301.json,custom
42.503468,13.626111,ov_area51_coffee_pub_42.5035_13.6261,Area51-coffee pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/area51-coffee_pub_42.5035_13.6261.json,custom
42.502440,13.626531,ov_mundial__82_42.5024_13.6265,Mundial '82,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/isola_del_gran_sasso_ditalia/pages/mundial_82_42.5024_13.6265.json,custom
