# lat,lng,id,name,building_type,type,url,page_type
# Noventa Vicentina -- Tutti
45.293209,11.535941,ov_ospedale_di_noventa_vicentina_45.2932_11.5359,Ospedale di Noventa Vicentina,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/ospedale_di_noventa_vicentina_45.2932_11.5359.json,custom
45.264933,11.562935,ov_bar_trattoria_pizzeria_le_caselle_45.2649_11.5629,Bar Trattoria Pizzeria Le Caselle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/bar_trattoria_pizzeria_le_caselle_45.2649_11.5629.json,custom
45.288164,11.535530,ov_valentino_s_pizza_45.2882_11.5355,Valentino's Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/valentinos_pizza_45.2882_11.5355.json,custom
45.289352,11.537441,ov_ristorante_primon_45.2894_11.5374,Ristorante Primon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/ristorante_primon_45.2894_11.5374.json,custom
45.289830,11.538330,ov_italiana_caff__noventa_vicentina_45.2898_11.5383,Italiana Caffè Noventa Vicentina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/italiana_caff_noventa_vicentina_45.2898_11.5383.json,custom
45.270475,11.555115,ov_rocket_smash_burgers___la_cultura_dello__45.2705_11.5551,Rocket Smash Burgers - La cultura dello Smash,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/rocket_smash_burgers_-_la_cultura_dello__45.2705_11.5551.json,custom
45.270464,11.555210,ov_osteria_origini_45.2705_11.5552,Osteria Origini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/osteria_origini_45.2705_11.5552.json,custom
45.294534,11.553409,ov_al99_45.2945_11.5534,Al99,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/al99_45.2945_11.5534.json,custom
45.294101,11.552264,ov_pizza_forma_45.2941_11.5523,Pizza forma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/pizza_forma_45.2941_11.5523.json,custom
45.297910,11.559920,ov_bar_ristorantino_pizzeria__da_nico_e_sil_45.2979_11.5599,Bar Ristorantino Pizzeria  da Nico e Silvia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/bar_ristorantino_pizzeria_da_nico_e_silv_45.2979_11.5599.json,custom
45.291980,11.545000,ov_oronero_pizzeria_45.2920_11.5450,OroNero_Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/oroneropizzeria_45.2920_11.5450.json,custom
