# lat,lng,id,name,building_type,type,url,page_type
# Campiglia Marittima -- Tutti
43.058870,10.617477,ov_pizzica_43.0589_10.6175,Pizzica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/pizzica_43.0589_10.6175.json,custom
43.058851,10.616960,ov__thelastdrink__43.0589_10.6170,_thelastdrink_,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/thelastdrink_43.0589_10.6170.json,custom
43.057270,10.567667,ov_ci_si_trova_li_pizzeria_trattoria_43.0573_10.5677,Ci si Trova Li Pizzeria Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/ci_si_trova_li_pizzeria_trattoria_43.0573_10.5677.json,custom
43.057958,10.568524,ov_agriturismo_masseto_43.0580_10.5685,Agriturismo Masseto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/agriturismo_masseto_43.0580_10.5685.json,custom
43.045595,10.580703,ov_osteria_il_vecchio_borgo_43.0456_10.5807,Osteria il Vecchio Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/osteria_il_vecchio_borgo_43.0456_10.5807.json,custom
43.044913,10.573311,ov_farmhouse_piaggione_43.0449_10.5733,Farmhouse Piaggione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/farmhouse_piaggione_43.0449_10.5733.json,custom
43.042588,10.562644,ov_agriristorante_i_leprotti_43.0426_10.5626,Agriristorante I Leprotti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/agriristorante_i_leprotti_43.0426_10.5626.json,custom
43.038352,10.591179,ov_ristorante_acqua_e_sapori___terme_di_ven_43.0384_10.5912,Ristorante Acqua e Sapori - Terme di Venturina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/ristorante_acqua_e_sapori_-_terme_di_ven_43.0384_10.5912.json,custom
43.061882,10.581763,ov_agriturismo_podere_campalto_43.0619_10.5818,Agriturismo Podere Campalto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/agriturismo_podere_campalto_43.0619_10.5818.json,custom
43.035980,10.558816,ov_guglie_ristorante_enoteca_43.0360_10.5588,Guglie Ristorante Enoteca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/guglie_ristorante_enoteca_43.0360_10.5588.json,custom
43.034185,10.598598,ov_sottobosco_43.0342_10.5986,Sottobosco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/sottobosco_43.0342_10.5986.json,custom
43.033280,10.595210,ov_ristorante_pizzeria_la_loggetta_43.0333_10.5952,Ristorante Pizzeria La Loggetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/ristorante_pizzeria_la_loggetta_43.0333_10.5952.json,custom
43.031451,10.596751,ov_g_and_b_restaurant_43.0315_10.5968,G And B Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/g_and_b_restaurant_43.0315_10.5968.json,custom
43.028563,10.561770,ov_opera_ristorante_agricolo_43.0286_10.5618,OPERA Ristorante Agricolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/opera_ristorante_agricolo_43.0286_10.5618.json,custom
43.023294,10.552262,ov_ristorante_pizzeria_la_loggetta_43.0233_10.5523,Ristorante Pizzeria La Loggetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/ristorante_pizzeria_la_loggetta_43.0233_10.5523.json,custom
