# lat,lng,id,name,building_type,type,url,page_type
# Pinzolo -- Tutti
46.219305,10.822444,ov_centro_traumatologico_madonna_di_campigl_46.2193_10.8224,Centro Traumatologico Madonna di Campiglio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/centro_traumatologico_madonna_di_campigl_46.2193_10.8224.json,custom
46.166970,10.786308,ov_ristorante_bar_pra_rodont_46.1670_10.7863,Ristorante Bar Pra Rodont,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_bar_pra_rodont_46.1670_10.7863.json,custom
46.166752,10.786445,ov_rifugio_pr__rodont_46.1668_10.7864,Rifugio Prà Rodont,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/rifugio_pr_rodont_46.1668_10.7864.json,custom
46.157413,10.765304,ov_osteria_bagat_46.1574_10.7653,Osteria Bagat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/osteria_bagat_46.1574_10.7653.json,custom
46.158345,10.765145,ov_al_tabla_46.1583_10.7651,Al Tabla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/al_tabla_46.1583_10.7651.json,custom
46.160578,10.766560,ov_ristorante_la_parzif_46.1606_10.7666,Ristorante La Parzif,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_la_parzif_46.1606_10.7666.json,custom
46.159758,10.765026,ov_doss_del_sabion_46.1598_10.7650,Doss del Sabion,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/doss_del_sabion_46.1598_10.7650.json,custom
46.159980,10.765003,ov_al_rocol_ristorante_46.1600_10.7650,Al Rocol Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/al_rocol_ristorante_46.1600_10.7650.json,custom
46.167095,10.766422,ov_ristorante_grual_46.1671_10.7664,Ristorante Grual,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_grual_46.1671_10.7664.json,custom
46.161596,10.763506,ov_renden_r_alpine_food_46.1616_10.7635,Rendenèr Alpine Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/rendenr_alpine_food_46.1616_10.7635.json,custom
46.159029,10.763859,ov_ristorante_pizzeria_la_roda_46.1590_10.7639,Ristorante Pizzeria La Roda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_pizzeria_la_roda_46.1590_10.7639.json,custom
46.159120,10.762413,ov_gastronomia_l_appetito_46.1591_10.7624,Gastronomia L'Appetito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/gastronomia_lappetito_46.1591_10.7624.json,custom
46.158816,10.762719,ov_weinstube_al_cardo_46.1588_10.7627,Weinstube Al Cardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/weinstube_al_cardo_46.1588_10.7627.json,custom
46.158900,10.761900,ov_rifugio_stella_alpina_46.1589_10.7619,Rifugio Stella Alpina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/rifugio_stella_alpina_46.1589_10.7619.json,custom
46.159165,10.761892,ov_bavdin_pizza_46.1592_10.7619,Bavdin Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/bavdin_pizza_46.1592_10.7619.json,custom
46.166460,10.749895,ov_magnabo_46.1665_10.7499,Magnabo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/magnabo_46.1665_10.7499.json,custom
46.157716,10.763934,ov_la_casa_del_tortellino_46.1577_10.7639,La Casa Del Tortellino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/la_casa_del_tortellino_46.1577_10.7639.json,custom
46.158106,10.764587,ov_pizzeria_all_angolo_46.1581_10.7646,Pizzeria All'Angolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/pizzeria_allangolo_46.1581_10.7646.json,custom
46.189456,10.782188,ov_cascate_di_mezzo_di_vallesinella_46.1895_10.7822,Cascate Di Mezzo Di Vallesinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/cascate_di_mezzo_di_vallesinella_46.1895_10.7822.json,custom
46.189330,10.784300,ov_locanda_dal_giulio_46.1893_10.7843,Locanda dal Giulio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/locanda_dal_giulio_46.1893_10.7843.json,custom
46.205003,10.753739,ov_rifugio_nambrone_46.2050_10.7537,Rifugio Nambrone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/rifugio_nambrone_46.2050_10.7537.json,custom
46.247400,10.813031,ov_rifugio_pradalago_2100_46.2474_10.8130,Rifugio Pradalago 2100,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/rifugio_pradalago_2100_46.2474_10.8130.json,custom
46.248128,10.843380,ov_pal__della_fava_46.2481_10.8434,Palù della Fava,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/pal_della_fava_46.2481_10.8434.json,custom
46.264306,10.833428,ov_baita_ciocomiti___malga_vigo_46.2643_10.8334,Baita Ciocomiti - Malga Vigo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/baita_ciocomiti_-_malga_vigo_46.2643_10.8334.json,custom
46.232655,10.846330,ov_malga_montagnoli_46.2327_10.8463,Malga Montagnoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/malga_montagnoli_46.2327_10.8463.json,custom
46.228056,10.829733,ov_ristorante_due_pini_46.2281_10.8297,Ristorante Due Pini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_due_pini_46.2281_10.8297.json,custom
46.227331,10.826033,ov_home_stube_46.2273_10.8260,Home Stube,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/home_stube_46.2273_10.8260.json,custom
46.228447,10.826797,ov_al_30___osteria___friends_46.2284_10.8268,Al 30 - Osteria & Friends,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/al_30_-_osteria_friends_46.2284_10.8268.json,custom
46.228959,10.826265,ov_doppio_malto_campiglio_46.2290_10.8263,Doppio Malto Campiglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/doppio_malto_campiglio_46.2290_10.8263.json,custom
46.230334,10.826436,ov_chalet_fiat_46.2303_10.8264,Chalet fiat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/chalet_fiat_46.2303_10.8264.json,custom
46.229548,10.826862,ov_ristorante_la_tana_mdc_46.2295_10.8269,Ristorante La Tana_Mdc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_la_tanamdc_46.2295_10.8269.json,custom
46.230896,10.827091,ov_nabucco_ferrari_spazio_bollicine_46.2309_10.8271,Nabucco Ferrari Spazio Bollicine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/nabucco_ferrari_spazio_bollicine_46.2309_10.8271.json,custom
46.230690,10.826419,ov_osteria_del_posta_46.2307_10.8264,Osteria del Posta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/osteria_del_posta_46.2307_10.8264.json,custom
46.232368,10.826740,ov_ristorante_el_volt_dela_baita_46.2324_10.8267,Ristorante El Volt Dela Baita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_el_volt_dela_baita_46.2324_10.8267.json,custom
46.232639,10.825382,ov_ristorante_le_roi_46.2326_10.8254,Ristorante Le Roi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_le_roi_46.2326_10.8254.json,custom
46.233012,10.825104,ov_hungry_wolf_46.2330_10.8251,Hungry Wolf,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/hungry_wolf_46.2330_10.8251.json,custom
46.234087,10.826097,ov_ristorante_artini_46.2341_10.8261,Ristorante Artini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_artini_46.2341_10.8261.json,custom
46.232071,10.827373,ov_ristorante_pizzeria_belvedere_46.2321_10.8274,Ristorante Pizzeria Belvedere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_pizzeria_belvedere_46.2321_10.8274.json,custom
46.232029,10.827450,ov_ristorante_frischhh_46.2320_10.8274,Ristorante Frischhh,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_frischhh_46.2320_10.8274.json,custom
46.236990,10.835835,ov_al_forte___madonna_di_campiglio_46.2370_10.8358,Al Forte - Madonna di Campiglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/al_forte_-_madonna_di_campiglio_46.2370_10.8358.json,custom
46.245272,10.835422,ov_ristorante_cascina_zeledria_46.2453_10.8354,Ristorante Cascina Zeledria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_cascina_zeledria_46.2453_10.8354.json,custom
46.241588,10.800203,ov_rifugio_lago_nambino_46.2416_10.8002,Rifugio Lago Nambino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/rifugio_lago_nambino_46.2416_10.8002.json,custom
46.234987,10.824169,ov_ristorante_il_gallo_cedrone_46.2350_10.8242,Ristorante Il Gallo Cedrone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_il_gallo_cedrone_46.2350_10.8242.json,custom
46.230145,10.817810,ov_rifugio_patascoss_46.2301_10.8178,Rifugio Patascoss,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/rifugio_patascoss_46.2301_10.8178.json,custom
46.225094,10.823666,ov_ristorante_pizzeria_al_pappagallo_46.2251_10.8237,Ristorante Pizzeria al Pappagallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_pizzeria_al_pappagallo_46.2251_10.8237.json,custom
46.225916,10.801171,ov_baita_natalia_46.2259_10.8012,Baita Natalia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/baita_natalia_46.2259_10.8012.json,custom
46.213787,10.806349,ov_malga_ritort_46.2138_10.8063,Malga Ritort,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/malga_ritort_46.2138_10.8063.json,custom
46.212086,10.823970,ov_stube_hermitage_46.2121_10.8240,Stube Hermitage,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/stube_hermitage_46.2121_10.8240.json,custom
46.223450,10.825541,ov_dolomieu_46.2234_10.8255,Dolomieu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/dolomieu_46.2234_10.8255.json,custom
46.226227,10.826059,ov_ristorante_antico_focolare_46.2262_10.8261,Ristorante Antico Focolare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_antico_focolare_46.2262_10.8261.json,custom
