# lat,lng,id,name,building_type,type,url,page_type
# larciano -- Tutti
43.823746,10.877974,ov_studi_imedici_43.8237_10.8780,Studi Imedici,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/studi_imedici_43.8237_10.8780.json,custom
43.842976,10.876739,ov_agriturismo_il_ghianda_43.8430_10.8767,Agriturismo Il Ghianda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/agriturismo_il_ghianda_43.8430_10.8767.json,custom
43.837874,10.879772,ov_ristorante_sorgente_caloria_43.8379_10.8798,Ristorante Sorgente Caloria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/ristorante_sorgente_caloria_43.8379_10.8798.json,custom
43.837821,10.879663,ov_tenuta_dei_giraldi_di_caloria_43.8378_10.8797,Tenuta dei Giraldi di Caloria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/tenuta_dei_giraldi_di_caloria_43.8378_10.8797.json,custom
43.834098,10.881141,ov_agriturismo_poggetto_cin_it047006b539rkp_43.8341_10.8811,Agriturismo Poggetto CIN IT047006B539RKPMIF,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/agriturismo_poggetto_cin_it047006b539rkp_43.8341_10.8811.json,custom
43.827163,10.850380,ov_tatu_43.8272_10.8504,TATu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/tatu_43.8272_10.8504.json,custom
43.827728,10.864209,ov_dal_mio_capitano_43.8277_10.8642,Dal mio capitano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/dal_mio_capitano_43.8277_10.8642.json,custom
43.828638,10.862936,ov_14_rosso_pizzeria_e_birreria_43.8286_10.8629,14 Rosso Pizzeria e Birreria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/14_rosso_pizzeria_e_birreria_43.8286_10.8629.json,custom
43.827888,10.875409,ov_casa_il_cappero_43.8279_10.8754,Casa Il Cappero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/casa_il_cappero_43.8279_10.8754.json,custom
43.824689,10.877675,ov_alex_s_pizza_43.8247_10.8777,Alex's Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/alexs_pizza_43.8247_10.8777.json,custom
43.824490,10.878140,ov_il_castello_ristorante___assisi_43.8245_10.8781,Il Castello Ristorante - Assisi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/il_castello_ristorante_-_assisi_43.8245_10.8781.json,custom
43.824421,10.878142,ov_osteria_del_pesciaio_43.8244_10.8781,Osteria Del Pesciaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/osteria_del_pesciaio_43.8244_10.8781.json,custom
43.818746,10.885005,ov_ai_cento_campi_da_mario_43.8187_10.8850,Ai Cento Campi Da Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/ai_cento_campi_da_mario_43.8187_10.8850.json,custom
43.818804,10.884997,ov_pizzeria_trattoria_da_yuri_43.8188_10.8850,Pizzeria trattoria Da Yuri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/pizzeria_trattoria_da_yuri_43.8188_10.8850.json,custom
43.855911,10.876213,ov_agriturismo_cerralto_43.8559_10.8762,Agriturismo Cerralto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/agriturismo_cerralto_43.8559_10.8762.json,custom
43.848211,10.876128,ov_circolo_arci_cecina_43.8482_10.8761,Circolo ARCI Cecina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/circolo_arci_cecina_43.8482_10.8761.json,custom
43.847385,10.902559,ov_ristorante_pizzeria_versilia_com_era_43.8474_10.9026,Ristorante Pizzeria Versilia Com'era,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/ristorante_pizzeria_versilia_comera_43.8474_10.9026.json,custom
43.849825,10.895097,ov_agriturismo_podere_calistri_43.8498_10.8951,Agriturismo Podere Calistri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/agriturismo_podere_calistri_43.8498_10.8951.json,custom
43.824994,10.874595,ov_panificio_la_paneria_43.8250_10.8746,Panificio La Paneria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/panificio_la_paneria_43.8250_10.8746.json,custom
43.826957,10.864774,ov_cafeteria_the_poggetto_43.8270_10.8648,Cafeteria The Poggetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/cafeteria_the_poggetto_43.8270_10.8648.json,custom
43.824671,10.876832,ov_bar_centrale_43.8247_10.8768,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/bar_centrale_43.8247_10.8768.json,custom
43.824726,10.877288,ov_cocktail_bar_enoteca_bonfanti_43.8247_10.8773,Cocktail Bar Enoteca Bonfanti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/cocktail_bar_enoteca_bonfanti_43.8247_10.8773.json,custom
43.820681,10.881369,ov_papeka_caffe_43.8207_10.8814,Papeka caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/papeka_caffe_43.8207_10.8814.json,custom
43.820056,10.873648,ov_la_giostra_dei_sapori_43.8201_10.8736,La Giostra Dei Sapori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/la_giostra_dei_sapori_43.8201_10.8736.json,custom
43.822090,10.870560,ov_circolo_arci_sole_43.8221_10.8706,Circolo Arci SOLE,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/circolo_arci_sole_43.8221_10.8706.json,custom
43.822833,10.837832,ov_le_morette_43.8228_10.8378,Le Morette,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/le_morette_43.8228_10.8378.json,custom
43.827163,10.850380,ov_sport_e_forma_spinning__r__team_43.8272_10.8504,Sport E Forma Spinning (R) Team,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/sport_e_forma_spinning_r_team_43.8272_10.8504.json,custom
43.819861,10.844240,ov_sport_e_forma_43.8199_10.8442,Sport e Forma,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/sport_e_forma_43.8199_10.8442.json,custom
43.810810,10.843690,ov_asd_passione_biliardo_agnorelli_43.8108_10.8437,ASD Passione Biliardo Agnorelli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/asd_passione_biliardo_agnorelli_43.8108_10.8437.json,custom
43.818150,10.885982,ov__cole_de_danse_43.8182_10.8860,École de Danse,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/cole_de_danse_43.8182_10.8860.json,custom
43.796444,10.826225,ov_museo_della_civilta_contadina_43.7964_10.8262,Museo della Civilta Contadina,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/museo_della_civilta_contadina_43.7964_10.8262.json,custom
43.833989,10.890297,ov_castello_di_larciano_43.8340_10.8903,Castello di Larciano,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/castello_di_larciano_43.8340_10.8903.json,custom
43.822915,10.837720,osm_poste_italiane_43.8229_10.8377,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/larciano/pages/poste_italiane_43.8229_10.8377.json,custom
