# lat,lng,id,name,building_type,type,url,page_type
# Bruino -- Tutti
45.021420,7.464683,ov_casa_di_cura_ville_augusta_srl_45.0214_7.4647,Casa di Cura Ville Augusta Srl,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/casa_di_cura_ville_augusta_srl_45.0214_7.4647.json,custom
45.021495,7.462381,ov_yoshi_yoshi_bruino_45.0215_7.4624,Yoshi Yoshi Bruino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/yoshi_yoshi_bruino_45.0215_7.4624.json,custom
45.021459,7.473112,ov_l_osteria_di_davide_45.0215_7.4731,L'Osteria di Davide,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/losteria_di_davide_45.0215_7.4731.json,custom
45.020641,7.467760,ov_al_molo_19_45.0206_7.4678,Al molo 19,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/al_molo_19_45.0206_7.4678.json,custom
45.020098,7.468982,ov_pizza_kebab_45.0201_7.4690,Pizza Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/pizza_kebab_45.0201_7.4690.json,custom
45.018929,7.479728,ov_hell_s_pizza_45.0189_7.4797,Hell's Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/hells_pizza_45.0189_7.4797.json,custom
45.018214,7.482738,ov_pizza_rock_45.0182_7.4827,Pizza Rock,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/pizza_rock_45.0182_7.4827.json,custom
45.006670,7.467705,ov_forme_di_grano_45.0067_7.4677,Forme di Grano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/forme_di_grano_45.0067_7.4677.json,custom
45.010583,7.477498,ov_bar_trattoria_lizzi_45.0106_7.4775,Bar Trattoria Lizzi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/bar_trattoria_lizzi_45.0106_7.4775.json,custom
45.021630,7.479772,ov_bar_week_end_45.0216_7.4798,Bar Week End,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/bar_week_end_45.0216_7.4798.json,custom
45.020719,7.471204,ov_bar_chiringuito_45.0207_7.4712,Bar Chiringuito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/bar_chiringuito_45.0207_7.4712.json,custom
45.019526,7.468838,ov_bar_trattoria_valentino_45.0195_7.4688,Bar Trattoria Valentino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/bar_trattoria_valentino_45.0195_7.4688.json,custom
45.018179,7.470068,ov_beerhouse_45.0182_7.4701,BeerHouse,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/beerhouse_45.0182_7.4701.json,custom
45.018200,7.483870,ov_barbacco_bruino_3_0_45.0182_7.4839,Barbacco Bruino 3.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/barbacco_bruino_30_45.0182_7.4839.json,custom
45.008417,7.483347,ov_buffalo_american_beer_selection_45.0084_7.4833,Buffalo American Beer Selection,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/buffalo_american_beer_selection_45.0084_7.4833.json,custom
45.008011,7.484145,ov_bar_carlo_45.0080_7.4841,Bar Carlo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/bar_carlo_45.0080_7.4841.json,custom
45.006310,7.490540,ov_box_cerrina_45.0063_7.4905,Box Cerrina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/box_cerrina_45.0063_7.4905.json,custom
45.012452,7.473404,ov_polisportiva_bruinese_danza_45.0125_7.4734,Polisportiva Bruinese Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/polisportiva_bruinese_danza_45.0125_7.4734.json,custom
45.019590,7.466550,ov_tersicore_danza____fitness_45.0196_7.4665,Tersicore Danza &  Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/tersicore_danza_fitness_45.0196_7.4665.json,custom
45.013375,7.482826,ov_sm_strong___movement_gym_45.0134_7.4828,SM Strong & Movement Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/sm_strong_movement_gym_45.0134_7.4828.json,custom
45.000917,7.490437,ov_paintball_cerrina_45.0009_7.4904,Paintball Cerrina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/paintball_cerrina_45.0009_7.4904.json,custom
45.004372,7.488080,ov_asd_dancing_school_aps_45.0044_7.4881,Asd Dancing School aps,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bruino/pages/asd_dancing_school_aps_45.0044_7.4881.json,custom
