# lat,lng,id,name,building_type,type,url,page_type
# sarroch -- Tutti
39.063460,9.007970,ov_safelab_39.0635_9.0080,Safelab,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/safelab_39.0635_9.0080.json,custom
39.031495,9.034376,ov_ristorante_pizzeria_bar_centro_turistico_39.0315_9.0344,Ristorante Pizzeria Bar Centro Turistico Di Perd'e Sali I,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/ristorante_pizzeria_bar_centro_turistico_39.0315_9.0344.json,custom
39.063200,9.006360,ov_sa_funtana_39.0632_9.0064,Sa Funtana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/sa_funtana_39.0632_9.0064.json,custom
39.064467,9.010799,ov_la_margherita_39.0645_9.0108,La Margherita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/la_margherita_39.0645_9.0108.json,custom
39.066162,9.012071,ov_la_nuova_trattoria_39.0662_9.0121,La Nuova Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/la_nuova_trattoria_39.0662_9.0121.json,custom
39.066677,9.013168,ov_don_pepicu_39.0667_9.0132,Don Pepicu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/don_pepicu_39.0667_9.0132.json,custom
39.065620,9.007047,ov_pizzeria_dami_39.0656_9.0070,Pizzeria DaMi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/pizzeria_dami_39.0656_9.0070.json,custom
39.067488,9.015143,ov_pizzeria_bisteccheria_da_alessandro_39.0675_9.0151,Pizzeria Bisteccheria da Alessandro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/pizzeria_bisteccheria_da_alessandro_39.0675_9.0151.json,custom
39.020126,9.024088,ov_bobobeach_porto_columbu_39.0201_9.0241,Bobobeach Porto Columbu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/bobobeach_porto_columbu_39.0201_9.0241.json,custom
39.033880,9.025288,ov_marina_perd_e_sali_39.0339_9.0253,Marina Perd'e Sali,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/marina_perde_sali_39.0339_9.0253.json,custom
39.063082,9.011753,ov_bar_caffetteria_pratza_e_cresia_da_adria_39.0631_9.0118,Bar Caffetteria Pratza E Cresia Da Adriano Pes,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/bar_caffetteria_pratza_e_cresia_da_adria_39.0631_9.0118.json,custom
39.065286,9.011026,ov_tre_piramidi_39.0653_9.0110,Tre Piramidi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/tre_piramidi_39.0653_9.0110.json,custom
39.064620,9.009700,ov_amici_bar_nico_e_ale_39.0646_9.0097,Amici Bar Nico e Ale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/amici_bar_nico_e_ale_39.0646_9.0097.json,custom
39.063529,9.008313,ov_caffetteria_boi_39.0635_9.0083,Caffetteria Boi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/caffetteria_boi_39.0635_9.0083.json,custom
39.065864,9.007243,ov_osteria_su_mari_e_s_olia_39.0659_9.0072,Osteria Su Mari e S'olia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/osteria_su_mari_e_solia_39.0659_9.0072.json,custom
39.063250,9.037609,ov_thesea_39.0632_9.0376,TheSea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/thesea_39.0632_9.0376.json,custom
39.063075,9.011745,osm_pr_tza_e_cr_sia_caffetteria_39.0631_9.0117,Pràtza e Crèsia caffetteria,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/prtza_e_crsia_caffetteria_39.0631_9.0117.json,custom
39.068158,9.015367,osm_bagni_pubblici___mercato_settimanale_39.0682_9.0154,Bagni pubblici - Mercato settimanale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/bagni_pubblici_-_mercato_settimanale_39.0682_9.0154.json,custom
39.065570,9.010720,ov_tennis_club_sarroch_39.0656_9.0107,Tennis Club Sarroch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/tennis_club_sarroch_39.0656_9.0107.json,custom
39.066258,9.006649,ov_palazzetto_dello_sport_39.0663_9.0066,Palazzetto dello Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/palazzetto_dello_sport_39.0663_9.0066.json,custom
39.068939,9.015742,ov_accademia_pugilistica_sarroch_39.0689_9.0157,Accademia Pugilistica Sarroch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/accademia_pugilistica_sarroch_39.0689_9.0157.json,custom
39.067441,9.015223,ov_palestra_a_s_d__winner_body_39.0674_9.0152,Palestra A.S.D. Winner Body,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/palestra_asd_winner_body_39.0674_9.0152.json,custom
39.110242,9.006150,ov_oleificio_villa_d_orri_39.1102_9.0061,Oleificio Villa d'Orri,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/oleificio_villa_dorri_39.1102_9.0061.json,custom
39.065995,9.011644,osm_ufficio_postale_di_sarroch_39.0660_9.0116,Ufficio Postale di Sarroch,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/ufficio_postale_di_sarroch_39.0660_9.0116.json,custom
39.065882,9.010912,ov_biblioteca_comunale_di_sarroch_39.0659_9.0109,Biblioteca comunale di Sarroch,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sarroch/pages/biblioteca_comunale_di_sarroch_39.0659_9.0109.json,custom
