# lat,lng,id,name,building_type,type,url,page_type
# lipari -- Tutti
38.462286,14.954483,ov_ospedale_civile_lipari_38.4623_14.9545,Ospedale Civile Lipari,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ospedale_civile_lipari_38.4623_14.9545.json,custom
38.414702,14.953296,ov_malvasia_pane_cunzatu_38.4147_14.9533,Malvasia Pane Cunzatu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/malvasia_pane_cunzatu_38.4147_14.9533.json,custom
38.413237,14.954621,ov_ristorante_don_piricuddu_38.4132_14.9546,Ristorante Don Piricuddu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ristorante_don_piricuddu_38.4132_14.9546.json,custom
38.412973,14.954748,ov_l_angolo_dei_sapori_38.4130_14.9547,L'angolo Dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/langolo_dei_sapori_38.4130_14.9547.json,custom
38.414851,14.957745,ov_the_sicilian_barbecue___steakhouse_vulca_38.4149_14.9577,The Sicilian Barbecue | Steakhouse Vulcano | Ristorante Vulc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/the_sicilian_barbecue_steakhouse_vulcano_38.4149_14.9577.json,custom
38.415099,14.958512,ov_la_bottega_38.4151_14.9585,La Bottega,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/la_bottega_38.4151_14.9585.json,custom
38.414475,14.958629,ov_ristorante_da_vincenzino_38.4145_14.9586,Ristorante da Vincenzino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ristorante_da_vincenzino_38.4145_14.9586.json,custom
38.412722,14.958820,ov_la_forgia_maurizio_38.4127_14.9588,La Forgia Maurizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/la_forgia_maurizio_38.4127_14.9588.json,custom
38.414534,14.959346,ov_ficodindia_pane_cunzato_e_sapori_eoliani_38.4145_14.9593,Ficodindia Pane Cunzato e Sapori Eoliani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ficodindia_pane_cunzato_e_sapori_eoliani_38.4145_14.9593.json,custom
38.415715,14.959098,ov_il_castello_38.4157_14.9591,Il Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/il_castello_38.4157_14.9591.json,custom
38.414425,14.959777,ov_cantine_stevenson_38.4144_14.9598,Cantine Stevenson,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/cantine_stevenson_38.4144_14.9598.json,custom
