# lat,lng,id,name,building_type,type,url,page_type
# ottana -- Tutti
40.410374,9.370275,ov_dott_ssa_daniela_capodacqua___odontoiatr_40.4104_9.3703,Dott.ssa Daniela Capodacqua - Odontoiatria e Medicina Esteti,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ottana/pages/dottssa_daniela_capodacqua_-_odontoiatri_40.4104_9.3703.json,custom
40.234450,9.038680,ov_bar_dancing_di_mura_m__rosaria_40.2345_9.0387,Bar Dancing di Mura M. Rosaria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ottana/pages/bar_dancing_di_mura_m_rosaria_40.2345_9.0387.json,custom
40.233765,9.039539,ov_metropizzeria_da_danilo_40.2338_9.0395,Metropizzeria DA Danilo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ottana/pages/metropizzeria_da_danilo_40.2338_9.0395.json,custom
40.234339,9.040998,ov_greg_pizza_chef_40.2343_9.0410,Greg Pizza Chef,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ottana/pages/greg_pizza_chef_40.2343_9.0410.json,custom
40.234371,9.042224,ov_pizzeria_sant_antonio_40.2344_9.0422,Pizzeria Sant'Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ottana/pages/pizzeria_santantonio_40.2344_9.0422.json,custom
40.235667,9.051284,ov_ristorante_trattoria_da_antoniangela_40.2357_9.0513,Ristorante Trattoria da Antoniangela,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ottana/pages/ristorante_trattoria_da_antoniangela_40.2357_9.0513.json,custom
40.231765,9.049536,ov_il_platano_di_sea_40.2318_9.0495,Il Platano di SEA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ottana/pages/il_platano_di_sea_40.2318_9.0495.json,custom
40.231671,9.049454,ov_ottana_ristorante_platano_40.2317_9.0495,Ottana Ristorante Platano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ottana/pages/ottana_ristorante_platano_40.2317_9.0495.json,custom
40.234342,9.036347,ov_bar_paninoteca_la_rotonda_40.2343_9.0363,Bar Paninoteca la Rotonda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ottana/pages/bar_paninoteca_la_rotonda_40.2343_9.0363.json,custom
40.234070,9.042083,ov_dopolavoro_ottana_40.2341_9.0421,DopoLavoro Ottana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ottana/pages/dopolavoro_ottana_40.2341_9.0421.json,custom
40.233894,9.041805,ov_bar_centrale_ottana_40.2339_9.0418,Bar Centrale Ottana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ottana/pages/bar_centrale_ottana_40.2339_9.0418.json,custom
40.234417,9.042942,ov_caffe_macinera_40.2344_9.0429,Caffe Macinera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ottana/pages/caffe_macinera_40.2344_9.0429.json,custom
40.234062,9.044034,ov_home_restaurant_sa_cortiza_40.2341_9.0440,Home Restaurant Sa Cortiza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ottana/pages/home_restaurant_sa_cortiza_40.2341_9.0440.json,custom
40.234657,9.044294,ov_museo_arti_e_tradizioni_40.2347_9.0443,Museo Arti e Tradizioni,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ottana/pages/museo_arti_e_tradizioni_40.2347_9.0443.json,custom
