# lat,lng,id,name,building_type,type,url,page_type
# Gualdo Tadino -- Tutti
43.233900,12.781920,ov_punto_di_ascolto_ospedale_di_branca___ci_43.2339_12.7819,Punto Di Ascolto Ospedale Di Branca - Circolo Acli ora Et La,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/punto_di_ascolto_ospedale_di_branca_-_ci_43.2339_12.7819.json,custom
43.170693,12.716852,ov_agriturismo_colle_mura_43.1707_12.7169,Agriturismo Colle Mura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/agriturismo_colle_mura_43.1707_12.7169.json,custom
43.262410,12.762740,ov_mathreex_center_43.2624_12.7627,Mathreex Center,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/mathreex_center_43.2624_12.7627.json,custom
43.252930,12.804440,ov_la_pinetina_gualdotadino_43.2529_12.8044,La Pinetina GualdoTadino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/la_pinetina_gualdotadino_43.2529_12.8044.json,custom
43.213891,12.787391,ov_pizzeria_matrex_43.2139_12.7874,Pizzeria Matrex,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/pizzeria_matrex_43.2139_12.7874.json,custom
43.226867,12.784919,ov_capalto_home_restaurant_43.2269_12.7849,Capalto Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/capalto_home_restaurant_43.2269_12.7849.json,custom
43.229267,12.784637,ov_ristorante_da_clelia_43.2293_12.7846,Ristorante Da Clelia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/ristorante_da_clelia_43.2293_12.7846.json,custom
43.231375,12.779654,ov_la_locanda_del_ghiotto_43.2314_12.7797,La Locanda del Ghiotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/la_locanda_del_ghiotto_43.2314_12.7797.json,custom
43.231044,12.784158,ov_uniqo___restaurant___cocktail_bar_43.2310_12.7842,Uniqo - Restaurant & Cocktail Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/uniqo_-_restaurant_cocktail_bar_43.2310_12.7842.json,custom
43.230952,12.784300,ov_bystro_43.2310_12.7843,Bystro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/bystro_43.2310_12.7843.json,custom
43.230899,12.783542,ov_ristorante_pizzeria_il_palio_43.2309_12.7835,Ristorante Pizzeria Il Palio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/ristorante_pizzeria_il_palio_43.2309_12.7835.json,custom
