# lat,lng,id,name,building_type,type,url,page_type
# Morlupo -- Tutti
42.145036,12.493635,osm_croce_rossa_morlupo_42.1450_12.4936,Croce Rossa Morlupo,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/croce_rossa_morlupo_42.1450_12.4936.json,custom
42.146228,12.469560,ov_ostello_porta_di_veio_42.1462_12.4696,Ostello Porta di Veio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/ostello_porta_di_veio_42.1462_12.4696.json,custom
42.148209,12.475377,ov_osteria_pane_e_olio_42.1482_12.4754,Osteria Pane e Olio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/osteria_pane_e_olio_42.1482_12.4754.json,custom
42.161958,12.474279,ov_kristal_42.1620_12.4743,Kristal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/kristal_42.1620_12.4743.json,custom
42.133400,12.494781,ov_ristorante_al_raduno_42.1334_12.4948,Ristorante Al Raduno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/ristorante_al_raduno_42.1334_12.4948.json,custom
42.144230,12.491401,ov_casetta_maki_42.1442_12.4914,Casetta Maki,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/casetta_maki_42.1442_12.4914.json,custom
42.147018,12.491170,ov_i_corsari_di_annibale_42.1470_12.4912,I Corsari di Annibale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/i_corsari_di_annibale_42.1470_12.4912.json,custom
42.143676,12.491029,ov_cinque_grani_42.1437_12.4910,Cinque Grani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/cinque_grani_42.1437_12.4910.json,custom
42.144038,12.490561,ov_elio_pizza_42.1440_12.4906,Elio Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/elio_pizza_42.1440_12.4906.json,custom
42.144120,12.490230,ov_babel_flaminio___restaurant___more_42.1441_12.4902,Babel Flaminio - Restaurant & More,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/babel_flaminio_-_restaurant_more_42.1441_12.4902.json,custom
42.144860,12.489690,ov_in_vino_veritas_enoteca_vini_sfusi_42.1449_12.4897,In Vino Veritas Enoteca Vini Sfusi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/in_vino_veritas_enoteca_vini_sfusi_42.1449_12.4897.json,custom
42.145887,12.489711,ov_borgiani_ristorazione_42.1459_12.4897,Borgiani Ristorazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/borgiani_ristorazione_42.1459_12.4897.json,custom
42.148812,12.490326,ov_la_cucina_di_penny_42.1488_12.4903,La Cucina di Penny,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/la_cucina_di_penny_42.1488_12.4903.json,custom
42.144234,12.506734,ov_ristorante_demi_marin_al_campanaccio_42.1442_12.5067,Ristorante Demi Marin Al Campanaccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/ristorante_demi_marin_al_campanaccio_42.1442_12.5067.json,custom
42.144190,12.506664,ov_la_piazzetta_42.1442_12.5067,La Piazzetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/la_piazzetta_42.1442_12.5067.json,custom
42.148770,12.504425,ov_farinacotta_42.1488_12.5044,FarinaCotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/farinacotta_42.1488_12.5044.json,custom
42.144036,12.504943,ov_trattoria_da_giglietto_42.1440_12.5049,Trattoria Da Giglietto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/trattoria_da_giglietto_42.1440_12.5049.json,custom
42.149480,12.520070,ov_colle_delle_querce_42.1495_12.5201,Colle Delle Querce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/colle_delle_querce_42.1495_12.5201.json,custom
42.143827,12.505766,osm_la_piazzetta_42.1438_12.5058,La Piazzetta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/la_piazzetta_42.1438_12.5058.json,custom
42.133483,12.494921,osm_al_raduno_42.1335_12.4949,Al Raduno,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/al_raduno_42.1335_12.4949.json,custom
42.147415,12.478979,ov_il_chioschetto_42.1474_12.4790,Il Chioschetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/il_chioschetto_42.1474_12.4790.json,custom
42.161720,12.474090,ov_bar_rosso_caffe_42.1617_12.4741,Bar Rosso Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/bar_rosso_caffe_42.1617_12.4741.json,custom
42.146605,12.496961,ov_bombardino_42.1466_12.4970,BomBarDino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/bombardino_42.1466_12.4970.json,custom
42.143267,12.491225,ov_bar_della_stazione_42.1433_12.4912,Bar Della Stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/bar_della_stazione_42.1433_12.4912.json,custom
42.143828,12.490562,ov_bar_viani_42.1438_12.4906,Bar Viani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/bar_viani_42.1438_12.4906.json,custom
42.143940,12.507137,ov_royal_cafe_42.1439_12.5071,Royal Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/royal_cafe_42.1439_12.5071.json,custom
42.143605,12.507185,ov_la_bottega_del_caffe_42.1436_12.5072,La Bottega del Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/la_bottega_del_caffe_42.1436_12.5072.json,custom
42.141355,12.507055,ov_il_borgo_di_ascanio_42.1414_12.5071,Il Borgo di Ascanio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/il_borgo_di_ascanio_42.1414_12.5071.json,custom
42.148941,12.503108,ov_bar_manzi_42.1489_12.5031,Bar Manzi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/bar_manzi_42.1489_12.5031.json,custom
42.148863,12.503554,ov_enoteca_vineria_42.1489_12.5036,Enoteca Vineria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/enoteca_vineria_42.1489_12.5036.json,custom
42.125681,12.500392,ov_caff__centrale_42.1257_12.5004,Caffè Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/caff_centrale_42.1257_12.5004.json,custom
42.132895,12.533552,ov_floripark_capena_42.1329_12.5336,Floripark.capena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/floriparkcapena_42.1329_12.5336.json,custom
42.144573,12.489878,ov_caccia_pesca_armi_di_lorenzo_d_abronzo_42.1446_12.4899,Caccia-Pesca-Armi di Lorenzo D'Abronzo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/caccia-pesca-armi_di_lorenzo_dabronzo_42.1446_12.4899.json,custom
42.143065,12.507211,ov_centro_jai_te_gang_42.1431_12.5072,Centro Jai Te Gang,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/centro_jai_te_gang_42.1431_12.5072.json,custom
42.142300,12.507083,ov_bioenergym_42.1423_12.5071,Bioenergym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/bioenergym_42.1423_12.5071.json,custom
42.143450,12.507250,ov_extra_urbe_42.1435_12.5073,Extra Urbe,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/extra_urbe_42.1435_12.5073.json,custom
42.141561,12.499981,ov_santa_maria_seconda_42.1416_12.5000,Santa Maria Seconda,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/morlupo/pages/santa_maria_seconda_42.1416_12.5000.json,custom
