# lat,lng,id,name,building_type,type,url,page_type
# Varzi -- Tutti
44.825120,9.190880,ov_ospedale_santissima_annunziata_di_varzi_44.8251_9.1909,Ospedale Santissima Annunziata di Varzi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/varzi/pages/ospedale_santissima_annunziata_di_varzi_44.8251_9.1909.json,custom
44.823173,9.225706,ov_agriturismo_ra_canva_da_berto_44.8232_9.2257,Agriturismo Ra Canva da Berto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/varzi/pages/agriturismo_ra_canva_da_berto_44.8232_9.2257.json,custom
44.819817,9.213081,ov_ristorante_antico_varzi_44.8198_9.2131,Ristorante Antico Varzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/varzi/pages/ristorante_antico_varzi_44.8198_9.2131.json,custom
44.821596,9.205438,ov_ristorante_caffe_torino_44.8216_9.2054,Ristorante Caffe Torino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/varzi/pages/ristorante_caffe_torino_44.8216_9.2054.json,custom
44.836600,9.210263,ov_rosara_44.8366_9.2103,Rosara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/varzi/pages/rosara_44.8366_9.2103.json,custom
44.836601,9.210188,ov_agriturismo_alta_collina_44.8366_9.2102,Agriturismo Alta Collina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/varzi/pages/agriturismo_alta_collina_44.8366_9.2102.json,custom
44.837839,9.241569,ov_ristorante_albergo_posta_44.8378_9.2416,Ristorante Albergo Posta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/varzi/pages/ristorante_albergo_posta_44.8378_9.2416.json,custom
44.820686,9.190452,ov_agriturismo_la_sorgente___varzi__pv__44.8207_9.1905,Agriturismo La Sorgente - Varzi (PV),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/varzi/pages/agriturismo_la_sorgente_-_varzi_pv_44.8207_9.1905.json,custom
44.822969,9.195535,ov_ristorante_officina_dei_sapori_44.8230_9.1955,Ristorante Officina dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/varzi/pages/ristorante_officina_dei_sapori_44.8230_9.1955.json,custom
44.823147,9.196510,ov_la_compagnia_delle_merende_44.8231_9.1965,La Compagnia delle Merende,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/varzi/pages/la_compagnia_delle_merende_44.8231_9.1965.json,custom
44.822979,9.197024,ov_caffe_del_centro_44.8230_9.1970,Caffe del Centro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/varzi/pages/caffe_del_centro_44.8230_9.1970.json,custom
44.822907,9.198527,ov_locanda_del_parroco_44.8229_9.1985,Locanda del Parroco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/varzi/pages/locanda_del_parroco_44.8229_9.1985.json,custom
44.823315,9.197635,ov_tabaccheria_centro_44.8233_9.1976,Tabaccheria Centro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/varzi/pages/tabaccheria_centro_44.8233_9.1976.json,custom
