# lat,lng,id,name,building_type,type,url,page_type
# comunanza -- Tutti
42.957235,13.410193,ov_asur_poliambulatorio_42.9572_13.4102,ASUR Poliambulatorio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/asur_poliambulatorio_42.9572_13.4102.json,custom
42.896361,13.434824,ov_ristorante_la_diga_42.8964_13.4348,Ristorante La Diga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/ristorante_la_diga_42.8964_13.4348.json,custom
42.932657,13.413920,ov_le_selve_agriturismo_42.9327_13.4139,Le Selve Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/le_selve_agriturismo_42.9327_13.4139.json,custom
42.958904,13.413910,ov_pizza_al_volo_42.9589_13.4139,Pizza Al Volo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/pizza_al_volo_42.9589_13.4139.json,custom
42.957214,13.414284,ov_sotto_42.9572_13.4143,Sotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/sotto_42.9572_13.4143.json,custom
42.960196,13.418036,ov_la_rustica_42.9602_13.4180,La Rustica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/la_rustica_42.9602_13.4180.json,custom
42.962989,13.420666,ov_ristorante_pizzeria_futura_42.9630_13.4207,Ristorante Pizzeria Futura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/ristorante_pizzeria_futura_42.9630_13.4207.json,custom
42.962701,13.421762,ov_la_mattera_42.9627_13.4218,La Mattera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/la_mattera_42.9627_13.4218.json,custom
42.931070,13.381235,ov_agriturismo_antica_corte_42.9311_13.3812,Agriturismo Antica Corte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/agriturismo_antica_corte_42.9311_13.3812.json,custom
42.958086,13.413687,ov_bar_centrale_mt_ft_42.9581_13.4137,Bar Centrale MT&FT,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/bar_centrale_mtft_42.9581_13.4137.json,custom
42.959126,13.413790,ov_flory_42.9591_13.4138,Flory,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/flory_42.9591_13.4138.json,custom
42.959498,13.413896,ov_mckensie_old_pub_42.9595_13.4139,McKensie Old Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/mckensie_old_pub_42.9595_13.4139.json,custom
42.959904,13.416273,ov_blu_bar_42.9599_13.4163,Blu Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/blu_bar_42.9599_13.4163.json,custom
42.956911,13.413634,ov_tuxedo_pizza_e_cucina_42.9569_13.4136,Tuxedo Pizza e Cucina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/tuxedo_pizza_e_cucina_42.9569_13.4136.json,custom
42.960984,13.419623,ov_bar_sagi_42.9610_13.4196,Bar Sagi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/bar_sagi_42.9610_13.4196.json,custom
42.963038,13.420615,ov_futura_srl_42.9630_13.4206,Futura SRL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/futura_srl_42.9630_13.4206.json,custom
42.965693,13.440375,ov_vulcan_bar_42.9657_13.4404,Vulcan Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/vulcan_bar_42.9657_13.4404.json,custom
42.950842,13.407555,ov_palazzetto_dello_sport_chiurchioni_42.9508_13.4076,Palazzetto dello Sport Chiurchioni,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/palazzetto_dello_sport_chiurchioni_42.9508_13.4076.json,custom
42.964508,13.428195,ov_mental_building_42.9645_13.4282,Mental Building,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/mental_building_42.9645_13.4282.json,custom
42.954961,13.557014,ov_centro_hara_scuola_di_yoga_42.9550_13.5570,Centro Hara Scuola di Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/comunanza/pages/centro_hara_scuola_di_yoga_42.9550_13.5570.json,custom
