# lat,lng,id,name,building_type,type,url,page_type
# Prossedi -- Tutti
41.516821,13.261764,ov_piazza_umberto_primo_41.5168_13.2618,Piazza Umberto Primo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/prossedi/pages/piazza_umberto_primo_41.5168_13.2618.json,custom
41.506936,13.253493,ov_autostrada_roma_napol_41.5069_13.2535,Autostrada Roma-Napol,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/prossedi/pages/autostrada_roma-napol_41.5069_13.2535.json,custom
41.517091,13.263306,ov_osteria_persei_41.5171_13.2633,Osteria Persei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/prossedi/pages/osteria_persei_41.5171_13.2633.json,custom
41.516667,13.262346,ov_ristorante_antico_frantoio_41.5167_13.2623,Ristorante Antico Frantoio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/prossedi/pages/ristorante_antico_frantoio_41.5167_13.2623.json,custom
41.516212,13.261468,ov_focaccino_41.5162_13.2615,Focaccino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/prossedi/pages/focaccino_41.5162_13.2615.json,custom
41.514976,13.261180,ov_vapoforno_di_cipolla_armandina_41.5150_13.2612,Vapoforno di Cipolla Armandina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/prossedi/pages/vapoforno_di_cipolla_armandina_41.5150_13.2612.json,custom
41.491113,13.270400,ov_locanda_san_michele_41.4911_13.2704,Locanda San Michele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/prossedi/pages/locanda_san_michele_41.4911_13.2704.json,custom
41.504880,13.238310,ov_bar_eden_prossedi_41.5049_13.2383,Bar Eden Prossedi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/prossedi/pages/bar_eden_prossedi_41.5049_13.2383.json,custom
41.507678,13.254881,ov_bar_del_cacciatore_41.5077_13.2549,Bar Del Cacciatore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/prossedi/pages/bar_del_cacciatore_41.5077_13.2549.json,custom
41.517072,13.261074,ov_piccolo_caffe_41.5171_13.2611,Piccolo Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/prossedi/pages/piccolo_caffe_41.5171_13.2611.json,custom
41.520878,13.260756,ov_acrobatic_sport_41.5209_13.2608,Acrobatic sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/prossedi/pages/acrobatic_sport_41.5209_13.2608.json,custom
