# lat,lng,id,name,building_type,type,url,page_type
# Bohinj -- Tutti
46.288721,13.894627,ov_gostilna_mihovc_46.2887_13.8946,Gostilna Mihovc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/gostilna_mihovc_46.2887_13.8946.json,custom
46.320524,13.909440,ov_planinska_ko_a_na_uskovnici_46.3205_13.9094,Planinska koča na Uskovnici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/planinska_koa_na_uskovnici_46.3205_13.9094.json,custom
46.297438,13.925357,ov_gostilna_pri_hrvatu_46.2974_13.9254,Gostilna pri Hrvatu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/gostilna_pri_hrvatu_46.2974_13.9254.json,custom
46.272567,13.953096,ov_gostilnica__trudl_46.2726_13.9531,Gostilnica Štrudl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/gostilnica_trudl_46.2726_13.9531.json,custom
46.337677,13.961772,ov_mu_bar_46.3377_13.9618,Mu Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/mu_bar_46.3377_13.9618.json,custom
46.281320,13.881150,ov_bar_kramar_46.2813_13.8811,Bar Kramar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/bar_kramar_46.2813_13.8811.json,custom
46.281241,13.848052,ov_pit_stop_bohinj_46.2812_13.8481,Pit Stop Bohinj,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/pit_stop_bohinj_46.2812_13.8481.json,custom
46.260816,13.839304,ov_bar_kavka_46.2608_13.8393,Bar Kavka,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/bar_kavka_46.2608_13.8393.json,custom
46.269860,13.912790,ov_kava_bar_na_rju_46.2699_13.9128,Kava bar Na Rju,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/kava_bar_na_rju_46.2699_13.9128.json,custom
46.272851,13.951387,ov_pri_cukiju_46.2729_13.9514,Pri Cukiju,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/pri_cukiju_46.2729_13.9514.json,custom
46.273271,13.949981,ov_bar_na_obali_46.2733_13.9500,Bar Na Obali,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/bar_na_obali_46.2733_13.9500.json,custom
46.277770,13.887050,ov_okrep_evalnica_jezero___baza_46.2778_13.8871,Okrepčevalnica Jezero - Baza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/okrepevalnica_jezero_-_baza_46.2778_13.8871.json,custom
46.287739,13.893998,ov_okrep_evalnica_parlament_46.2877_13.8940,Okrepčevalnica Parlament,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/okrepevalnica_parlament_46.2877_13.8940.json,custom
46.300970,13.959637,ov_pivovarna_lintvern_46.3010_13.9596,Pivovarna Lintvern,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/pivovarna_lintvern_46.3010_13.9596.json,custom
46.295160,13.952720,ov__arejov_hram_46.2952_13.9527,Čarejov hram,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/arejov_hram_46.2952_13.9527.json,custom
46.272669,13.956047,ov_rock_bar_ur_ka_46.2727_13.9560,Rock bar Urška,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/rock_bar_urka_46.2727_13.9560.json,custom
46.273994,13.958673,ov_okrep_evalnica__tacion_46.2740_13.9587,Okrepčevalnica Štacion,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/okrepevalnica_tacion_46.2740_13.9587.json,custom
46.282376,13.880464,ov_pri_kramarju_46.2824_13.8805,Pri Kramarju,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/pri_kramarju_46.2824_13.8805.json,custom
46.275614,13.951286,ov__rd_4fit_bohinj_46.2756_13.9513,ŠRD 4Fit Bohinj,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/rd_4fit_bohinj_46.2756_13.9513.json,custom
46.294855,13.916272,ov_ranc_mrcina_46.2949_13.9163,Ranc Mrcina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/ranc_mrcina_46.2949_13.9163.json,custom
46.272606,13.956938,ov_bowling_bohinj_46.2726_13.9569,Bowling Bohinj,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/bowling_bohinj_46.2726_13.9569.json,custom
46.344572,13.922152,ov__portno_rekreacijski_center_pokljuka_46.3446_13.9222,Športno-rekreacijski Center Pokljuka,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/portno-rekreacijski_center_pokljuka_46.3446_13.9222.json,custom
46.295580,13.915740,ov_gorenjski_muzej_46.2956_13.9157,Gorenjski Muzej,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/gorenjski_muzej_46.2956_13.9157.json,custom
46.295621,13.915790,ov_oplenova_hi_a_46.2956_13.9158,Oplenova hiša,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/oplenova_hia_46.2956_13.9158.json,custom
46.289179,13.894605,ov_alpine_dairy_museum_46.2892_13.8946,Alpine Dairy Museum,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/alpine_dairy_museum_46.2892_13.8946.json,custom
46.289160,13.894810,ov_plan_arski_muzej_46.2892_13.8948,Planšarski muzej,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/planarski_muzej_46.2892_13.8948.json,custom
46.292020,13.890990,ov_zoisov_grad_46.2920_13.8910,Zoisov Grad,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/bohinj/pages/zoisov_grad_46.2920_13.8910.json,custom
