# lat,lng,id,name,building_type,type,url,page_type
# Priverno -- Tutti
41.472813,13.178199,ov_ex_ospedale_di_priverno_41.4728_13.1782,Ex ospedale di Priverno,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/priverno/pages/ex_ospedale_di_priverno_41.4728_13.1782.json,custom
41.484675,13.130735,ov_mirko_e_lino_ristorante_41.4847_13.1307,Mirko e Lino Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/priverno/pages/mirko_e_lino_ristorante_41.4847_13.1307.json,custom
41.484735,13.130734,ov_agriturismo_regina_camilla_41.4847_13.1307,Agriturismo Regina Camilla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/priverno/pages/agriturismo_regina_camilla_41.4847_13.1307.json,custom
41.481438,13.135543,ov_mirko_e_lino_ristorante_41.4814_13.1355,Mirko e Lino Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/priverno/pages/mirko_e_lino_ristorante_41.4814_13.1355.json,custom
41.465525,13.121838,ov_macalle_41.4655_13.1218,Macalle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/priverno/pages/macalle_41.4655_13.1218.json,custom
41.490814,13.163683,ov_ristorante_il_ritrovo_priverno_41.4908_13.1637,Ristorante Il Ritrovo Priverno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/priverno/pages/ristorante_il_ritrovo_priverno_41.4908_13.1637.json,custom
41.489289,13.164458,ov_il_ritrovo_ristorante_41.4893_13.1645,Il Ritrovo Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/priverno/pages/il_ritrovo_ristorante_41.4893_13.1645.json,custom
41.474417,13.180172,ov_ristorante_virt__41.4744_13.1802,Ristorante Virtù,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/priverno/pages/ristorante_virt_41.4744_13.1802.json,custom
41.474454,13.180111,ov_ristorante_origini_trattoria_contemporan_41.4745_13.1801,Ristorante Origini Trattoria Contemporanea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/priverno/pages/ristorante_origini_trattoria_contemporan_41.4745_13.1801.json,custom
41.474470,13.180097,ov_ristorante_da_romoletto_41.4745_13.1801,Ristorante da Romoletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/priverno/pages/ristorante_da_romoletto_41.4745_13.1801.json,custom
41.470900,13.179850,ov_cotto_e_mangiato___delizie_del_palato_41.4709_13.1799,Cotto e mangiato - Delizie del palato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/priverno/pages/cotto_e_mangiato_-_delizie_del_palato_41.4709_13.1799.json,custom
