# lat,lng,id,name,building_type,type,url,page_type
# Cesa -- Tutti
40.961243,14.241288,ov_dentalife_40.9612_14.2413,Dentalife,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/dentalife_40.9612_14.2413.json,custom
40.962618,14.222391,ov_capitolo_cinque_40.9626_14.2224,Capitolo Cinque,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/capitolo_cinque_40.9626_14.2224.json,custom
40.964180,14.230150,ov_paninoteca_centrale_40.9642_14.2302,Paninoteca Centrale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/paninoteca_centrale_40.9642_14.2302.json,custom
40.962890,14.231150,ov_pizze___party_40.9629_14.2311,Pizze & Party,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/pizze_party_40.9629_14.2311.json,custom
40.962707,14.233346,ov_pappa_e_ciccia_40.9627_14.2333,Pappa e Ciccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/pappa_e_ciccia_40.9627_14.2333.json,custom
40.960553,14.238299,ov_l_angolo_della_pizza_40.9606_14.2383,L'Angolo della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/langolo_della_pizza_40.9606_14.2383.json,custom
40.960414,14.236020,ov_best_chicken_40.9604_14.2360,Best Chicken,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/best_chicken_40.9604_14.2360.json,custom
40.969710,14.226293,ov_fox_40.9697_14.2263,Fox,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/fox_40.9697_14.2263.json,custom
40.960631,14.231455,ov_bellavita_caf__40.9606_14.2315,Bellavita Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/bellavita_caf_40.9606_14.2315.json,custom
40.963537,14.226905,ov_bar_del_trivio_40.9635_14.2269,Bar del Trivio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/bar_del_trivio_40.9635_14.2269.json,custom
40.967522,14.232916,ov_beautiful_cafe_40.9675_14.2329,Beautiful Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/beautiful_cafe_40.9675_14.2329.json,custom
40.967195,14.231620,ov_bar_privilege_40.9672_14.2316,Bar Privilege,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/bar_privilege_40.9672_14.2316.json,custom
40.963440,14.233210,ov_charlie_caf__40.9634_14.2332,Charlie Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/charlie_caf_40.9634_14.2332.json,custom
40.964660,14.232130,ov_la_celestiale_40.9647_14.2321,La celestiale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/la_celestiale_40.9647_14.2321.json,custom
40.964123,14.229798,ov_chalet_il_barroccio_40.9641_14.2298,Chalet Il Barroccio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/chalet_il_barroccio_40.9641_14.2298.json,custom
40.962859,14.230698,ov_caffetteria_romano_40.9629_14.2307,Caffetteria Romano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/caffetteria_romano_40.9629_14.2307.json,custom
40.960403,14.239847,ov_flacan_cafe_40.9604_14.2398,Flacan Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/flacan_cafe_40.9604_14.2398.json,custom
40.960522,14.233949,ov_bar_sweet_coffee_40.9605_14.2339,Bar Sweet Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/bar_sweet_coffee_40.9605_14.2339.json,custom
40.960665,14.233905,ov_bruno_boxe_a_s_d__40.9607_14.2339,Bruno Boxe A.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/bruno_boxe_asd_40.9607_14.2339.json,custom
40.961008,14.241051,osm_gora_wellness_40.9610_14.2411,Gora Wellness,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/gora_wellness_40.9610_14.2411.json,custom
40.962769,14.229984,ov_asprinum_museum_art_40.9628_14.2300,Asprinum Museum Art,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cesa/pages/asprinum_museum_art_40.9628_14.2300.json,custom
