# lat,lng,id,name,building_type,type,url,page_type
# Ponte di Legno -- Tutti
46.259890,10.508090,ov_r_s_a__fondazione_carettoni_46.2599_10.5081,R.S.A. Fondazione Carettoni,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/rsa_fondazione_carettoni_46.2599_10.5081.json,custom
46.289638,10.517547,ov_ristorante_bar_de_pes_46.2896_10.5175,Ristorante Bar De Pes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/ristorante_bar_de_pes_46.2896_10.5175.json,custom
46.288360,10.521932,ov_ristorante_pizzeria_room___breakfast_da__46.2884_10.5219,Ristorante Pizzeria Room & Breakfast Da Giusy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/ristorante_pizzeria_room_breakfast_da_gi_46.2884_10.5219.json,custom
46.296727,10.506174,ov_osteria_pietra_rossa_46.2967_10.5062,Osteria Pietra Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/osteria_pietra_rossa_46.2967_10.5062.json,custom
46.271932,10.526960,ov_bar_nazionale_di_veclani_flavio_46.2719_10.5270,Bar Nazionale di Veclani Flavio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/bar_nazionale_di_veclani_flavio_46.2719_10.5270.json,custom
46.267571,10.515105,ov_casa_alpina_p__pavoniani_46.2676_10.5151,Casa Alpina P. Pavoniani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/casa_alpina_p_pavoniani_46.2676_10.5151.json,custom
46.275457,10.519391,ov_ristorante_pizzeria_al_mulino_46.2755_10.5194,Ristorante Pizzeria Al Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/ristorante_pizzeria_al_mulino_46.2755_10.5194.json,custom
46.257411,10.510232,ov_ristorante_san_marco_46.2574_10.5102,Ristorante San Marco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/ristorante_san_marco_46.2574_10.5102.json,custom
46.259584,10.512106,ov_el_volt_46.2596_10.5121,El Volt,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/el_volt_46.2596_10.5121.json,custom
46.262261,10.513297,ov_al_mulino_46.2623_10.5133,Al Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/al_mulino_46.2623_10.5133.json,custom
46.263381,10.514663,ov_pizzeria_la_briciola_46.2634_10.5147,Pizzeria La Briciola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/pizzeria_la_briciola_46.2634_10.5147.json,custom
46.260193,10.508892,ov_pota_mountain_burger_46.2602_10.5089,Pota Mountain Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/pota_mountain_burger_46.2602_10.5089.json,custom
46.260188,10.508779,ov_la_brasa_46.2602_10.5088,La Brasa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/la_brasa_46.2602_10.5088.json,custom
46.260097,10.509582,ov_punto_fermo_piadineria_artigianale_46.2601_10.5096,Punto Fermo Piadineria Artigianale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/punto_fermo_piadineria_artigianale_46.2601_10.5096.json,custom
46.259278,10.509845,ov_al_tabi__46.2593_10.5098,Al Tabià,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/al_tabi_46.2593_10.5098.json,custom
