# lat,lng,id,name,building_type,type
# montegiordano -- restaurants
40.044260,16.530490,ov_ilmurales_pizzeria_ristorante_40.0443_16.5305,IlMurales Pizzeria Ristorante,RESTAURANT,ristorante
40.043590,16.531480,ov_lido_silene_40.0436_16.5315,Lido Silene,RESTAURANT,ristorante
40.029671,16.600609,ov_ristorante_la_volpe_pino_40.0297_16.6006,Ristorante La Volpe Pino,RESTAURANT,ristorante
40.028647,16.604607,ov_lido_solymar_40.0286_16.6046,Lido Solymar,RESTAURANT,ristorante
40.039198,16.598548,ov_il_trullo_40.0392_16.5985,Il Trullo,RESTAURANT,ristorante
40.039316,16.598630,ov_la_terrazza___ristorante__pizzeria_40.0393_16.5986,"La Terrazza - Ristorante, Pizzeria",RESTAURANT,ristorante
