# lat,lng,id,name,building_type,type,url,page_type
# Blonay-Saint-Légier -- Tutti
46.460637,6.885477,ov_hopital_de_rivera_site_de_mottex_46.4606_6.8855,Hopital de Rivera SIte de Mottex,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/hopital_de_rivera_site_de_mottex_46.4606_6.8855.json,custom
46.475428,6.859473,ov_restaurant_le_lob_centre_de_tennis_46.4754_6.8595,Restaurant Le Lob Centre de Tennis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/restaurant_le_lob_centre_de_tennis_46.4754_6.8595.json,custom
46.469105,6.862754,ov_times_grill_46.4691_6.8628,Times Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/times_grill_46.4691_6.8628.json,custom
46.472418,6.874743,ov_caf__de_la_place_46.4724_6.8747,Café de la Place,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/caf_de_la_place_46.4724_6.8747.json,custom
46.470538,6.883907,ov_auberge_communale_de_st_l_gier_46.4705_6.8839,Auberge Communale de St-Légier,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/auberge_communale_de_st-lgier_46.4705_6.8839.json,custom
46.467910,6.892620,ov_mandour_46.4679_6.8926,Mandour,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/mandour_46.4679_6.8926.json,custom
46.467458,6.894443,ov_restaurant_de_bahyse_46.4675_6.8944,Restaurant de Bahyse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/restaurant_de_bahyse_46.4675_6.8944.json,custom
46.462288,6.894414,ov_mediterranean_taste_46.4623_6.8944,Mediterranean Taste,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/mediterranean_taste_46.4623_6.8944.json,custom
46.463982,6.895662,ov_derik_restaurant_46.4640_6.8957,Derik Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/derik_restaurant_46.4640_6.8957.json,custom
46.464005,6.895678,ov_jacques_pizzeria_kebab_46.4640_6.8957,Jacques Pizzeria Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/jacques_pizzeria_kebab_46.4640_6.8957.json,custom
46.465473,6.894951,ov_al_pomodoro_rosso_46.4655_6.8950,Al Pomodoro Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/al_pomodoro_rosso_46.4655_6.8950.json,custom
46.464857,6.894594,ov_caf__restaurant_le_raisin_46.4649_6.8946,Café-Restaurant le Raisin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/caf-restaurant_le_raisin_46.4649_6.8946.json,custom
46.478015,6.924721,ov_les_foug_res_46.4780_6.9247,Les Fougères,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/les_fougres_46.4780_6.9247.json,custom
46.472477,6.874655,ov_chez_miki_46.4725_6.8747,Chez Miki,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/chez_miki_46.4725_6.8747.json,custom
46.476690,6.865620,ov_fc_atlantic_vevey_46.4767_6.8656,FC Atlantic Vevey,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/fc_atlantic_vevey_46.4767_6.8656.json,custom
46.474035,6.916403,ov_ondallaz_46.4740_6.9164,Ondallaz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/ondallaz_46.4740_6.9164.json,custom
46.464627,6.895249,ov_blonay_s_pub_46.4646_6.8952,Blonay's Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/blonays_pub_46.4646_6.8952.json,custom
46.464659,6.895222,ov_le_blonay_s_46.4647_6.8952,Le Blonay's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/le_blonays_46.4647_6.8952.json,custom
46.474438,6.864859,ov_log3_fitness_spa_46.4744_6.8649,Log3 Fitness Spa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/log3_fitness_spa_46.4744_6.8649.json,custom
46.482783,6.870736,ov_club_cynologique_du_haut_leman_46.4828_6.8707,Club Cynologique Du Haut-Leman,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/club_cynologique_du_haut-leman_46.4828_6.8707.json,custom
46.461762,6.897193,ov_salle_de_l_ancien_stand_46.4618_6.8972,Salle de l'Ancien Stand,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/salle_de_lancien_stand_46.4618_6.8972.json,custom
46.466162,6.893545,ov_hello_yoga_hello_yoga_46.4662_6.8935,Hello yoga Hello yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/hello_yoga_hello_yoga_46.4662_6.8935.json,custom
46.465736,6.895555,ov_musee_blonay_chamby_46.4657_6.8956,Musee Blonay Chamby,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/musee_blonay_chamby_46.4657_6.8956.json,custom
46.466959,6.895212,ov_biblioth_que_de_blonay___saint_l_gier_46.4670_6.8952,Bibliothèque de Blonay - Saint-Légier,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/blonay-saint-lgier/pages/bibliothque_de_blonay_-_saint-lgier_46.4670_6.8952.json,custom
