# lat,lng,id,name,building_type,type,url,page_type
# Cave -- Tutti
41.820173,12.940427,ov_villa_madonna_del_campo_41.8202_12.9404,Villa Madonna del Campo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/villa_madonna_del_campo_41.8202_12.9404.json,custom
41.827346,12.909256,ov_osteria_ciao_belli_41.8273_12.9093,Osteria Ciao Belli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/osteria_ciao_belli_41.8273_12.9093.json,custom
41.828980,12.929984,ov_area_pic_nic_monti_prenestini_41.8290_12.9300,Area Pic Nic Monti Prenestini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/area_pic_nic_monti_prenestini_41.8290_12.9300.json,custom
41.824386,12.938348,ov_le_terre_dei_clementi_41.8244_12.9383,Le Terre dei Clementi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/le_terre_dei_clementi_41.8244_12.9383.json,custom
41.820082,12.936859,ov_l_oca_bianca__agriturismo_41.8201_12.9369,"L'oca bianca, agriturismo",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/loca_bianca_agriturismo_41.8201_12.9369.json,custom
41.818841,12.927926,ov_cantina_trilussa_41.8188_12.9279,Cantina Trilussa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/cantina_trilussa_41.8188_12.9279.json,custom
41.818980,12.927970,ov_pizzeria_al_monumento_41.8190_12.9280,Pizzeria al Monumento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/pizzeria_al_monumento_41.8190_12.9280.json,custom
41.818256,12.929584,ov_che_pizza____41.8183_12.9296,Che Pizza...,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/che_pizza_41.8183_12.9296.json,custom
41.818720,12.927902,ov_agriturismo_ristorante_lo_speciano___ris_41.8187_12.9279,Agriturismo Ristorante Lo Speciano - Ristorante Cave,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/agriturismo_ristorante_lo_speciano_-_ris_41.8187_12.9279.json,custom
41.816150,12.929760,ov_rapello_numero_zero_41.8162_12.9298,Rapello Numero Zero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/rapello_numero_zero_41.8162_12.9298.json,custom
41.816730,12.932690,ov_l_angolo_della_pizza_41.8167_12.9327,L'angolo della pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/langolo_della_pizza_41.8167_12.9327.json,custom
