# lat,lng,id,name,building_type,type,url,page_type
# labico -- Tutti
41.883493,13.027198,ov_la_biblioteca_comunale_bellegra_41.8835_13.0272,La Biblioteca Comunale Bellegra,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/la_biblioteca_comunale_bellegra_41.8835_13.0272.json,custom
41.785250,12.886150,ov_la_locanda_del_castello_41.7852_12.8862,La Locanda del Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/la_locanda_del_castello_41.7852_12.8862.json,custom
41.785479,12.885073,ov_fraschetta_garibaldi_41.7855_12.8851,Fraschetta Garibaldi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/fraschetta_garibaldi_41.7855_12.8851.json,custom
41.786811,12.884750,ov_keep_up_41.7868_12.8848,Keep Up,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/keep_up_41.7868_12.8848.json,custom
41.788708,12.880201,ov_dabris__brasserie_41.7887_12.8802,DabriS' Brasserie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/dabris_brasserie_41.7887_12.8802.json,custom
41.792126,12.877161,ov_ristorante_cecco_di_maiolo_mario_41.7921_12.8772,Ristorante Cecco Di Maiolo Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/ristorante_cecco_di_maiolo_mario_41.7921_12.8772.json,custom
41.793883,12.868371,ov_ferro_e_fuoco_restaurant_41.7939_12.8684,Ferro e Fuoco Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/ferro_e_fuoco_restaurant_41.7939_12.8684.json,custom
41.788334,12.880198,osm_cecco_41.7883_12.8802,Cecco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/cecco_41.7883_12.8802.json,custom
41.793931,12.868398,osm_ferro___fuoco_41.7939_12.8684,Ferro & fuoco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/ferro_fuoco_41.7939_12.8684.json,custom
41.786502,12.886241,ov_giusti_bar_41.7865_12.8862,Giusti Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/giusti_bar_41.7865_12.8862.json,custom
41.784995,12.886794,ov_aromi_restaurant_41.7850_12.8868,Aromi Restaurant,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/aromi_restaurant_41.7850_12.8868.json,custom
41.786453,12.885400,ov_bar__civico_42_41.7865_12.8854,"Bar, Civico 42",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/bar_civico_42_41.7865_12.8854.json,custom
41.786482,12.885982,ov_ice_cafe_41.7865_12.8860,Ice Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/ice_cafe_41.7865_12.8860.json,custom
41.788174,12.879510,osm_cecco_41.7882_12.8795,Cecco,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/cecco_41.7882_12.8795.json,custom
41.786565,12.885791,osm_ice_caf__41.7866_12.8858,Ice cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/ice_caf_41.7866_12.8858.json,custom
41.786453,12.885400,osm_civico_42_41.7865_12.8854,Civico 42,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/civico_42_41.7865_12.8854.json,custom
41.786186,12.885660,osm_l_officina_del_caff__41.7862_12.8857,L'officina del caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/lofficina_del_caff_41.7862_12.8857.json,custom
41.784221,12.849258,osm_caff__colle_spina_41.7842_12.8493,Caffè Colle Spina,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/caff_colle_spina_41.7842_12.8493.json,custom
41.787393,12.884547,ov_vp_dance_academy_41.7874_12.8845,VP dance academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/vp_dance_academy_41.7874_12.8845.json,custom
41.787457,12.881909,ov_asd_polisportiva_7_samurai_labico_41.7875_12.8819,ASD Polisportiva 7 Samurai Labico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/asd_polisportiva_7_samurai_labico_41.7875_12.8819.json,custom
41.787996,12.883328,osm_poste_italiane_41.7880_12.8833,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/labico/pages/poste_italiane_41.7880_12.8833.json,custom
