# lat,lng,id,name,building_type,type,url,page_type
# Lonato del Garda -- Tutti
45.422142,10.512640,ov_ospedale_psichiatrico_giudiziario_45.4221_10.5126,Ospedale Psichiatrico Giudiziario,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/ospedale_psichiatrico_giudiziario_45.4221_10.5126.json,custom
45.395791,10.554092,ov_ristorante_pizzeria_passo_dei_corvi_45.3958_10.5541,Ristorante pizzeria Passo dei corvi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/ristorante_pizzeria_passo_dei_corvi_45.3958_10.5541.json,custom
45.421127,10.553374,ov_agriturismo_le_panizze_45.4211_10.5534,Agriturismo Le Panizze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/agriturismo_le_panizze_45.4211_10.5534.json,custom
45.422146,10.532270,ov_residence_la_lucciola_45.4221_10.5323,Residence La Lucciola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/residence_la_lucciola_45.4221_10.5323.json,custom
45.427569,10.513861,ov_trattoria_ristorante_pizzeria_al_caminet_45.4276_10.5139,Trattoria Ristorante Pizzeria AL Caminetto Lonato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/trattoria_ristorante_pizzeria_al_caminet_45.4276_10.5139.json,custom
45.429010,10.523130,ov_sushi_one_superior_45.4290_10.5231,Sushi one superior,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/sushi_one_superior_45.4290_10.5231.json,custom
45.430251,10.513985,ov_da_giovanni_45.4303_10.5140,Da Giovanni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/da_giovanni_45.4303_10.5140.json,custom
45.430039,10.514365,ov_yun_quick_lonato_45.4300_10.5144,Yun Quick Lonato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/yun_quick_lonato_45.4300_10.5144.json,custom
45.430037,10.513962,ov_mcdonald_s_45.4300_10.5140,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/mcdonalds_45.4300_10.5140.json,custom
45.429991,10.513901,ov_johnny_rockets_45.4300_10.5139,Johnny Rockets,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/johnny_rockets_45.4300_10.5139.json,custom
45.431284,10.518838,ov_burger_king_45.4313_10.5188,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/burger_king_45.4313_10.5188.json,custom
45.431175,10.518069,ov_sushione_superior_45.4312_10.5181,SushiOne Superior,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/sushione_superior_45.4312_10.5181.json,custom
45.431280,10.514193,ov_alice_pizza_45.4313_10.5142,Alice Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/alice_pizza_45.4313_10.5142.json,custom
45.431089,10.514075,ov_johnny_rockets_45.4311_10.5141,Johnny Rockets,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/johnny_rockets_45.4311_10.5141.json,custom
45.431081,10.514097,ov_roadhouse_restaurant_45.4311_10.5141,Roadhouse Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/roadhouse_restaurant_45.4311_10.5141.json,custom
45.431111,10.514477,ov_poke_house___lonato_del_garda_45.4311_10.5145,Poke House - Lonato del Garda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/poke_house_-_lonato_del_garda_45.4311_10.5145.json,custom
45.431037,10.514501,ov_la_piadineria_45.4310_10.5145,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/la_piadineria_45.4310_10.5145.json,custom
45.431067,10.514554,ov_musi_lunghi_lonato_45.4311_10.5146,Musi Lunghi Lonato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/musi_lunghi_lonato_45.4311_10.5146.json,custom
45.432573,10.514747,ov_dispensa_emilia_45.4326_10.5147,Dispensa Emilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/dispensa_emilia_45.4326_10.5147.json,custom
45.435126,10.515326,ov_kfc_45.4351_10.5153,KFC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/kfc_45.4351_10.5153.json,custom
45.443615,10.507330,ov_chiosco_nella_cantina_della_spia_d_itali_45.4436_10.5073,Chiosco nella Cantina della Spia D'Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/chiosco_nella_cantina_della_spia_ditalia_45.4436_10.5073.json,custom
45.442130,10.500323,ov_ristorante_la_cavallina_45.4421_10.5003,Ristorante La Cavallina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/ristorante_la_cavallina_45.4421_10.5003.json,custom
45.451086,10.508034,ov_osteria_san_cipriano_45.4511_10.5080,Osteria San Cipriano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/osteria_san_cipriano_45.4511_10.5080.json,custom
45.462315,10.508847,ov_azzurra_pizza___restaurant_45.4623_10.5088,Azzurra Pizza & Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/azzurra_pizza_restaurant_45.4623_10.5088.json,custom
45.447547,10.582759,ov_kfc_45.4475_10.5828,KFC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/kfc_45.4475_10.5828.json,custom
45.397220,10.561390,ov_ristorante_canne_al_vento_45.3972_10.5614,Ristorante Canne al Vento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/ristorante_canne_al_vento_45.3972_10.5614.json,custom
45.396229,10.563595,ov_agriturismo_la_civetta_45.3962_10.5636,Agriturismo La Civetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/agriturismo_la_civetta_45.3962_10.5636.json,custom
45.391036,10.561977,ov_agriturismo_la_civetta_45.3910_10.5620,Agriturismo La Civetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/agriturismo_la_civetta_45.3910_10.5620.json,custom
45.391100,10.579966,ov_trattoria_da_arturo_45.3911_10.5800,Trattoria Da Arturo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/trattoria_da_arturo_45.3911_10.5800.json,custom
45.391113,10.579963,ov_agriturismo_la_scoperta_45.3911_10.5800,Agriturismo La Scoperta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/agriturismo_la_scoperta_45.3911_10.5800.json,custom
