# lat,lng,id,name,building_type,type,url,page_type
# strongoli -- Tutti
39.262580,17.056110,ov_ambulatorio_marina_di_strongoli_39.2626_17.0561,Ambulatorio Marina di Strongoli,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/ambulatorio_marina_di_strongoli_39.2626_17.0561.json,custom
39.229943,17.100253,ov_al_bivio_39.2299_17.1003,Al Bivio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/al_bivio_39.2299_17.1003.json,custom
39.218870,17.105250,ov_molino_madre_39.2189_17.1053,Molino Madre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/molino_madre_39.2189_17.1053.json,custom
39.081902,17.127282,ov_assaja_pizza_e_sushi_39.0819_17.1273,Assaja Pizza e Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/assaja_pizza_e_sushi_39.0819_17.1273.json,custom
39.266139,17.081987,ov_ristorante_dattilo_39.2661_17.0820,Ristorante Dattilo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/ristorante_dattilo_39.2661_17.0820.json,custom
39.265732,17.059358,ov_pizzeria_griglieria_fragola_39.2657_17.0594,Pizzeria Griglieria Fragola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/pizzeria_griglieria_fragola_39.2657_17.0594.json,custom
39.266667,17.066667,ov_bar_pizzeria_my_friend_di_aloe_giacinto_39.2667_17.0667,Bar Pizzeria My Friend di Aloe Giacinto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/bar_pizzeria_my_friend_di_aloe_giacinto_39.2667_17.0667.json,custom
39.274290,17.097913,ov_agriturismo_la_quercia_39.2743_17.0979,Agriturismo La Quercia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/agriturismo_la_quercia_39.2743_17.0979.json,custom
39.275939,17.104643,ov_agriturismo_la_quercia_39.2759_17.1046,Agriturismo La Quercia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/agriturismo_la_quercia_39.2759_17.1046.json,custom
39.257600,17.104599,ov_il_petelino_39.2576_17.1046,Il Petelino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/il_petelino_39.2576_17.1046.json,custom
39.249090,17.105980,ov_la_villa_da_ubaldo_39.2491_17.1060,La Villa Da Ubaldo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/la_villa_da_ubaldo_39.2491_17.1060.json,custom
39.249644,17.104906,ov_ristorante_pizzeria_zio_emilio_39.2496_17.1049,Ristorante Pizzeria Zio Emilio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/ristorante_pizzeria_zio_emilio_39.2496_17.1049.json,custom
39.246737,17.107776,ov_frittiamo_food_and_drinks_39.2467_17.1078,Frittiamo Food and Drinks,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/frittiamo_food_and_drinks_39.2467_17.1078.json,custom
39.244787,17.102844,ov_ristorante_pizzeria_le_9_stelle_39.2448_17.1028,Ristorante Pizzeria Le 9 Stelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/ristorante_pizzeria_le_9_stelle_39.2448_17.1028.json,custom
39.262560,17.056150,ov_eden_bar_39.2626_17.0561,Eden Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/eden_bar_39.2626_17.0561.json,custom
39.266162,17.049787,ov_bar_la_villetta_di_francesco_pingitore_39.2662_17.0498,Bar La Villetta di Francesco Pingitore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/bar_la_villetta_di_francesco_pingitore_39.2662_17.0498.json,custom
39.283288,17.108606,ov_saint_thomas_39.2833_17.1086,Saint Thomas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/saint_thomas_39.2833_17.1086.json,custom
39.281050,17.107920,ov_valente_lido_39.2811_17.1079,Valente Lido,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/valente_lido_39.2811_17.1079.json,custom
39.254970,17.104980,ov_iceberg_food_drink_39.2550_17.1050,Iceberg Food&Drink,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/iceberg_fooddrink_39.2550_17.1050.json,custom
39.252662,17.105550,ov_bar_gelateria_pepe_nero_39.2527_17.1055,Bar Gelateria Pepe Nero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/bar_gelateria_pepe_nero_39.2527_17.1055.json,custom
39.252851,17.105473,ov_becks_pub_strongoli_39.2529_17.1055,Becks Pub Strongoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/becks_pub_strongoli_39.2529_17.1055.json,custom
39.251059,17.105523,ov_iceberg_bar_pizzeria_39.2511_17.1055,Iceberg Bar Pizzeria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/iceberg_bar_pizzeria_39.2511_17.1055.json,custom
39.244741,17.107321,ov_bar_ideal_pub_antonio_minniti_39.2447_17.1073,Bar Ideal Pub Antonio Minniti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/bar_ideal_pub_antonio_minniti_39.2447_17.1073.json,custom
39.243539,17.110686,ov_bar_martucci_39.2435_17.1107,Bar Martucci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/bar_martucci_39.2435_17.1107.json,custom
39.243466,17.111213,ov_tiffany_cafe_39.2435_17.1112,tiffany cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/tiffany_cafe_39.2435_17.1112.json,custom
39.244708,17.110099,ov_enoteca_vetere_39.2447_17.1101,Enoteca Vetere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/enoteca_vetere_39.2447_17.1101.json,custom
39.243756,17.109828,ov_asd_sparta_fitness_39.2438_17.1098,ASD Sparta Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/asd_sparta_fitness_39.2438_17.1098.json,custom
39.266407,17.051330,ov_museo_civico_39.2664_17.0513,Museo Civico,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/strongoli/pages/museo_civico_39.2664_17.0513.json,custom
