# lat,lng,id,name,building_type,type,url,page_type
# Montechiarugolo -- Tutti
44.733291,10.401499,ov_ospedale_maria_luigia_psichiatria_e_riab_44.7333_10.4015,Ospedale Maria Luigia Psichiatria e Riabilitazione,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/ospedale_maria_luigia_psichiatria_e_riab_44.7333_10.4015.json,custom
44.723426,10.398006,ov_calaluna_pizzeria_ristorante_44.7234_10.3980,Calaluna Pizzeria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/calaluna_pizzeria_ristorante_44.7234_10.3980.json,custom
44.724110,10.418327,ov_trattoria_tripoli_44.7241_10.4183,Trattoria Tripoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/trattoria_tripoli_44.7241_10.4183.json,custom
44.733953,10.401431,ov_la_nuova_scaletta_44.7340_10.4014,La nuova scaletta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/la_nuova_scaletta_44.7340_10.4014.json,custom
44.729698,10.403664,ov_trattoria_beccofino_44.7297_10.4037,Trattoria Beccofino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/trattoria_beccofino_44.7297_10.4037.json,custom
44.727635,10.395967,ov_l_angolo_dei_sapori_44.7276_10.3960,L'Angolo Dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/langolo_dei_sapori_44.7276_10.3960.json,custom
44.729371,10.397002,ov_la_veranda_44.7294_10.3970,La Veranda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/la_veranda_44.7294_10.3970.json,custom
44.752513,10.441214,ov_trattoria_beccofino_di_marchi_elvia_44.7525_10.4412,Trattoria Beccofino di Marchi Elvia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/trattoria_beccofino_di_marchi_elvia_44.7525_10.4412.json,custom
44.706791,10.405727,ov_pizzeria_da_matteo_44.7068_10.4057,Pizzeria da Matteo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/pizzeria_da_matteo_44.7068_10.4057.json,custom
44.704200,10.349868,ov_gastronomia_cinque_stelle_srl_44.7042_10.3499,Gastronomia Cinque Stelle Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/gastronomia_cinque_stelle_srl_44.7042_10.3499.json,custom
44.700701,10.353521,ov_la_capannina_44.7007_10.3535,La Capannina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/la_capannina_44.7007_10.3535.json,custom
44.699735,10.353181,ov_campagnola_bella_capri_44.6997_10.3532,Campagnola Bella Capri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/campagnola_bella_capri_44.6997_10.3532.json,custom
44.696938,10.354329,ov_pizzeria_bella_capri_44.6969_10.3543,Pizzeria Bella Capri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/pizzeria_bella_capri_44.6969_10.3543.json,custom
44.694306,10.362447,ov_mulino_di_casa_sforza_44.6943_10.3624,Mulino di Casa Sforza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/mulino_di_casa_sforza_44.6943_10.3624.json,custom
44.697951,10.424534,ov_ristorante_pizzeria_la_fratta_44.6980_10.4245,Ristorante Pizzeria La Fratta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/ristorante_pizzeria_la_fratta_44.6980_10.4245.json,custom
44.696592,10.422160,ov_casa_mariam_44.6966_10.4222,Casa Mariam,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/casa_mariam_44.6966_10.4222.json,custom
44.696688,10.422102,ov_ristorante_le_bon_44.6967_10.4221,Ristorante le bon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/ristorante_le_bon_44.6967_10.4221.json,custom
44.697366,10.426922,ov_trotter_ristorante_44.6974_10.4269,Trotter Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/trotter_ristorante_44.6974_10.4269.json,custom
