# lat,lng,id,name,building_type,type,url,page_type
# Cavallermaggiore -- Tutti
44.705560,7.687350,ov_essentya_dott_ssa_carla_boretto_44.7056_7.6874,Essentya Dott.ssa Carla Boretto,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/essentya_dottssa_carla_boretto_44.7056_7.6874.json,custom
44.708819,7.688126,ov_pizzeria_casa_del_gusto_44.7088_7.6881,Pizzeria casa del gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/pizzeria_casa_del_gusto_44.7088_7.6881.json,custom
44.708372,7.687422,ov_caballarium_ristorante_44.7084_7.6874,Caballarium Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/caballarium_ristorante_44.7084_7.6874.json,custom
44.704911,7.682817,ov_dolce_vita_44.7049_7.6828,Dolce Vita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/dolce_vita_44.7049_7.6828.json,custom
44.706930,7.689350,ov_la_bocia_44.7069_7.6894,La Bocia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/la_bocia_44.7069_7.6894.json,custom
44.706935,7.689383,ov_bocciofila_s_pietro_cibo_vini_44.7069_7.6894,Bocciofila S.Pietro Cibo&Vini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/bocciofila_spietro_cibovini_44.7069_7.6894.json,custom
44.705470,7.690580,ov_sushi_wang_44.7055_7.6906,Sushi wang,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/sushi_wang_44.7055_7.6906.json,custom
44.730749,7.733056,ov_pub_foresto_44.7307_7.7331,Pub Foresto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/pub_foresto_44.7307_7.7331.json,custom
44.711432,7.683868,ov_chiosco_bar_44.7114_7.6839,Chiosco Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/chiosco_bar_44.7114_7.6839.json,custom
44.708030,7.687896,ov_liberty_pub_snc_44.7080_7.6879,Liberty Pub Snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/liberty_pub_snc_44.7080_7.6879.json,custom
44.707515,7.687737,ov_caff__del_centro_44.7075_7.6877,Caffè del Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/caff_del_centro_44.7075_7.6877.json,custom
44.706956,7.687727,ov_bar_cremeria_i_portici_44.7070_7.6877,Bar Cremeria I Portici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/bar_cremeria_i_portici_44.7070_7.6877.json,custom
44.706330,7.686970,ov_fellini_cocktail_bar_44.7063_7.6870,Fellini Cocktail Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/fellini_cocktail_bar_44.7063_7.6870.json,custom
44.705950,7.687176,ov_turn_over_caff__44.7060_7.6872,Turn over Caffé,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/turn_over_caff_44.7060_7.6872.json,custom
44.724501,7.734275,osm_caf__fox_44.7245_7.7343,Cafè Fox,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/caf_fox_44.7245_7.7343.json,custom
44.730674,7.732997,osm_foresto_music_pub_44.7307_7.7330,Foresto Music Pub,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/foresto_music_pub_44.7307_7.7330.json,custom
44.707228,7.683767,ov_palestra_l_ora_di_ginnastica_44.7072_7.6838,Palestra L'ora di Ginnastica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/palestra_lora_di_ginnastica_44.7072_7.6838.json,custom
44.703470,7.689010,ov_joy_s_fitness_club_44.7035_7.6890,Joy's Fitness club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/joys_fitness_club_44.7035_7.6890.json,custom
44.706923,7.689391,ov_bocciofila_san_pietro_44.7069_7.6894,Bocciofila San Pietro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/bocciofila_san_pietro_44.7069_7.6894.json,custom
44.697013,7.725022,ov_associazione_ippica_la_riviera_44.6970_7.7250,Associazione Ippica La Riviera,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/associazione_ippica_la_riviera_44.6970_7.7250.json,custom
44.691611,7.855155,ov_gymtonic_44.6916_7.8552,GymTonic,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/gymtonic_44.6916_7.8552.json,custom
44.701575,7.683313,osm_palazzetto_dello_sport_di_cavallermaggio_44.7016_7.6833,Palazzetto dello Sport di Cavallermaggiore,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cavallermaggiore/pages/palazzetto_dello_sport_di_cavallermaggio_44.7016_7.6833.json,custom
