# lat,lng,id,name,building_type,type,url,page_type
# Pravisdomini -- Tutti
45.818906,12.694154,ov_ospedale_di_aviano_45.8189_12.6942,Ospedale Di Aviano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pravisdomini/pages/ospedale_di_aviano_45.8189_12.6942.json,custom
45.795743,12.677584,ov_bar_trattoria_al_lido_45.7957_12.6776,Bar Trattoria Al Lido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pravisdomini/pages/bar_trattoria_al_lido_45.7957_12.6776.json,custom
45.795707,12.677527,osm_al_lido_45.7957_12.6775,Al Lido,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pravisdomini/pages/al_lido_45.7957_12.6775.json,custom
45.820370,12.669788,ov_bar_pellegrini_45.8204_12.6698,Bar Pellegrini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pravisdomini/pages/bar_pellegrini_45.8204_12.6698.json,custom
45.818486,12.693600,ov_bar_pasticceria_alice_45.8185_12.6936,Bar Pasticceria Alice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pravisdomini/pages/bar_pasticceria_alice_45.8185_12.6936.json,custom
45.818010,12.692220,ov_mr_dado_45.8180_12.6922,Mr.Dado,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pravisdomini/pages/mrdado_45.8180_12.6922.json,custom
45.817138,12.688944,ov_snack_bar_anse__45.8171_12.6889,snack bar anse',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pravisdomini/pages/snack_bar_anse_45.8171_12.6889.json,custom
45.801167,12.665957,ov_joker_bar_45.8012_12.6660,Joker Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pravisdomini/pages/joker_bar_45.8012_12.6660.json,custom
45.814792,12.680953,ov_palestra_comunale_di_pravisdomini_45.8148_12.6810,Palestra Comunale di Pravisdomini,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pravisdomini/pages/palestra_comunale_di_pravisdomini_45.8148_12.6810.json,custom
45.801647,12.662090,ov_circolo_ippico_frattina_45.8016_12.6621,Circolo Ippico Frattina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pravisdomini/pages/circolo_ippico_frattina_45.8016_12.6621.json,custom
45.817545,12.693172,ov_biblioteca_comunale_di_pravisdomini_45.8175_12.6932,Biblioteca Comunale di Pravisdomini,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pravisdomini/pages/biblioteca_comunale_di_pravisdomini_45.8175_12.6932.json,custom
