# lat,lng,id,name,building_type,type,url,page_type
# Stienta -- Tutti
44.937416,11.551184,ov_fisiomedical_poliambulatorio_44.9374_11.5512,Fisiomedical poliambulatorio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/stienta/pages/fisiomedical_poliambulatorio_44.9374_11.5512.json,custom
44.941196,11.542937,ov_pizzeria_grano_tenero_3_0_stienta_44.9412_11.5429,Pizzeria Grano Tenero 3.0 Stienta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/stienta/pages/pizzeria_grano_tenero_30_stienta_44.9412_11.5429.json,custom
44.937451,11.545350,ov_pizzeria_bar_margherita_44.9375_11.5454,Pizzeria Bar Margherita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/stienta/pages/pizzeria_bar_margherita_44.9375_11.5454.json,custom
44.942852,11.541602,ov_bar_pasticceria_gelateria_da_taty_44.9429_11.5416,Bar Pasticceria Gelateria Da Taty,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/stienta/pages/bar_pasticceria_gelateria_da_taty_44.9429_11.5416.json,custom
44.939520,11.548240,ov_caf__del_sol_44.9395_11.5482,Cafè Del Sol,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/stienta/pages/caf_del_sol_44.9395_11.5482.json,custom
44.939571,11.548326,ov_my_way_coffeebar_2_0_44.9396_11.5483,My Way Coffeebar 2.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/stienta/pages/my_way_coffeebar_20_44.9396_11.5483.json,custom
44.937523,11.545341,ov_nuovo_centro_sociale_44.9375_11.5453,Nuovo Centro Sociale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/stienta/pages/nuovo_centro_sociale_44.9375_11.5453.json,custom
44.932534,11.560514,ov_angels_bar_44.9325_11.5605,Angels Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/stienta/pages/angels_bar_44.9325_11.5605.json,custom
44.943473,11.539094,ov_al_baretto_44.9435_11.5391,Al baretto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/stienta/pages/al_baretto_44.9435_11.5391.json,custom
44.796970,11.810470,ov_new_angel_s_bar_44.7970_11.8105,New Angel's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/stienta/pages/new_angels_bar_44.7970_11.8105.json,custom
44.942939,11.523582,ov_centro_equestre_cristina_44.9429_11.5236,Centro Equestre Cristina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/stienta/pages/centro_equestre_cristina_44.9429_11.5236.json,custom
44.939943,11.543425,ov_biblioteca_comunale_stienta_44.9399_11.5434,Biblioteca Comunale Stienta,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/stienta/pages/biblioteca_comunale_stienta_44.9399_11.5434.json,custom
