# lat,lng,id,name,building_type,type,url,page_type
# camogli -- Tutti
44.350687,9.160704,ov_istituto_cardiovascolare_camogli_casa_di_44.3507_9.1607,Istituto Cardiovascolare Camogli Casa di Cura Privata (con A,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/istituto_cardiovascolare_camogli_casa_di_44.3507_9.1607.json,custom
44.346425,9.158171,ov_caff__del_teatro_44.3464_9.1582,Caffè del teatro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/caff_del_teatro_44.3464_9.1582.json,custom
44.355235,9.154797,ov_la_loggia_44.3552_9.1548,La Loggia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/la_loggia_44.3552_9.1548.json,custom
44.355147,9.154865,ov_mille_e_una_notte_ristorante_44.3551_9.1549,Mille e una notte Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/mille_e_una_notte_ristorante_44.3551_9.1549.json,custom
44.349173,9.154679,ov_ladid__sur_la_mer_44.3492_9.1547,Ladidà Sur La Mer,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/ladid_sur_la_mer_44.3492_9.1547.json,custom
44.349248,9.154264,ov_bagni_miramare_44.3492_9.1543,Bagni Miramare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/bagni_miramare_44.3492_9.1543.json,custom
44.349782,9.153590,ov_osteria_delle_7_pance_44.3498_9.1536,Osteria delle 7 Pance,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/osteria_delle_7_pance_44.3498_9.1536.json,custom
44.349970,9.154535,ov_cucu_camogli_44.3500_9.1545,Cucu Camogli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/cucu_camogli_44.3500_9.1545.json,custom
44.350001,9.153673,ov_primula_bar_44.3500_9.1537,Primula Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/primula_bar_44.3500_9.1537.json,custom
44.350239,9.153102,ov_creperie_bretonne_44.3502_9.1531,Creperie Bretonne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/creperie_bretonne_44.3502_9.1531.json,custom
44.350140,9.153111,ov_ristorante_golfo_paradiso_44.3501_9.1531,Ristorante Golfo Paradiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/ristorante_golfo_paradiso_44.3501_9.1531.json,custom
44.350430,9.152960,ov_ristorante_boccondivino_camogli_44.3504_9.1530,Ristorante Boccondivino Camogli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/ristorante_boccondivino_camogli_44.3504_9.1530.json,custom
44.350510,9.152787,ov_lo_spuntino_44.3505_9.1528,Lo Spuntino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/lo_spuntino_44.3505_9.1528.json,custom
44.350495,9.152862,ov_xodo_osteria_44.3505_9.1529,Xodo Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/xodo_osteria_44.3505_9.1529.json,custom
44.350563,9.153359,ov_la_bossa_di_mario_44.3506_9.1534,La Bossa di Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/la_bossa_di_mario_44.3506_9.1534.json,custom
44.350604,9.152547,ov_pasta_fresca_fiorella_44.3506_9.1525,Pasta Fresca Fiorella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/pasta_fresca_fiorella_44.3506_9.1525.json,custom
44.350561,9.152394,ov_il_portico_44.3506_9.1524,Il Portico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/il_portico_44.3506_9.1524.json,custom
44.350577,9.152100,ov_le_bistingo_srl_44.3506_9.1521,Le Bistingo SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/le_bistingo_srl_44.3506_9.1521.json,custom
44.350697,9.151186,ov_al_molo_16_44.3507_9.1512,Al Molo 16,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/al_molo_16_44.3507_9.1512.json,custom
44.350758,9.152028,ov_la_piadineria_di_camogli_44.3508_9.1520,La Piadineria di Camogli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/la_piadineria_di_camogli_44.3508_9.1520.json,custom
44.350656,9.152298,ov_ristorante_porto_prego_44.3507_9.1523,Ristorante Porto Prego,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/ristorante_porto_prego_44.3507_9.1523.json,custom
44.350692,9.152646,ov_focacceria_revello_44.3507_9.1526,Focacceria Revello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/focacceria_revello_44.3507_9.1526.json,custom
44.350650,9.153083,ov_fermento_44.3507_9.1531,Fermento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/fermento_44.3507_9.1531.json,custom
44.350735,9.152603,ov_la_trattoria_del_pesce_44.3507_9.1526,La Trattoria del Pesce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/la_trattoria_del_pesce_44.3507_9.1526.json,custom
44.350798,9.152245,ov_civico_32_44.3508_9.1522,Civico 32,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/civico_32_44.3508_9.1522.json,custom
44.350870,9.152597,ov_taberna_messicana_don_ricardo_44.3509_9.1526,Taberna Messicana Don Ricardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/taberna_messicana_don_ricardo_44.3509_9.1526.json,custom
44.351120,9.152351,ov_ristorante_da_paolo_44.3511_9.1524,Ristorante Da Paolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/ristorante_da_paolo_44.3511_9.1524.json,custom
44.351182,9.152089,ov_ristorante_vento_ariel_44.3512_9.1521,Ristorante Vento Ariel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/ristorante_vento_ariel_44.3512_9.1521.json,custom
44.351431,9.151773,ov_cooperativa_pescatori_pesce_pazzo_44.3514_9.1518,Cooperativa Pescatori Pesce Pazzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/cooperativa_pescatori_pesce_pazzo_44.3514_9.1518.json,custom
44.351485,9.152648,ov_spaghetteria_44.3515_9.1526,Spaghetteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/spaghetteria_44.3515_9.1526.json,custom
44.351542,9.152613,ov_semmu_friti_44.3515_9.1526,Semmu Friti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/semmu_friti_44.3515_9.1526.json,custom
44.348345,9.155380,ov_la_camogliese_44.3483_9.1554,La Camogliese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/la_camogliese_44.3483_9.1554.json,custom
44.348461,9.154907,ov_ostaia_da_o_sig__44.3485_9.1549,Ostaia da O Sigù,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/ostaia_da_o_sig_44.3485_9.1549.json,custom
44.348570,9.155694,ov_jack_s_44.3486_9.1557,Jack's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/jacks_44.3486_9.1557.json,custom
44.348849,9.154638,ov_la_rotonda_44.3488_9.1546,La Rotonda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/la_rotonda_44.3488_9.1546.json,custom
44.348830,9.154603,ov_izoa_ristorante_44.3488_9.1546,Izoa ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/izoa_ristorante_44.3488_9.1546.json,custom
44.347478,9.156299,ov_la_playa_44.3475_9.1563,La Playa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/la_playa_44.3475_9.1563.json,custom
