# lat,lng,id,name,building_type,type,url,page_type
# seveso -- Tutti
45.642487,9.138967,ov_ristorante_pizzeria_o__sole_mio_a_monza_45.6425_9.1390,Ristorante Pizzeria O' Sole Mio a Monza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/ristorante_pizzeria_o_sole_mio_a_monza_45.6425_9.1390.json,custom
45.642755,9.140585,ov_ristorante_pizzeria_farghin_45.6428_9.1406,Ristorante Pizzeria Farghin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/ristorante_pizzeria_farghin_45.6428_9.1406.json,custom
45.640420,9.139316,ov_spicy_bites_45.6404_9.1393,Spicy Bites,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/spicy_bites_45.6404_9.1393.json,custom
45.640358,9.139247,ov_griglieria_i_porci_comodi_45.6404_9.1392,Griglieria I Porci Comodi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/griglieria_i_porci_comodi_45.6404_9.1392.json,custom
45.642225,9.154739,ov_dolce___pizza_45.6422_9.1547,Dolce & Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/dolce_pizza_45.6422_9.1547.json,custom
45.639600,9.156954,ov_atlantide_pescheria_45.6396_9.1570,Atlantide Pescheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/atlantide_pescheria_45.6396_9.1570.json,custom
45.637944,9.143164,ov_spizzicapizza_45.6379_9.1432,Spizzicapizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/spizzicapizza_45.6379_9.1432.json,custom
45.640710,9.124128,ov_spizzicapizza_altopiano_45.6407_9.1241,SpizzicaPizza Altopiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/spizzicapizza_altopiano_45.6407_9.1241.json,custom
45.642637,9.136375,ov_ristorante_cinese_45.6426_9.1364,Ristorante Cinese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/ristorante_cinese_45.6426_9.1364.json,custom
45.642732,9.136194,ov_la_pagoda_45.6427_9.1362,La Pagoda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/la_pagoda_45.6427_9.1362.json,custom
