# lat,lng,id,name,building_type,type,url,page_type
# Ghilarza -- Tutti
40.120650,8.834726,ov_ospedale_g_p__delogu_40.1206_8.8347,Ospedale G.P. Delogu,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/ospedale_gp_delogu_40.1206_8.8347.json,custom
40.118404,8.828517,ov_penny_red_40.1184_8.8285,Penny Red,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/penny_red_40.1184_8.8285.json,custom
40.120445,8.826311,ov_pizzeria_da_pg_40.1204_8.8263,Pizzeria da pg,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/pizzeria_da_pg_40.1204_8.8263.json,custom
40.120855,8.835393,ov_pizzeria_trattoria_cafe_buon_gusto_40.1209_8.8354,Pizzeria Trattoria Cafe Buon Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/pizzeria_trattoria_cafe_buon_gusto_40.1209_8.8354.json,custom
40.124812,8.837261,ov_la_torre_40.1248_8.8373,La Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/la_torre_40.1248_8.8373.json,custom
40.120380,8.826442,ov_sin_city_40.1204_8.8264,Sin City,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/sin_city_40.1204_8.8264.json,custom
40.118255,8.833092,ov_new_hakuna_matata_40.1183_8.8331,New Hakuna Matata,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/new_hakuna_matata_40.1183_8.8331.json,custom
40.119070,8.832560,ov_pensieri_ghilarza_40.1191_8.8326,pensieri Ghilarza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/pensieri_ghilarza_40.1191_8.8326.json,custom
40.117741,8.832346,ov_bar_e_caff__da_massimo_40.1177_8.8323,Bar e Caffè da Massimo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/bar_e_caff_da_massimo_40.1177_8.8323.json,custom
40.122905,8.836846,ov_pamelita_caffe_40.1229_8.8368,Pamelita Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/pamelita_caffe_40.1229_8.8368.json,custom
40.123703,8.847867,ov_stone_art_cafe_40.1237_8.8479,Stone Art Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/stone_art_cafe_40.1237_8.8479.json,custom
40.118544,8.830950,ov_ad_gym_ghilarza_40.1185_8.8310,Ad Gym Ghilarza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/ad_gym_ghilarza_40.1185_8.8310.json,custom
40.126570,8.846540,ov_k_gy_40.1266_8.8465,K-GY,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/k-gy_40.1266_8.8465.json,custom
40.123097,8.837530,ov_casa_museo_antonio_gramsci_40.1231_8.8375,Casa Museo Antonio Gramsci,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/casa_museo_antonio_gramsci_40.1231_8.8375.json,custom
40.121159,8.835304,ov_biblioteca_comunale_di_ghilarza_40.1212_8.8353,Biblioteca comunale di Ghilarza,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/biblioteca_comunale_di_ghilarza_40.1212_8.8353.json,custom
40.122620,8.835350,ov_sistema_bibliotecario_citt__territorio_40.1226_8.8354,Sistema Bibliotecario Città Territorio,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/ghilarza/pages/sistema_bibliotecario_citt_territorio_40.1226_8.8354.json,custom
