# lat,lng,id,name,building_type,type,url,page_type
# frattaminore -- Tutti
40.947987,14.271548,ov_ospedale_civile_san_giovanni_di_dio_40.9480_14.2715,Ospedale Civile San Giovanni di Dio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/ospedale_civile_san_giovanni_di_dio_40.9480_14.2715.json,custom
40.953343,14.271713,ov_mordi___fuggi_40.9533_14.2717,Mordi & Fuggi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/mordi_fuggi_40.9533_14.2717.json,custom
40.950870,14.271453,ov_pizzeria_la_divina_40.9509_14.2715,Pizzeria La Divina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/pizzeria_la_divina_40.9509_14.2715.json,custom
40.951060,14.274560,ov_ristorante_pizzeria_paninoteca_friggitor_40.9511_14.2746,Ristorante pizzeria paninoteca friggitoria girarrosto Nonna ,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/ristorante_pizzeria_paninoteca_friggitor_40.9511_14.2746.json,custom
40.951028,14.274631,ov_da_mario_40.9510_14.2746,Da Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/da_mario_40.9510_14.2746.json,custom
40.952946,14.278127,ov_birreria_paninoteca_dreamer_40.9529_14.2781,Birreria paninoteca dreamer,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/birreria_paninoteca_dreamer_40.9529_14.2781.json,custom
40.951938,14.277081,ov_pizzeria_ciao_napoli_40.9519_14.2771,Pizzeria Ciao Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/pizzeria_ciao_napoli_40.9519_14.2771.json,custom
40.956672,14.276811,ov_marten_40.9567_14.2768,Marten,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/marten_40.9567_14.2768.json,custom
40.958085,14.274997,ov_bee_burger_40.9581_14.2750,Bee Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/bee_burger_40.9581_14.2750.json,custom
40.958191,14.277272,ov_paquitoast_toastmaker_40.9582_14.2773,Paquitoast Toastmaker,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/paquitoast_toastmaker_40.9582_14.2773.json,custom
40.963123,14.274402,ov_poste_italiane___orta_di_atella_40.9631_14.2744,Poste Italiane - Orta Di Atella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/poste_italiane_-_orta_di_atella_40.9631_14.2744.json,custom
40.961126,14.267223,ov_pizzeria_new_doc_40.9611_14.2672,Pizzeria New Doc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/pizzeria_new_doc_40.9611_14.2672.json,custom
40.960985,14.267912,ov_mozzeca_revolution_40.9610_14.2679,Mozzeca Revolution,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/mozzeca_revolution_40.9610_14.2679.json,custom
40.959825,14.268837,ov_pizzeria_dell_arco_40.9598_14.2688,Pizzeria dell'arco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/pizzeria_dellarco_40.9598_14.2688.json,custom
40.959097,14.269593,ov_burgeri_frattaminore_40.9591_14.2696,Burgeri Frattaminore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/burgeri_frattaminore_40.9591_14.2696.json,custom
40.959047,14.269411,ov_pizzetteria_europa_40.9590_14.2694,Pizzetteria Europa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/pizzetteria_europa_40.9590_14.2694.json,custom
40.957710,14.269580,ov_l_asporto_di_lioniello_40.9577_14.2696,L'Asporto di Lioniello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/lasporto_di_lioniello_40.9577_14.2696.json,custom
40.956000,14.273782,ov_crispy_s_40.9560_14.2738,Crispy's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/crispys_40.9560_14.2738.json,custom
40.953771,14.268129,ov_mangiando_sotto_le_stelle_40.9538_14.2681,Mangiando sotto le Stelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/mangiando_sotto_le_stelle_40.9538_14.2681.json,custom
40.959080,14.265590,ov_pizzeria_la_teglia_40.9591_14.2656,Pizzeria la teglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/pizzeria_la_teglia_40.9591_14.2656.json,custom
40.961080,14.267087,ov_pizzeria_colori_e_sapori_40.9611_14.2671,Pizzeria Colori e Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/frattaminore/pages/pizzeria_colori_e_sapori_40.9611_14.2671.json,custom
