# lat,lng,id,name,building_type,type,url,page_type
# brusson -- Tutti
45.759956,7.731839,osm_continuit__assistenziale__ex_guardia_med_45.7600_7.7318,Continuità Assistenziale (Ex Guardia Medica) ASL-Ambulatorio,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/continuit_assistenziale_ex_guardia_medic_45.7600_7.7318.json,custom
45.780888,7.700383,ov_ristorante_pizzeria_bar_la_ruota_45.7809_7.7004,Ristorante Pizzeria Bar La Ruota,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/ristorante_pizzeria_bar_la_ruota_45.7809_7.7004.json,custom
45.765366,7.714284,ov_l_agrifoglio_45.7654_7.7143,L'Agrifoglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/lagrifoglio_45.7654_7.7143.json,custom
45.760956,7.717388,ov_agriturismo_dal_pioppo_45.7610_7.7174,Agriturismo Dal Pioppo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/agriturismo_dal_pioppo_45.7610_7.7174.json,custom
45.739077,7.746616,ov_croce_bianca_45.7391_7.7466,Croce Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/croce_bianca_45.7391_7.7466.json,custom
45.758257,7.731672,ov_l_aquila_bar_ristorante_pizzeria_45.7583_7.7317,L'Aquila BAR RISTORANTE PIZZERIA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/laquila_bar_ristorante_pizzeria_45.7583_7.7317.json,custom
45.759461,7.729334,ov_pizzeria_le_moulin_45.7595_7.7293,Pizzeria Le Moulin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/pizzeria_le_moulin_45.7595_7.7293.json,custom
45.758105,7.729893,ov_albergo_nord_45.7581_7.7299,Albergo Nord,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/albergo_nord_45.7581_7.7299.json,custom
45.757550,7.725485,ov_les_guillates_bar_griglieria_ristorante_45.7575_7.7255,Les Guillates Bar Griglieria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/les_guillates_bar_griglieria_ristorante_45.7575_7.7255.json,custom
45.758329,7.731917,osm_la_boule_45.7583_7.7319,La Boule,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/la_boule_45.7583_7.7319.json,custom
45.758213,7.731644,osm_risto_pizza_le_tre_dame_45.7582_7.7316,Risto Pizza Le Tre Dame,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/risto_pizza_le_tre_dame_45.7582_7.7316.json,custom
