# lat,lng,id,name,building_type,type,url,page_type
# Nerviano -- Tutti
45.555147,8.976958,ov_fondazione_don_gnocchi___ambulatorio_di__45.5551_8.9770,Fondazione Don Gnocchi - Ambulatorio di Nerviano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/fondazione_don_gnocchi_-_ambulatorio_di__45.5551_8.9770.json,custom
45.548959,8.971114,ov_calypso_ristorante_pizzeria_45.5490_8.9711,Calypso Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/calypso_ristorante_pizzeria_45.5490_8.9711.json,custom
45.549086,8.964951,ov_c___pizza_per_te_45.5491_8.9650,C'è Pizza Per Te,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/c_pizza_per_te_45.5491_8.9650.json,custom
45.551749,8.971470,ov_pizzeria_solo_da_noi_45.5517_8.9715,Pizzeria SOLO da NOI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/pizzeria_solo_da_noi_45.5517_8.9715.json,custom
45.552163,8.969019,ov_la_meccanica_45.5522_8.9690,La meccanica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/la_meccanica_45.5522_8.9690.json,custom
45.552679,8.969782,ov_trattoria_alloggio_baffo_d_oro_45.5527_8.9698,Trattoria alloggio Baffo D'oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/trattoria_alloggio_baffo_doro_45.5527_8.9698.json,custom
45.553737,8.972998,ov_maspimiento_45.5537_8.9730,Maspimiento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/maspimiento_45.5537_8.9730.json,custom
45.553782,8.970590,ov_sunrice_45.5538_8.9706,Sunrice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/sunrice_45.5538_8.9706.json,custom
45.554517,8.973068,ov_trattoria_romana_la_lupa_45.5545_8.9731,Trattoria Romana La Lupa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/trattoria_romana_la_lupa_45.5545_8.9731.json,custom
45.558696,8.972499,ov_bar_trattoria_l_aida_45.5587_8.9725,Bar Trattoria l'Aida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/bar_trattoria_laida_45.5587_8.9725.json,custom
45.568223,8.989434,ov_girasole_45.5682_8.9894,Girasole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/girasole_45.5682_8.9894.json,custom
45.568250,8.989530,ov_massimo_scanu_45.5682_8.9895,Massimo Scanu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/massimo_scanu_45.5682_8.9895.json,custom
45.558555,8.973789,ov_ristorante_il_segreto_45.5586_8.9738,Ristorante Il Segreto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/ristorante_il_segreto_45.5586_8.9738.json,custom
45.556770,8.978654,ov_il_capitano_ristorante_pizzeria_45.5568_8.9787,Il Capitano Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/il_capitano_ristorante_pizzeria_45.5568_8.9787.json,custom
45.555522,8.976795,ov_crazy_pizza_45.5555_8.9768,Crazy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/crazy_pizza_45.5555_8.9768.json,custom
45.555720,8.976137,ov_osteria_della_torre_nerviano_45.5557_8.9761,Osteria della Torre Nerviano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/osteria_della_torre_nerviano_45.5557_8.9761.json,custom
45.555960,8.980240,ov_turkish_kebap_pizza_45.5560_8.9802,Turkish Kebap-Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/turkish_kebap-pizza_45.5560_8.9802.json,custom
45.552659,8.986677,ov_mcdonald_s_45.5527_8.9867,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/mcdonalds_45.5527_8.9867.json,custom
45.554848,8.980994,ov_pizzeria_hamburgeria_impatto_45.5548_8.9810,Pizzeria Hamburgeria Impatto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/pizzeria_hamburgeria_impatto_45.5548_8.9810.json,custom
45.554693,8.973470,ov_pizzeria_etna_45.5547_8.9735,Pizzeria Etna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/pizzeria_etna_45.5547_8.9735.json,custom
45.553379,8.975500,ov_la_pazza_pizza_45.5534_8.9755,La pazza pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/la_pazza_pizza_45.5534_8.9755.json,custom
45.550740,8.987950,ov_omaya_sushi_45.5507_8.9879,Omaya Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/omaya_sushi_45.5507_8.9879.json,custom
45.551471,8.994955,ov_so_grill_restaurant_45.5515_8.9950,So Grill Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/so_grill_restaurant_45.5515_8.9950.json,custom
45.550569,8.991639,ov_osteria_pane_e_salame_45.5506_8.9916,Osteria Pane e Salame,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/osteria_pane_e_salame_45.5506_8.9916.json,custom
45.549056,8.993001,ov_bistrot_della_pasta_fresca_45.5491_8.9930,Bistrot della Pasta Fresca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/bistrot_della_pasta_fresca_45.5491_8.9930.json,custom
45.548971,8.992221,ov_ristorante_la_guardia_45.5490_8.9922,Ristorante la Guardia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/ristorante_la_guardia_45.5490_8.9922.json,custom
45.548284,8.991030,ov_pescettino_nerviano_45.5483_8.9910,Pescettino Nerviano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/pescettino_nerviano_45.5483_8.9910.json,custom
45.540885,8.974137,ov_da_marco_restaurant_45.5409_8.9741,Da Marco Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/da_marco_restaurant_45.5409_8.9741.json,custom
45.540699,8.973743,osm_osteria_vighigneu_45.5407_8.9737,Osteria Vighigneu,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/osteria_vighigneu_45.5407_8.9737.json,custom
45.551759,8.971328,osm_solo_da_noi_45.5518_8.9713,Solo da noi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/solo_da_noi_45.5518_8.9713.json,custom
45.558642,8.972521,osm_bar_trattoria_l_aida_45.5586_8.9725,Bar Trattoria l'Aida,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/bar_trattoria_laida_45.5586_8.9725.json,custom
45.545032,8.999718,osm_delight_restaurant_45.5450_8.9997,Delight Restaurant,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/delight_restaurant_45.5450_8.9997.json,custom
45.561872,8.969450,osm_locanda_del_villoresi_45.5619_8.9694,Locanda del Villoresi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/locanda_del_villoresi_45.5619_8.9694.json,custom
45.550266,8.959005,ov_reverie_45.5503_8.9590,Reverie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/reverie_45.5503_8.9590.json,custom
45.552006,8.971275,ov_rocks_off_cafe_45.5520_8.9713,Rocks Off Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/rocks_off_cafe_45.5520_8.9713.json,custom
45.552145,8.967716,ov_la_caffetteria_nerviano_45.5521_8.9677,La Caffetteria Nerviano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/la_caffetteria_nerviano_45.5521_8.9677.json,custom
45.554431,8.972648,ov_l_antico_caffe_45.5544_8.9726,L'Antico Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/lantico_caffe_45.5544_8.9726.json,custom
45.562095,8.981964,ov_angels_caf__45.5621_8.9820,Angels Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/angels_caf_45.5621_8.9820.json,custom
45.565988,8.985456,ov_caffe_delice_45.5660_8.9855,Caffe Delice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/caffe_delice_45.5660_8.9855.json,custom
45.567319,8.987864,ov_fantasy_bar_45.5673_8.9879,Fantasy bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/fantasy_bar_45.5673_8.9879.json,custom
45.562251,8.998968,ov_myth_pub_45.5623_8.9990,Myth Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/myth_pub_45.5623_8.9990.json,custom
45.558989,8.973758,ov_birreria_sempione_45.5590_8.9738,Birreria Sempione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/birreria_sempione_45.5590_8.9738.json,custom
45.558870,8.974312,ov_bubu_caff__45.5589_8.9743,Bubu Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/bubu_caff_45.5589_8.9743.json,custom
45.556380,8.974683,ov_old_dublin_pub_45.5564_8.9747,Old Dublin Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/old_dublin_pub_45.5564_8.9747.json,custom
45.555619,8.974572,ov_l__angolo_del_caff__45.5556_8.9746,L' Angolo del Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/l_angolo_del_caff_45.5556_8.9746.json,custom
45.555592,8.974298,ov_seventy_s_bar_45.5556_8.9743,Seventy's BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/seventys_bar_45.5556_8.9743.json,custom
45.556273,8.977146,ov_elisir_caffe_45.5563_8.9771,Elisir Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/elisir_caffe_45.5563_8.9771.json,custom
45.554709,8.980706,ov_caffe_della_galleria_di_loperfido_giovan_45.5547_8.9807,Caffe della Galleria di Loperfido Giovanni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/caffe_della_galleria_di_loperfido_giovan_45.5547_8.9807.json,custom
45.555463,8.975715,ov_al_boccon_divino_45.5555_8.9757,Al Boccon Divino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/al_boccon_divino_45.5555_8.9757.json,custom
45.548889,8.978665,ov_oasis_bar_45.5489_8.9787,Oasis bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/oasis_bar_45.5489_8.9787.json,custom
45.543251,8.965439,ov_walter_gym_45.5433_8.9654,Walter Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/walter_gym_45.5433_8.9654.json,custom
45.548510,8.968938,ov_palestra_comunale_45.5485_8.9689,palestra comunale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/palestra_comunale_45.5485_8.9689.json,custom
45.551236,8.971955,ov_keniha_fit_45.5512_8.9720,Keniha fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/keniha_fit_45.5512_8.9720.json,custom
45.552104,8.970038,ov_krav_maga_nerviano_45.5521_8.9700,Krav Maga Nerviano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/krav_maga_nerviano_45.5521_8.9700.json,custom
45.553798,8.970020,ov_bsc_ballet_studio_centre_45.5538_8.9700,BSC Ballet Studio Centre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/bsc_ballet_studio_centre_45.5538_8.9700.json,custom
45.554330,8.963380,ov_liv_cycling_italy_45.5543_8.9634,Liv Cycling Italy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/liv_cycling_italy_45.5543_8.9634.json,custom
45.556522,8.977375,ov_a_s_d__performing_dance_studio_45.5565_8.9774,A.S.D. Performing Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/asd_performing_dance_studio_45.5565_8.9774.json,custom
45.554433,8.977348,ov_la_farfalla_45.5544_8.9773,La Farfalla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/la_farfalla_45.5544_8.9773.json,custom
45.553039,8.977700,ov_gdm_nerviano_45.5530_8.9777,Gdm Nerviano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/gdm_nerviano_45.5530_8.9777.json,custom
45.552397,8.982876,ov_fitactive_nerviano_45.5524_8.9829,FitActive Nerviano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/fitactive_nerviano_45.5524_8.9829.json,custom
45.547622,8.995172,ov_bowling_nerviano_45.5476_8.9952,Bowling Nerviano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/bowling_nerviano_45.5476_8.9952.json,custom
45.546106,8.975444,ov_coppa_caduti_nervianesi_45.5461_8.9754,Coppa Caduti Nervianesi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/coppa_caduti_nervianesi_45.5461_8.9754.json,custom
45.544220,8.975491,ov_centro_sportivo_re_cecconi_45.5442_8.9755,Centro Sportivo Re Cecconi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/centro_sportivo_re_cecconi_45.5442_8.9755.json,custom
45.560064,8.971228,ov_santuario_abbazia_della_colorina_45.5601_8.9712,Santuario Abbazia della Colorina,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/santuario_abbazia_della_colorina_45.5601_8.9712.json,custom
45.553682,8.971453,ov_biblioteca_comunale_45.5537_8.9715,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/nerviano/pages/biblioteca_comunale_45.5537_8.9715.json,custom
